"rownum","Id","WorldAreasKey","CharactersKey","MonsterVarietiesKey","i32"
0,"ProxyKey0",1337,0,2610,1
1,"ProxyKey1",1341,0,2628,1
2,"ProxyKey2",1342,0,2628,1
3,"ProxyKey3",1349,0,2580,1
4,"ProxyKey4",1350,0,2580,1
5,"ProxyKey5",1357,0,2651,1
6,"ProxyKey6",1337,1,2594,1
7,"ProxyKey7",1341,1,2642,1
8,"ProxyKey8",1342,1,2642,1
9,"ProxyKey9",1349,1,2628,1
10,"ProxyKey10",1350,1,2628,1
11,"ProxyKey11",1357,1,2651,1
12,"ProxyKey12",1337,3,2569,1
13,"ProxyKey13",1341,3,2580,1
14,"ProxyKey14",1342,3,2580,1
15,"ProxyKey15",1349,3,2642,1
16,"ProxyKey16",1350,3,2642,1
17,"ProxyKey17",1357,3,2651,1
18,"ProxyKey18",1337,6,2628,1
19,"ProxyKey19",1341,6,2594,1
20,"ProxyKey20",1342,6,2594,1
21,"ProxyKey21",1349,6,2610,1
22,"ProxyKey22",1350,6,2610,1
23,"ProxyKey23",1357,6,2651,1
24,"ProxyKey24",1337,4,2580,1
25,"ProxyKey25",1341,4,2610,1
26,"ProxyKey26",1342,4,2610,1
27,"ProxyKey27",1349,4,2569,1
28,"ProxyKey28",1350,4,2569,1
29,"ProxyKey29",1357,4,2651,1
30,"ProxyKey30",1337,5,2642,1
31,"ProxyKey31",1341,5,2569,1
32,"ProxyKey32",1342,5,2569,1
33,"ProxyKey33",1349,5,2594,1
34,"ProxyKey34",1350,5,2594,1
35,"ProxyKey35",1357,5,2651,1
36,"ProxyKey36",1337,2,2594,1
37,"ProxyKey50",1337,2,2569,1
38,"ProxyKey51",1341,2,2610,1
39,"ProxyKey37",1341,2,2642,1
40,"ProxyKey42",1342,2,2610,1
41,"ProxyKey43",1342,2,2642,1
42,"ProxyKey38",1349,2,2628,1
43,"ProxyKey44",1349,2,2580,1
44,"ProxyKey45",1350,2,2628,1
45,"ProxyKey39",1350,2,2580,1
46,"ProxyKey41",1357,2,2651,1
