"rownum","Id","BuffDefinition","Buff_StatValues","AuraRadius","[i32]","[i32]","BuffVisual","f32","bool","Stats","i32","i32","bool","rid","bool"
0,"UltimatumRecoveryDebuff1",1679,"[-40,-40,-40]",0,[],[],"",0,1,[],1,0,"","",""
1,"UltimatumAreaAndProjectileSpeedDebuff",1684,"[-50,-50]",0,[],[],"",0,1,[],1,0,"","",""
2,"UltimatumBuffsExpireFaster",1685,"[200,-66]",0,[],[],"",0,1,[],1,0,"","",""
3,"UltimatumCooldownSpeedDebuff",1686,[-80],0,[],[],"",0,1,[],1,0,"","",""
4,"UltimatumVulnerabilityDebuff",1675,[100],0,[],"[-100,1,-50]","",0,1,[],1,0,"","",""
5,"UltimatumMonsterSpeedBuff",1690,[25],0,[],"[-100,5,0]","",0,1,[],1,0,"","",""
6,"UltimatumResistancesDebuff1",1680,"[-15,-10]",0,[],[],"",0,1,[],1,0,"","",""
7,"UltimatumResistancesDebuff2",1680,"[-30,-20]",0,[],[],"",0,1,[],1,0,"","",""
8,"UltimatumDefencesDebuff1",1681,[-40],0,[],[],"",0,1,[],1,0,"","",""
9,"UltimatumDefencesDebuff2",1681,[-80],0,[],[],"",0,1,[],1,0,"","",""
10,"UltimatumBossEnrage",1683,"[25,25]",0,[],[],"",0,1,[],1,0,"","",""
11,"UltimatumBloodFog",2557,[],0,[],[],"",0,1,[],1,0,"","",""
12,"Unhinged",1598,[],0,[],[],"",0,1,[],1,0,"","",""
13,"PainSuppression",1695,"[0,0,0]",0,[],[],"",0,1,"[13238,13172,13327]",1,0,"","",""
14,"PlayerDebuffExtraCriticalRolls",1709,[-1],0,[],[],"",0,1,[],1,0,"","",""
15,"PlayerDebuffHinderedMsOnFlaskUse",1710,[4000],0,[],[],"",0,1,[],1,0,"","",""
16,"PlayerDebuffCancelFlaskEffectOnFlaskUse",1711,[1],0,[],[],"",0,1,[],1,0,"","",""
17,"PlayerDebuffCursesandNonDamagingAilmentsReflectedToSelf",1712,"[1,1]",0,[],[],"",0,1,[],1,0,"","",""
18,"PlayerDebuffRandomProjectileDirection",1713,[1],0,[],[],"",0,1,[],1,0,"","",""
19,"UltimatumFrostInfection",358,[],1,[9],[],1561,0,1,[],1,0,"","",""
20,"PlayerDebuffAurasAlsoAffectEnemies",1715,[1],0,[],[],"",0,1,[],1,0,"","",""
21,"ScionMovementSpeed",495,[8],60,"[1,2,10]",[],"",0,1,[],1,0,"","",""
22,"OccultistWitherNearbyEnemies",1155,[15000],0,[],[],"",0,1,[],1,0,"","",""
23,"ScionAuguryOfPenitence",549,[10],60,[3],[],"",0,1,[],1,0,"","",""
24,"OccultistPowerChargeOnManaSpent",857,[],0,[],[],"",0,1,[],1,0,"","",""
25,"OccultistNearbyEnemiesColdChaosResistLifeRegen",595,"[-20,-100,-20]",60,[3],[],"",0,1,[],1,0,"","",""
26,"OccultistNearbyEnemiesColdChaosResistLifeRegenHardMode",595,"[-8,-100,-8]",60,[3],[],"",0,1,[],1,0,"","",""
27,"ChampionMovementSpeed",494,[12],60,"[1,2,10]",[],"",0,1,[],1,0,"","",""
28,"JuggernautPhysDamagePreventedAsLifeRegen",991,[],0,[],[],"",0,1,[],1,0,"","",""
29,"OccultistNearbyEnemiesChilled",1408,[],60,[3],[1],"",0,1,[],1,0,"","",""
30,"ChampionFortify",1829,[],0,[],[],"",0,1,[],20,0,"","",""
31,"ChampionFortifyHardMode",1829,[],0,[],[],"",0,1,[],10,0,"","",""
32,"PendulumOfDestruction",972,[],0,[],[],"",0,1,[],1,0,"","",""
33,"ChieftanPhysicalAsFireCycle",978,[100],0,[],[],"",0,1,[],1,0,"","",""
34,"ChampionDamageAgainstImpaled",1159,"[6,12]",60,"[1,2,10]",[],"",0,1,[],1,0,"","",""
35,"SaboteurBlind",1408,[],35,[3],[9],"",0,1,[],1,0,"","",""
36,"AuguryOfPenitence",548,"[16,-8]",60,[3],[],"",0,1,[],1,0,"","",""
37,"AuguryOfPenitenceHardMode",548,"[8,-8]",60,[3],[],"",0,1,[],1,0,"","",""
38,"OccultistNearbyChilledEnemiesReducedHitDamage",1157,[-10],60,[3],[],"",0,1,[],1,0,"","",""
39,"OccultistNearbyHinderedEnemiesReducedDotDamage",1158,[-15],60,[3],[],"",0,1,[],1,0,"","",""
40,"SlayerCritMultiplier",1244,[-30],60,[3],[],"",0,1,[],1,0,"","",""
41,"GuardianDamageSpeedAreaIntimidate",1262,"[20,30,100,100]",60,"[2,10]",[],"",0,1,[],1,0,"","",""
42,"HardModeGuardianIntimidateUnnerve",1262,"[0,0,100,100]",60,"[2,10]",[],"",0,1,[],1,0,"","",""
43,"AfflictionNearbyEnemiesChilled",1408,[],30,[3],[1],"",0,1,[],1,0,"","",""
44,"AfflictionNearbyEnemiesFireExposure",1408,[],30,[3],"[3,10]","",0,1,[],1,0,"","",""
45,"ReplenishingPresenceLifeRegenAura",1452,[60],60,"[1,2,10]",[],"",0,1,[],1,0,"","",""
46,"DeadeyeTailwind",999,"[1,3,15]",60,"[1,2,10]",[],"",0,1,[],1,0,"","",""
47,"ScionTailwind",999,"[1,3,15]",60,"[1,2,10]",[],"",0,1,[],1,0,"","",""
48,"UltimatumDealNoDamageFor2SecondEvery8Seconds",1737,[],0,[],"[8000,2000]","",0,1,[],1,0,"","",""
49,"UltimatumLoseChargesEverySecond",1738,[],0,[],[1000],"",0,1,[],1,0,"","",""
50,"UltimatumAltarProtection",1741,[],22,"[3,10]",[],1593,0,1,[],1,0,"","",""
51,"UltimatumRecoveryDebuff2",1679,"[-75,-75,-75]",0,[],[],"",0,1,[],1,0,"","",""
52,"WitherNearbyEnemiesRoyale",1155,[5000],0,[],[],"",0,1,[],1,0,"","",""
53,"AuguryOfPenitenceRoyale",548,"[10,-5]",30,[3],[],"",0,1,[],1,0,"","",""
54,"NearbyEnemiesChilledRoyale",1408,[],20,[3],[1],"",0,1,[],1,0,"","",""
55,"MonsterAuraPhysicalThorns1",97,[0],36,"[1,2]",[],"",0,1,[553],1,0,"","",""
56,"MonsterAuraElementalThorns1",98,[0],36,"[1,2]",[],"",0,1,[554],1,0,"","",""
57,"MonsterAuraMediumDamage1",101,[0],50,"[1,2]",[],"",0,1,[26],1,0,"","",""
58,"MonsterAuraDamage1",103,[0],50,"[1,2]",[],"",0,1,[26],1,0,"","",""
59,"PlayerMonsterAuraDamage1",103,[0],50,"[1,2]",[],"",0,1,[26],1,0,"","",""
60,"MonsterAuraLargeDamage1",102,[0],50,"[1,2]",[],"",0,1,[26],1,0,"","",""
61,"MonsterAuraLargeDamageUniqueMap",102,[0],50,[2],[],"",0,1,[26],1,0,"","",""
62,"MonsterAuraSpeed1",105,"[0,0]",50,"[1,2]",[],"",0,1,"[1895,171]",1,0,"","",""
63,"PlayerMonsterAuraSpeed1",105,"[0,0]",50,"[1,2]",[],"",0,1,"[1895,171]",1,0,"","",""
64,"StrIntMissionAuraSpeed1",104,"[0,0,0]",30,[2],[],"",0,1,"[70,210,171]",1,0,"","",""
65,"MonsterAuraSpeedUniqueMap1",104,"[0,0,0]",50,[2],[],"",0,1,"[70,210,171]",1,0,"","",""
66,"MonsterAuraLifeRegen1",106,[0],50,"[1,2]",[],"",0,1,[439],1,0,"","",""
67,"MonsterAuraResists1",107,[0],50,"[1,2]",[],"",0,1,[135],1,0,"","",""
68,"PlayerMonsterAuraResists1",107,[0],50,"[1,2]",[],"",0,1,[135],1,0,"","",""
69,"MonsterAuraEnergyShield1",108,[0],25,"[1,2]",[],"",0,1,[21390],1,0,"","",""
70,"PlayerMonsterAuraEnergyShield1",108,[0],25,"[1,2]",[],"",0,1,[21390],1,0,"","",""
71,"StrIntMissionAuraEnergyShield1",108,[0],30,[2],[],"",0,1,[21390],1,0,"","",""
72,"MonsterAuraAccuracyAndCrits1",110,"[0,0]",50,"[1,2]",[],"",0,1,"[84,543]",1,0,"","",""
73,"MonsterImplicitAuraAccuracyAndCrits",110,"[0,0]",50,"[1,2]",[],"",0,1,"[84,543]",1,0,"","",""
74,"MonsterImplicitAuraAccuracyAndCritsSextant",110,"[0,0]",140,"[1,2]",[],"",0,1,"[84,543]",1,0,"","",""
75,"MonsterAuraEnemyLifeDegen1",112,[0],50,[3],[],"",0,1,[440],1,0,"","",""
76,"MonsterAuraEnemyLifeDegen2_",112,[0],50,[3],[],"",0,1,[440],1,0,"","",""
77,"MonsterAuraEssenceEnemyLifeDegen1",117,[0],50,[3],[],"",0,1,[440],1,0,"","",""
78,"MonsterAuraEnemyLifeDegenDexMission",112,[0],50,[3],[],"",0,1,[440],1,0,"","",""
79,"MonsterAuraEnemyLifeDegenCold",565,[0],10,[3],[],"",0,1,[3733],1,0,"","",""
80,"MonsterAuraEnemyLifeDegenFire",564,[0],10,[3],[],"",0,1,[2489],1,0,"","",""
81,"MonsterAuraEnemyLifeDegenLightning",566,[0],10,[3],[],"",0,1,[3734],1,0,"","",""
82,"MonsterAuraElementalDamage1",116,[0],50,"[1,2]",[],"",0,1,[475],1,0,"","",""
83,"MonsterThornsPhysical1",918,[],0,[],[],816,0,1,[],1,0,"","",""
84,"MonsterThornsElemental1",919,[],0,[],[],817,0,1,[],1,0,"","",""
85,"MonsterThornsPhysical1Large",918,[],0,[],[],818,0,1,[],1,0,"","",""
86,"MonsterThornsElemental1Large",919,[],0,[],[],819,0,1,[],1,0,"","",""
