"rownum","Id","Text","StatsKeys1","CharacterPanelDescriptionModesKey","StatsKeys2","StatsKeys3","CharacterPanelTabsKey","bool","[i32]","i32","[rid]","bool","[rid]","bool","[rid]"
0,"LifeTop","Life",[237],0,[],[],18,"",[],0,[],"",[],"",[]
1,"LifeUnreservedTop","Unreserved Life",[10058],0,[3996],[],18,1,[],0,[],"",[],"",[]
2,"LifeRecoveryTop","Recovery per Second",[1411],0,[],[],18,"",[2],0,[],"",[],"",[]
3,"ManaTop","Mana",[238],0,[],[710],21,"",[],0,[],"",[],"",[]
4,"ManaUnreservedTop","Unreserved Mana",[10059],0,[2831],[710],21,1,[],0,[],"",[],"",[]
5,"ManaRecoveryTop","Recovery per Second",[1412],0,[],[710],21,"",[2],0,[],"",[],"",[]
6,"EnergyShieldTop","Energy Shield",[239],0,[],[],19,"",[],0,[],"",[],"",[]
7,"EnergyShieldRecoveryTop","Recovery per Second",[1413],0,[239],[],19,"",[2],0,[],"",[],"",[]
8,"EnergyShieldRechargeTop","Recharge per Second",[242],0,[239],[],19,"",[2],0,[],"",[],"",[]
9,"EnergyShieldRechargeDelayTop","Recharge Delay",[22289],9,[239],[],19,1,[13],0,[],"",[],"",[]
10,"SpiritTop","Spirit",[16422],0,[],[22345],20,"",[],0,[],"",[],"",[]
11,"ArmourEstimatedPhysDamageReductionTopBig","Armour",[729],1,[],[],22,"",[],0,[],"",[],"",[]
12,"ArmourTop","Armour",[233],0,[],[],22,"",[],0,[],"",[],"",[]
13,"ArmourAdditionalPhysReductionTop","Additional Physical Damage Reduction",[433],1,[],[],22,1,[],0,[],"",[],"",[]
14,"ArmourEstimateReductionTop","Estimated Physical Damage Reduction",[729],1,[],[],22,"",[],0,[],"",[],"",[]
15,"EstimateReductionVsHitsTop","Estimated Physical Damage reduction against Hits",[6932],1,[6931],[],22,"",[],0,[],"",[],"",[]
16,"Evasion","Evasion Rating",[274],0,[],[],23,1,[],0,[],"",[],"",[]
17,"EvasionTop","Evasion",[689],1,[],[],23,"",[],0,[],"",[],"",[]
18,"EvasionTopPopup","Estimated Evasion Chance",[689],1,[],[],23,"",[],0,[],"",[],"",[]
19,"MeleeEvadeChanceTop","Estimated chance to Evade Melee Attacks",[10075],1,[],[10077],23,1,[],0,[],"",[],"",[]
20,"ProjectileEvadeChanceTop","Estimated chance to Evade Projectile Attacks",[10076],1,[],[10077],23,1,[],0,[],"",[],"",[]
21,"BlockChanceAttackTop","Block",[22388],1,[],[],26,"",[],0,[],"",[],"",[]
22,"EstimatedBlockChanceTopPopup","Estimated Block Chance",[22388],1,[22390],[],26,"",[],0,[],"",[],"",[]
23,"BlockChanceTopPopup","Block Chance",[945],1,[],[22390],26,"",[],0,[],"",[],"",[]
24,"MaxBlockChanceTop","Maximum Block chance",[14147],1,[],[],26,1,[],0,[],"",[],"",[]
25,"LifeStats","Maximum Life",[237],0,[],[],27,"",[],0,[],"",[],"",[]
26,"LifeUnreserved","[Reservation|Unreserved] maximum Life",[10058],0,[3996],[],27,1,[],0,[],"",[],"",[]
27,"LifeRecovery","Total Life Recovery per second",[1411],0,[],[],27,1,[2],0,[],"",[],"",[]
28,"LifeRecoveryRegen","Life Recovery per second from Regeneration",[240],0,[],[],27,1,[2],0,[],"",[],"",[]
29,"LifeRecoveryRecharge","Life Recovery per second from [LifeRecharge|Recharge]",[12679],0,[],[],27,1,[2],0,[],"",[],"",[]
30,"LifeRecoveryFlasks","Life Recovery per second from [Flask|Flasks]",[12680],0,[],[],27,1,[2],0,[],"",[],"",[]
31,"LifeRecoveryLeech","Life Recovery per second from [Leech]",[12682],0,[],[],27,1,[2],0,[],"",[],"",[]
32,"LifeRecoveryOther","Life Recovery per second from other sources",[12681],0,[],[],27,1,[2],0,[],"",[],"",[]
33,"LifeRecoup","Damage taken [Recoup|Recouped] as Life",[9018],1,[],[],27,1,[],0,[],"",[],"",[]
34,"InfernalLegionBurning","",[9575],12,[],[],27,1,[],0,[],"",[],"",[]
35,"ManaStats","Mana",[238],0,[],[710],29,"",[],0,[],"",[],"",[]
36,"ManaUnreserved","[Reservation|Unreserved] Mana",[10059],0,[2831],[710],29,1,[],0,[],"",[],"",[]
37,"ManaRecovery","Total Mana Recovery per second",[1412],0,[],[710],29,1,[2],0,[],"",[],"",[]
38,"ManaRecoveryRegen","Mana Recovery per second from Regeneration",[241],0,[],[710],29,1,[2],0,[],"",[],"",[]
39,"ManaRecoveryFlasks","Mana Recovery per second from [Flask|Flasks]",[12683],0,[],[710],29,1,[2],0,[],"",[],"",[]
40,"ManaRecoveryLeech","Mana Recovery per second from [ManaLeech|Leech]",[8713],0,[],"[22261,710]",29,1,[2],0,[],"",[],"",[]
41,"ManaRecoveryOther","Mana Recovery per second from other sources",[12684],0,[],"[22261,710]",29,1,[2],0,[],"",[],"",[]
42,"ManaRecoup","Damage taken [Recoup|Recouped] as Mana",[1074],1,[],[710],29,1,[],0,[],"",[],"",[]
43,"EnergyShieldStats","Maximum [EnergyShield|Energy Shield]",[239],0,[],[],28,1,[],0,[],"",[],"",[]
44,"EnergyShieldRecharge","[EnergyShield|Energy Shield] [ESRecharge|Recharge] per Second",[242],0,[239],[],28,1,[2],0,[],"",[],"",[]
45,"EnergyShieldDelay","[EnergyShield|Energy Shield] [ESRecharge|Recharge] delay",[22289],9,[239],[],28,1,[13],0,[],"",[],"",[]
46,"EnergyShieldRecovery","Total [EnergyShield|Energy Shield] Recovery per second",[1413],0,[239],[],28,1,[2],0,[],"",[],"",[]
47,"EnergyShieldRecoveryRegen","[EnergyShield|Energy Shield] Recovery per second from Regeneration",[1058],0,[239],[],28,1,[2],0,[],"",[],"",[]
48,"EnergyShieldRecoveryRecharge","[EnergyShield|Energy Shield] Recovery per second from [ESRecharge|Recharge]",[12685],0,[239],[],28,1,[2],0,[],"",[],"",[]
49,"EnergyShieldRecoveryFlasks","[EnergyShield|Energy Shield] Recovery per second from [Flask|Flasks]",[12686],0,[239],[],28,1,[2],0,[],"",[],"",[]
50,"EnergyShieldRecoveryLeech","[EnergyShield|Energy Shield] Recovery per second from [EnergyShieldLeech|Leech]",[8714],0,[239],[],28,1,[2],0,[],"",[],"",[]
51,"ArmourStats","[Armour]",[233],0,[],[],30,1,[],0,[],"",[],"",[]
52,"ArmourEstimateReduction","Estimated [Physical] damage reduction",[729],1,[233],[],30,"",[],0,[],"",[],"",[]
53,"ArmourVsHitsEstimateReduction","Estimated [Physical] damage reduction against [HitDamage|Hits]",[6932],1,[6931],[],30,"",[],0,[],"",[],"",[]
54,"EvasionStats","[Evasion] Rating",[274],0,[],[],31,1,[],0,[],"",[],"",[]
55,"EvadeChance","Estimated chance to [Evasion|Evade]",[689],1,"[10077,274]",[],31,"",[],0,[],"",[],"",[]
56,"MeleeEvadeChance","Estimated chance to [Evasion|Evade] [Strike|Strikes]",[10075],1,[],[10077],31,1,[],0,[],"",[],"",[]
57,"ProjectileEvadeChance","Estimated chance to [Evasion|Evade] [Projectile|Projectiles]",[10076],1,[],[10077],31,1,[],0,[],"",[],"",[]
58,"Ward","Ward",[13680],0,[],[],43,1,[],0,[],"",[],"",[]
59,"WardDelay","Ward Restoration time",[13685],9,[13680],[],43,"",[9],0,[],"",[],"",[]
60,"EstimatedBlockChanceStats","Estimated Chance to [Block]",[22388],1,"[6859,22390]",[],33,1,[],0,[],"",[],"",[]
61,"BlockChanceStats","","[945,14147]",12,[6859],[],33,1,[],0,[],"",[],"",[]
62,"EstimatedProjBlockChance","Estimated Chance to [Block] [Projectile|Projectiles]",[22391],1,"[1071,6859]",[],33,1,[],0,[],"",[],"",[]
63,"BlockRec","[Block] Recovery modifier",[17080],7,[6859],[],33,1,[],0,[],"",[],"",[]
64,"FireResist","","[299,137]",12,[],[],32,"",[],4,[],"",[],"",[]
65,"ColdResist","","[298,139]",12,[],[],32,"",[],4,[],"",[],"",[]
66,"LightningResist","","[300,141]",12,[],[],32,"",[],4,[],"",[],"",[]
67,"ChaosResist","","[301,143]",12,[],[],32,"",[],4,[],"",[],"",[]
68,"ChaosResistAgainstDegen","Chaos Resistance against Damage over time",[5647],11,[5781],[707],32,"",[],0,[],"",[],"",[]
69,"FireResistTop","",[299],11,[],[1992],45,"",[],0,[],"",[],"",[]
70,"FireResistUncappedTop","",[2034],11,[],[1992],45,"",[],0,[],"",[],"",[]
71,"ColdResistTop","",[298],11,[],[1992],45,"",[],0,[],"",[],"",[]
72,"ColdResistUncappedTop","",[2035],11,[],[1992],45,"",[],0,[],"",[],"",[]
