"rownum","Id","bool","bool","i32","i32","i32","i32","bool","rid","i32","i32","bool","i32","i32","[i32]","bool","i32","bool"
0,"Idle",1,"",-16843010,-16843010,-16843010,-16843010,"","",-16843010,-16843010,"",-16843010,-16843010,[],"",2,""
1,"Melee","","",-16843010,-16843010,3,0,"","",-16843010,-16843010,"",-16843010,-16843010,[2],"",6,""
2,"MeleeWithStep","","",-16843010,-16843010,-16843010,-16843010,"","",-16843010,-16843010,"",-16843010,-16843010,[],"",6,""
3,"OffMelee","","",1,0,-16843010,-16843010,"","",-16843010,-16843010,"",-16843010,-16843010,[],"",6,""
4,"Run",1,"",-16843010,-16843010,-16843010,-16843010,"",15738,-16843010,-16843010,"",-16843010,-16843010,[],"",3,""
5,"TakeHit","","",-16843010,-16843010,-16843010,-16843010,"","",-16843010,-16843010,"",-16843010,-16843010,[],1,6,""
6,"Death",1,"",-16843010,-16843010,-16843010,-16843010,"","",-16843010,-16843010,"",-16843010,-16843010,[],"",4,""
7,"Stomp","","",-16843010,-16843010,-16843010,-16843010,"","",-16843010,-16843010,"",-16843010,-16843010,[],"",6,""
8,"Impale","","",-16843010,-16843010,-16843010,-16843010,"","",-16843010,-16843010,"",-16843010,-16843010,[],"",6,""
9,"Cleave","","",-16843010,-16843010,-16843010,-16843010,"","",-16843010,-16843010,"",-16843010,-16843010,[],"",6,""
10,"Charge",1,"",-16843010,-16843010,-16843010,-16843010,"","",125,0,"",11,0,[12],"",6,""
11,"ChargeEnd","","",-16843010,-16843010,-16843010,-16843010,"","",-16843010,-16843010,"",-16843010,-16843010,[],"",6,""
12,"ChargeEndAlt","","",11,0,-16843010,-16843010,"","",-16843010,-16843010,"",-16843010,-16843010,[],"",6,""
13,"GroundSlam","",1,-16843010,-16843010,118,0,"","",-16843010,-16843010,"",-16843010,-16843010,[],"",6,""
14,"LeapSlam","",1,-16843010,-16843010,119,0,"","",-16843010,-16843010,"",-16843010,-16843010,"[15,0,204]","",6,""
15,"LeapSlamNear","","",14,0,-16843010,-16843010,"","",-16843010,-16843010,"",-16843010,-16843010,[],"",6,""
16,"DoubleStrike","","",-16843010,-16843010,120,0,"","",-16843010,-16843010,"",-16843010,-16843010,[],"",6,""
17,"DoubleSlash","","",-16843010,-16843010,-16843010,-16843010,"","",-16843010,-16843010,"",-16843010,-16843010,[],"",6,""
18,"DoubleSlashOffhand","","",19,0,-16843010,-16843010,"","",-16843010,-16843010,"",-16843010,-16843010,[],"",6,""
19,"DoubleSlashMainhand","","",-16843010,-16843010,18,0,"","",-16843010,-16843010,"",-16843010,-16843010,[],"",6,""
20,"Sweep","","",-16843010,-16843010,-16843010,-16843010,"","",-16843010,-16843010,"",-16843010,-16843010,[],"",6,""
21,"SpellProjectile","","",23,0,-16843010,-16843010,"",15445,-16843010,-16843010,"",-16843010,-16843010,[],"",6,""
22,"SpellProjectileUpward","","",21,0,-16843010,-16843010,"","",-16843010,-16843010,"",-16843010,-16843010,[],"",6,""
23,"SpellAreaOfEffect","","",-16843010,-16843010,-16843010,-16843010,"","",-16843010,-16843010,"",-16843010,-16843010,[],"",6,""
24,"SpellBuff","","",-16843010,-16843010,-16843010,-16843010,"","",-16843010,-16843010,"",-16843010,-16843010,[],"",6,""
25,"SpellProjectileFire","","",21,0,-16843010,-16843010,"","",-16843010,-16843010,"",-16843010,-16843010,[],"",6,""
26,"SpellProjectileCold","","",21,0,-16843010,-16843010,"","",-16843010,-16843010,"",-16843010,-16843010,[],"",6,""
27,"SpellProjectileLightning","","",21,0,-16843010,-16843010,"","",-16843010,-16843010,"",-16843010,-16843010,[],"",6,""
28,"SpellProjectileChaos","","",21,0,-16843010,-16843010,"","",-16843010,-16843010,"",-16843010,-16843010,[],"",6,""
29,"SpellProjectileUpwardFire","","",22,0,-16843010,-16843010,"","",-16843010,-16843010,"",-16843010,-16843010,[],"",6,""
30,"SpellProjectileUpwardCold","","",22,0,-16843010,-16843010,"","",-16843010,-16843010,"",-16843010,-16843010,[],"",6,""
31,"SpellProjectileUpwardLightning","","",22,0,-16843010,-16843010,"","",-16843010,-16843010,"",-16843010,-16843010,[],"",6,""
32,"SpellProjectileUpwardChaos","","",22,0,-16843010,-16843010,"","",-16843010,-16843010,"",-16843010,-16843010,[],"",6,""
33,"SpellAreaOfEffectFire","","",25,0,-16843010,-16843010,"","",-16843010,-16843010,"",-16843010,-16843010,[],"",6,""
34,"SpellAreaOfEffectCold","","",26,0,-16843010,-16843010,"","",-16843010,-16843010,"",-16843010,-16843010,[],"",6,""
35,"SpellAreaOfEffectLightning","","",27,0,-16843010,-16843010,"","",-16843010,-16843010,"",-16843010,-16843010,[],"",6,""
36,"SpellAreaOfEffectChaos","","",28,0,-16843010,-16843010,"","",-16843010,-16843010,"",-16843010,-16843010,[],"",6,""
37,"SpellNova","","",23,0,-16843010,-16843010,"","",-16843010,-16843010,"",-16843010,-16843010,[],"",6,""
38,"SpellNovaFire","","",33,0,-16843010,-16843010,"","",-16843010,-16843010,"",-16843010,-16843010,[],"",6,""
39,"SpellNovaCold","","",34,0,-16843010,-16843010,"","",-16843010,-16843010,"",-16843010,-16843010,[],"",6,""
40,"SpellNovaLightning","","",35,0,-16843010,-16843010,"","",-16843010,-16843010,"",-16843010,-16843010,[],"",6,""
41,"SpellNovaChaos","","",36,0,-16843010,-16843010,"","",-16843010,-16843010,"",-16843010,-16843010,[],"",6,""
42,"SpellBuffFire","","",-16843010,-16843010,-16843010,-16843010,"","",-16843010,-16843010,"",-16843010,-16843010,[],"",6,""
43,"SpellBuffCold","","",-16843010,-16843010,-16843010,-16843010,"","",-16843010,-16843010,"",-16843010,-16843010,[],"",6,""
44,"SpellBuffLightning","","",-16843010,-16843010,-16843010,-16843010,"","",-16843010,-16843010,"",-16843010,-16843010,[],"",6,""
45,"SpellBuffChaos","","",-16843010,-16843010,-16843010,-16843010,"","",-16843010,-16843010,"",-16843010,-16843010,[],"",6,""
46,"Throw","","",-16843010,-16843010,113,0,"","",-16843010,-16843010,"",-16843010,-16843010,[],"",6,""
47,"Flurry","",1,-16843010,-16843010,-16843010,-16843010,"","",-16843010,-16843010,"",-16843010,-16843010,[],"",6,""
48,"LayTrap","","",-16843010,-16843010,-16843010,-16843010,"","",-16843010,-16843010,"",-16843010,-16843010,[],"",6,""
49,"LayTotem","","",48,0,-16843010,-16843010,"","",-16843010,-16843010,"",-16843010,-16843010,[],"",6,""
50,"LayBallista","","",48,0,-16843010,-16843010,1,"",-16843010,-16843010,"",-16843010,-16843010,[],"",6,""
51,"Emerge","","",-16843010,-16843010,-16843010,-16843010,"","",-16843010,-16843010,"",-16843010,-16843010,[],"",6,""
52,"DualStrike","","",-16843010,-16843010,-16843010,-16843010,"","",-16843010,-16843010,"",-16843010,-16843010,[],"",6,""
53,"Snipe","","",-16843010,-16843010,-16843010,-16843010,"","",-16843010,-16843010,"",-16843010,-16843010,[],"",6,""
54,"SnipeChannel",1,"",83,0,-16843010,-16843010,"","",-16843010,-16843010,"",55,0,[462],"",6,""
55,"SnipeChannelEnd","","",106,0,-16843010,-16843010,"","",-16843010,-16843010,"",-16843010,-16843010,[],"",6,""
56,"Block","","",-16843010,-16843010,-16843010,-16843010,"","",-16843010,-16843010,"",-16843010,-16843010,[],"",6,""
57,"GlacialHammer","","",-16843010,-16843010,58,0,"","",-16843010,-16843010,"",-16843010,-16843010,[],"",6,""
58,"OffGlacialHammer","","",57,0,-16843010,-16843010,"","",-16843010,-16843010,"",-16843010,-16843010,[],"",6,""
59,"Emerge2","","",-16843010,-16843010,-16843010,-16843010,"","",-16843010,-16843010,"",-16843010,-16843010,[],"",6,""
60,"Emerge3","","",-16843010,-16843010,-16843010,-16843010,"","",-16843010,-16843010,"",-16843010,-16843010,[],"",6,""
61,"HeavyStrike","","",-16843010,-16843010,62,0,"","",-16843010,-16843010,"",-16843010,-16843010,[],"",6,""
62,"OffHeavyStrike","","",61,0,-16843010,-16843010,"","",-16843010,-16843010,"",-16843010,-16843010,[],"",6,""
63,"RainOfArrows","","",-16843010,-16843010,-16843010,-16843010,"","",-16843010,-16843010,"",-16843010,-16843010,[],"",6,""
64,"RainOfArrowsAdditive","","",-16843010,-16843010,-16843010,-16843010,1,"",-16843010,-16843010,"",-16843010,-16843010,[],"",6,""
65,"BlastRain","","",-16843010,-16843010,-16843010,-16843010,"","",-16843010,-16843010,"",-16843010,-16843010,[],"",6,""
