"rownum","BaseItemType","AreaLevel","Tier","Odds"
0,2786,62,14,128
1,2786,62,15,1
2,2786,63,14,128
3,2786,63,15,2
4,2786,64,14,128
5,2786,64,15,4
6,2786,65,14,128
7,2786,65,15,8
8,2786,66,14,128
9,2786,66,15,16
10,2786,66,16,1
11,2786,67,14,64
12,2786,67,15,32
13,2786,67,16,2
14,2786,68,14,8
15,2786,68,15,64
16,2786,68,16,4
17,2786,69,14,4
18,2786,69,15,128
19,2786,69,16,8
20,2786,70,15,64
21,2786,70,16,16
22,2786,70,17,1
23,2786,71,15,32
24,2786,71,16,32
25,2786,71,17,2
26,2786,72,15,8
27,2786,72,16,64
28,2786,72,17,4
29,2786,73,15,4
30,2786,73,16,128
31,2786,73,17,8
32,2786,74,16,64
33,2786,74,17,16
34,2786,74,18,1
35,2786,75,16,32
36,2786,75,17,32
37,2786,75,18,2
38,2786,76,16,8
39,2786,76,17,64
40,2786,76,18,4
41,2786,77,16,4
42,2786,77,17,128
43,2786,77,18,8
44,2786,78,17,64
45,2786,78,18,16
46,2786,78,19,1
47,2786,79,17,32
48,2786,79,18,32
49,2786,79,19,2
50,2786,80,17,8
51,2786,80,18,64
52,2786,80,19,4
53,2786,81,17,4
54,2786,81,18,128
55,2786,81,19,8
56,2786,82,18,64
57,2786,82,19,16
58,2786,82,20,1
59,2786,83,18,32
60,2786,83,19,32
61,2786,83,20,2
62,2786,84,18,8
63,2786,84,19,64
64,2786,84,20,4
65,2786,85,18,4
66,2786,85,19,128
67,2786,85,20,8
68,2786,86,19,64
69,2786,86,20,16
70,2786,87,19,32
71,2786,87,20,32
72,2786,88,19,8
73,2786,88,20,64
74,2786,89,19,4
75,2786,89,20,128
76,3126,62,14,128
77,3126,62,15,1
78,3126,63,14,128
79,3126,63,15,2
80,3126,64,14,128
81,3126,64,15,4
82,3126,65,14,128
83,3126,65,15,8
84,3126,66,14,128
85,3126,66,15,16
86,3126,66,16,1
87,3126,67,14,64
88,3126,67,15,32
89,3126,67,16,2
90,3126,68,14,8
91,3126,68,15,64
92,3126,68,16,4
93,3126,69,14,4
94,3126,69,15,128
95,3126,69,16,8
96,3126,70,15,64
97,3126,70,16,16
98,3126,70,17,1
99,3126,71,15,32
100,3126,71,16,32
101,3126,71,17,2
102,3126,72,15,8
103,3126,72,16,64
104,3126,72,17,4
105,3126,73,15,4
106,3126,73,16,128
107,3126,73,17,8
108,3126,74,16,64
109,3126,74,17,16
110,3126,74,18,1
111,3126,75,16,32
112,3126,75,17,32
113,3126,75,18,2
114,3126,76,16,8
115,3126,76,17,64
116,3126,76,18,4
117,3126,77,16,4
118,3126,77,17,128
119,3126,77,18,8
120,3126,78,17,64
121,3126,78,18,16
122,3126,78,19,1
123,3126,79,17,32
124,3126,79,18,32
125,3126,79,19,2
126,3126,80,17,8
127,3126,80,18,64
128,3126,80,19,4
129,3126,81,17,4
130,3126,81,18,128
131,3126,81,19,8
132,3126,82,18,64
133,3126,82,19,16
134,3126,82,20,1
135,3126,83,18,32
136,3126,83,19,32
137,3126,83,20,2
138,3126,84,18,8
139,3126,84,19,64
140,3126,84,20,4
141,3126,85,18,4
142,3126,85,19,128
143,3126,85,20,8
144,3126,86,19,64
145,3126,86,20,16
146,3126,87,19,32
147,3126,87,20,32
148,3126,88,19,8
149,3126,88,20,64
150,3126,89,19,4
151,3126,89,20,128
