"rownum","i32","i32","i32","i32","i32","i32","rid","i32","i32","i32","i32","i32","i32","i32","i32","i32","bool","bool","rid","i32","i32","i32","bool","row","i32","bool","bool","i32","bool","i32"
0,1000,1,33,99,0,0,76,0,-30,0,0,0,0,0,0,0,"","",0,0,0,1,"",8,2,1,"",0,"",0
1,1001,1,10,150,0,0,77,0,0,0,0,0,0,0,0,0,"","",0,0,0,1,"",8,3,1,1,0,"",0
2,1002,1,15,75,0,0,78,0,0,0,0,0,0,0,0,0,"","",0,0,0,1,"",8,3,1,"",0,1,1022739087
3,1006,3,50,75,0,0,80,0,20,10,0,30,500,0,0,0,"","",0,0,0,2,1,8,4,1,"",0,"",0
4,1007,3,50,75,-20,0,80,0,20,10,0,-30,500,0,0,0,"","",0,0,0,2,1,8,4,1,"",0,"",0
5,1008,6,50,60,-25,0,79,0,30,10,0,0,1000,0,0,0,"","",0,0,0,2,1,8,4,1,"",0,"",0
6,1009,6,50,60,-25,0,79,0,30,10,0,0,1000,0,0,0,"","",0,0,0,2,1,8,4,1,"",0,"",0
7,1010,6,50,-60,0,180,79,60,60,0,0,30,1000,0,0,0,"","",0,0,0,2,1,8,4,"","",0,"",0
8,1014,1,50,75,0,0,81,0,0,0,0,0,1000,0,0,0,"","",0,0,0,0,"",8,3,"","",0,"",0
9,1015,1,10,80,0,0,82,0,0,0,0,0,0,0,0,0,"","",1036831949,0,0,1,1,8,3,1,"",0,"",0
10,1034,1,25,75,0,0,76,0,0,0,0,-110,0,0,0,0,"","",0,0,0,2,1,8,4,1,"",0,1,1028443341
11,1035,1,15,200,0,0,84,0,0,0,0,0,0,0,0,0,"","",1036831949,0,0,0,1,8,3,1,1,0,"",0
12,1036,1,12,300,0,0,85,0,0,0,0,0,0,0,0,0,"","",1036831949,0,0,1,1,8,3,1,1,0,1,1014350479
13,1037,1,80,80,0,0,88,0,0,0,0,0,0,0,0,0,"","",1036831949,0,0,0,1,8,2,1,"",0,"",0
14,1038,1,43,100,0,0,89,0,0,0,0,0,0,0,0,0,"","",0,0,0,0,"",8,4,1,1,0,"",0
15,1039,1,18,500,0,0,87,0,0,0,0,0,120,0,0,0,"","",1036831949,0,0,0,1,8,3,1,1,0,1,1008981770
16,1040,1,4,900,15,0,90,0,0,0,0,0,18500,0,0,0,"","",0,0,0,2,"",8,4,1,"",0,"",0
17,1041,1,35,800,-25,0,91,0,0,0,0,0,933,0,0,0,"","",0,0,0,1,"",8,12,1,"",0,"",0
18,1042,1,35,800,8,0,91,0,0,0,0,0,933,0,0,0,"","",0,0,0,1,"",8,12,1,"",0,"",0
19,1043,1,40,45,0,0,145,0,20,0,0,0,150,0,0,0,"","",0,0,0,0,1,8,4,1,"",0,1,1028443341
20,1044,1,25,75,0,0,76,0,0,0,0,110,0,0,0,0,"","",0,0,0,2,1,8,4,1,"",0,1,1028443341
21,1045,1,20,60,0,0,92,0,0,0,0,0,0,0,0,0,"","",0,0,0,0,"",8,12,1,"",0,1,1028443341
22,1046,1,35,800,-8,0,91,0,0,0,0,0,933,0,0,0,"","",0,0,0,1,"",8,12,1,"",0,"",0
23,1047,1,35,800,25,0,91,0,0,0,0,0,933,0,0,0,"","",0,0,0,1,"",8,12,1,"",0,"",0
24,1048,1,25,100,0,0,93,0,0,0,0,0,150,0,0,0,"",1,0,0,0,0,"",8,2,1,"",0,"",0
25,1049,1,7,160,0,0,84,0,0,0,0,0,0,0,0,0,"","",1036831949,0,0,0,1,8,3,1,1,0,1,1014350479
26,1050,1,40,300,0,0,1600,0,0,0,0,0,933,0,0,0,"","",0,0,0,2,"",8,12,1,"",0,"",0
27,1051,6,35,210,0,180,91,60,20,0,0,30,933,0,3,3,"","",0,0,0,1,"",8,12,1,"",0,"",1014350479
28,1052,1,10,80,0,0,83,0,0,0,0,0,0,0,0,0,"","",1036831949,0,0,1,1,8,3,1,"",0,"",0
29,1053,1,4,300,0,0,1603,0,0,0,0,0,1500,0,0,0,"","",1036831949,0,0,0,1,8,3,1,"",0,"",0
30,1054,1,40,100,0,0,1115,0,0,0,0,0,933,0,0,0,"","",0,0,0,1,"",8,3,1,"",0,1,1014350479
