"rownum","Id","MiscAnimatedKey1","SpawnWeight","LevelMin","LevelMax","BuffDefinitionsKey","BuffStatValues","SpawnPatterns","ModsKey","[i32]","[i32]","MiscAnimatedKey2","EnvironmentsKey","i32","Achievements","Type","Description","DaemonSpawningDataKey","bool","[rid]","i32","i32","i32","i32"
0,"Blood1",4986,100,65,100,1656,[],[2],[],[],"[0,0,0,0]",8798,1571,4,[],"Contaminated","Waves of Blood pass through the Ritual Site",0,"","[686,687,688,689]",950,1056,950,1100
1,"Blood2",4986,0,65,100,1656,[],[1],[],[],"[0,0,0,0]",8798,1571,4,[],"Prowling","Crimson Wolves strike from the Darkness",5,"","[686,687,688,689]",950,1056,950,1100
2,"Blood3",4986,0,65,100,1656,[],[0],[],[],"[0,0,0,0]",8798,1571,4,[],"Fractured","Exploding Corpses rise into the Ritual Site",7,"","[686,687,688,689]",950,1056,950,1100
3,"Locust1",4986,0,65,100,1656,[],[2],[],[],"[0,0,0,0]",8798,1571,4,[],"Plagued","Swarms of Locusts fill the Ritual Site",1,"","[690,691,692,693]",950,1056,950,1100
4,"Rats1",4986,100,65,100,1656,[],[3],[],[],"[0,0,0,0]",8798,1571,6,[],"Infested","Tornadoes of Rats traverse the Ritual Site",2,"","[686,687,688,689]",950,1056,950,1100
5,"Infection1",4986,100,65,100,1656,[],[3],[],[],"[0,0,0,0]",8798,1571,4,[],"Tainted","Chaotic Boils grow and explode when Touched",3,"","[686,687,688,689]",950,1056,950,1100
6,"Miasma1",4986,100,65,100,1656,[],[0],[],[],"[0,0,0,0]",8798,1571,5,[],"Smothered","Chaotic Plants release explosive Pods",4,"","[681,682,683,684,685]",950,1056,950,1100
7,"Miasma2",4986,100,65,100,1656,[],[1],[],[],"[0,0,0,0]",8798,1571,5,[],"Sapping","Clouds of Elemental Disturbance slow you, lower your Elemental Resistances\nand enhance Monster Resistances",8,"","[681,682,683,684,685]",950,1056,950,1100
8,"Frog1",4986,0,65,100,1656,[],[4],[],[],"[0,0,0,0]",8798,1571,0,[],"Croaking","Giant plaguebringing Toads emerge from the Darkness",6,"","[690,691,692,693]",950,1056,950,1100
9,"HuntingGroundsQuestArea",4986,0,0,100,1656,[],[2],[],[],"[0,0,0,0]",8798,1570,0,[],"","","","","[690,691,692,693]",1100,1300,760,1300
10,"CanopyQuestArea",4986,0,0,100,1656,[],[2],[],[],"[0,0,0,0]",8798,1571,0,[],"","","","","[690,691,692,693]",1100,1300,760,1300
