"rownum","string","[rid]","[rid]","[rid]","[rid]","[rid]","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","string","rid","i32","bool","rid","rid","i32","i32","bool","rid","rid"
0,"MainHandAttack","[269,270]","[257,258]","[261,262]","[253,254]","[265,266]",22098,594,18602,2756,"","","",292,18762,14637,11335,18632,945,1073,14596,275,17928,17934,17933,280,454,469,"main hand",2,0,1,22378,22382,1,0,"",22103,538
1,"MainHandFakeHitForAilments","[269,270]","[257,258]","[261,262]","[253,254]","[265,266]",22098,594,18602,2756,"","","","","","","","","","","","","","","","","","","main hand fake hit ailment",2,0,1,"","",-16843010,-16843010,1,22103,538
2,"OffHandAttack","[271,272]","[259,260]","[263,264]","[255,256]","[267,268]",22099,595,18602,2756,"","","",293,18763,14637,11335,18632,945,1073,14596,276,17928,17934,17933,281,455,470,"off hand",2,1,1,22379,22383,3,0,"",22104,539
3,"OffHandFakeHitForAilments","[271,272]","[259,260]","[263,264]","[255,256]","[267,268]",22099,595,18602,2756,"","","","","","","","","","","","","","","","","","","off hand fake hit ailment",2,1,1,"","",-16843010,-16843010,1,22104,539
4,"Spell","[251,252]","[245,246]","[247,249]","[243,244]","[248,250]",22100,596,8891,2756,14103,17010,14105,102,197,"",11335,18632,945,1073,14596,2233,"","","",104,14518,2280,"spell",3,2,"",22380,22384,5,0,"","",540
5,"SpellFakeHitForAilments","[251,252]","[245,246]","[247,249]","[243,244]","[248,250]",22100,596,8891,2756,"","","","","","","","","","","","","","","","","","","spell fake hit ailment",3,2,"","","",-16843010,-16843010,1,"",540
6,"Secondary","[715,716]","[719,720]","[721,722]","[717,718]","[723,724]",22101,725,8891,2756,"","","",102,197,"","","","","","","","","","",104,14518,2280,"secondary damage",4,3,"",22381,22385,7,0,"","",726
7,"SecondaryFakeHitForAilments","[715,716]","[719,720]","[721,722]","[717,718]","[723,724]",22101,725,8891,2756,"","","","","","","","","","","","","","","","","","","secondary fake hit ailment",4,3,"","","",-16843010,-16843010,1,"",726
8,"SecondaryWithMainHandDefence","[715,716]","[719,720]","[721,722]","[717,718]","[723,724]",22101,725,8891,2756,"","","",292,197,14637,11335,18632,945,1073,14596,275,17928,17934,17933,280,454,469,"secondary main hand",4,3,"",22381,22385,7,0,"","",726
9,"SecondaryWithOffHandDefence","[715,716]","[719,720]","[721,722]","[717,718]","[723,724]",22101,725,8891,2756,"","","",293,197,14637,11335,18632,945,1073,14596,276,17928,17934,17933,281,455,470,"secondary off hand",4,3,"",22381,22385,7,0,"","",726
10,"SecondaryWithSpellDefence","[715,716]","[719,720]","[721,722]","[717,718]","[723,724]",22101,725,8891,2756,14103,17010,14105,102,197,"",11335,18632,945,1073,14596,2233,"","","",104,14518,2280,"secondary spell",4,3,"",22381,22385,7,0,"","",726
11,"Thorns","[20370,20371]","[20374,20375]","[20376,20377]","[20372,20373]","[20378,20379]",22102,20380,8891,2756,"","","",102,197,"","","","","","","","","","",104,14518,2280,"thorns",41,4,"",22381,22385,7,0,"","",20383
