"rownum","InfluencePack","MonsterPacks","rid","[rid]","i32","i32","i32","i32","[i32]","i32","i32","rid","i32","i32","i32","i32","bool","bool","bool","bool"
0,0,[],"",[],0,0,8,0,[],0,0,16668,20,20,15,15,"","","",""
1,1,[],"",[],0,0,8,0,[],0,0,16668,30,30,20,20,"","","",""
2,2,[],"",[],0,0,8,0,[],0,0,16668,40,40,25,25,"","","",""
3,3,[],"",[],0,0,8,0,[],0,0,16668,20,20,15,15,"","","",""
4,4,[],"",[],0,0,8,0,[],0,0,16668,30,30,20,20,"","","",""
5,5,[],"",[],0,0,8,0,[],0,0,16668,40,40,25,25,"","","",""
6,6,[],"",[],0,0,8,0,[],0,0,16668,20,20,15,15,"","","",""
7,7,[],"",[],0,0,8,0,[],0,0,16668,30,30,20,20,"","","",""
8,8,[],"",[],0,0,8,0,[],0,0,16668,40,40,25,25,"","","",""
9,9,[],"",[],0,0,8,0,[],0,0,16668,20,20,15,15,"","","",""
10,10,[],"",[],0,0,8,0,[],0,0,16668,30,30,20,20,"","","",""
11,11,[],"",[],0,0,8,0,[],0,0,16668,40,40,25,25,"","","",""
12,12,[],"",[],0,0,8,0,[],0,0,"",15,15,15,15,"","","",""
13,13,[],"",[],0,0,8,0,[],0,0,"",15,15,15,15,"","","",""
14,14,[],"",[],0,0,8,0,[],0,0,"",15,15,15,15,"","","",""
15,15,[],"",[],0,0,8,0,[],0,0,"",15,15,15,15,"","","",""
16,16,[],"",[10214],0,0,8,0,[15],0,0,"",0,0,0,0,"","","",""
17,17,[],"",[],0,0,8,0,[],0,0,"",6,6,6,6,"","","",""
18,18,[],"",[],0,0,8,0,[],0,0,"",4,4,4,4,"","","",""
19,19,[],"",[],0,0,8,0,[],0,0,"",6,6,6,6,"","","",""
20,20,[],1373,[],5,0,28,0,[],0,0,"",0,0,0,0,"","","",""
21,21,[],1374,[],7,0,48,0,[],0,0,"",0,0,0,0,"","","",""
22,22,[],1375,[],4,0,76,0,[],0,0,"",0,0,0,0,"","","",""
23,23,[],1376,[],5,0,92,0,[],0,0,"",0,0,0,0,"","","",""
24,25,[],"",[],0,0,8,0,[],70,100,15440,3,3,3,3,1,"","",""
25,26,[],"",[],0,0,8,0,[],70,100,15440,3,3,3,3,1,"","",""
26,27,[],"",[],0,0,8,0,[],0,0,15440,8,18,8,18,1,"","",""
27,28,[],"",[],0,0,8,0,[],0,0,15440,10,23,10,20,1,"","",""
28,29,[],"",[],0,0,8,0,[],0,0,15440,12,28,12,22,1,"","",""
29,30,[],"",[],0,0,8,0,[],0,0,15440,14,32,14,24,1,"","",""
30,31,[],"",[],0,0,8,0,[],0,0,15440,16,36,16,26,1,"","",""
31,32,[],"",[],0,0,8,0,[],0,0,15440,18,48,18,28,1,"","",""
32,33,[],"",[],0,0,8,0,[],0,0,15440,20,60,20,30,1,"","",""
33,34,[],"",[],0,0,8,0,[],0,0,15440,20,60,20,30,1,"","",""
34,35,[],"",[],0,0,8,0,[],70,100,15441,3,3,3,3,1,"","",""
35,36,[],"",[],0,0,8,0,[],70,100,15441,3,3,3,3,1,"","",""
36,37,[],"",[],0,0,8,0,[],0,0,15441,8,18,8,18,1,"","",""
37,38,[],"",[],0,0,8,0,[],0,0,15441,10,23,10,20,1,"","",""
38,39,[],"",[],0,0,8,0,[],0,0,15441,12,28,12,22,1,"","",""
39,40,[],"",[],0,0,8,0,[],0,0,15441,14,32,14,24,1,"","",""
40,41,[],"",[],0,0,8,0,[],0,0,15441,16,36,16,26,1,"","",""
41,42,[],"",[],0,0,8,0,[],0,0,15441,18,48,18,28,1,"","",""
42,43,[],"",[],0,0,8,0,[],0,0,15441,20,60,20,30,1,"","",""
43,44,[],"",[],0,0,8,0,[],0,0,15441,20,60,20,30,1,"","",""
