"rownum","Id","rid","i32","[rid]","[i32]","i32","i32","rid","i32","Suffix","rid"
0,"MemoryLineAnarchy1",2,52576,[16120],[3],4,1224,1244,0,"of Organised Chaos",5884
1,"MemoryLineAnarchy2",2,45329,[],[],1,1225,1245,0,"of Ransacked Relics",5884
2,"MemoryLineDomination1",8,37208,"[14825,16110]","[10,100]",6,1226,1246,0,"of Formidable Shrines",5884
3,"MemoryLineDomination2",8,35260,"[15973,16941]","[4,300]",3,1227,1247,0,"of the Pantheon",12995
4,"MemoryLineEssence1",9,53818,[],[],1,1228,1248,0,"of Collective Stasis",5884
5,"MemoryLineEssence2",9,23679,"[15985,12898,12989,14828,12990]","[1,100,1,1,100]",5,1229,1249,0,"of Crystal Prisons",12996
6,"MemoryLineAmbush1",1,46590,"[16142,4965]","[4,1]",4,1230,1250,0,"of Cascading Fortunes",12997
7,"MemoryLineAmbush2",1,33628,"[4907,4968]","[1,2]",3,1231,1251,0,"of Hidden Behemoths",5884
8,"MemoryLineBreach1",6,40744,"[16028,12610,15457]","[1,40,1]",4,1232,1252,0,"of Demonic Onslaught",12998
9,"MemoryLineBreach2",6,36724,"[16104,13022,12871]","[1,100,100]",6,1233,1253,0,"of Grasping Hands",12999
10,"MemoryLineTorment1",17,19174,[2712],[1],1,1234,1254,0,"of Self-Possession",5884
11,"MemoryLineTorment2",17,24671,[2712],[1],3,1235,1255,0,"of Tormented Souls",13000
12,"MemoryLineHarbinger1",18,24813,"[16130,16183]","[1,50]",4,1236,1256,0,"of Survivor's Guilt",13001
13,"MemoryLineHarbinger2",18,29521,[16002],[1],4,1237,1257,0,"of Phaaryl",13002
14,"MemoryLineBestiary1",3,50665,[2272],[2],3,1238,1258,0,"of Harvest Beasts",13003
15,"MemoryLineBestiary2",3,46008,"[2272,13071]","[2,100]",4,1239,1259,0,"of the Menagerie",5884
16,"MemoryLineIncursion1",13,23896,"[1359,2296,13106]","[100,1,50]",4,1240,1260,0,"of Reverse Incursion",13004
17,"MemoryLineBetrayal1",4,60599,[2272],[6],1,1241,1261,0,"of Bounty Hunters",5884
18,"MemoryLineHarvest1",11,39024,"[16115,16117,16156]","[1,1,1]",4,1242,1262,0,"of the Sacred Grove",13005
19,"MemoryLineAbyss1",0,55290,[15453],[1],4,1243,1263,0,"of Chasms",13006
