"rownum","Id","WordsKey","FlavourTextKey","MinLevel","ModsKeys","SpawnWeight","[i32]","AOFile","bool","[i32]","AppearanceChestsKey","ChestsKey","[rid]","i32","bool","i32"
0,"ForgottenReliquaryChest",892,1189,0,[9841],0,[],"Metadata/Chests/CopperChests/ClassicVault.ao",1,[],"",111,[],60,"",0
1,"ForgottenReliquaryChest2",893,1190,0,[9842],0,[],"Metadata/Chests/CopperChests/ClassicVault.ao",1,[],"",112,[],60,"",0
2,"ForgottenReliquaryChestVaal",894,1191,0,[9843],0,[],"Metadata/Chests/CopperChests/ClassicVault.ao",1,[],"",113,[],60,"",0
3,"ForgottenReliquaryVenarius",895,1192,0,[9844],0,[],"Metadata/Chests/CopperChests/ClassicVault.ao",1,[],"",114,[],60,"",0
4,"ForgottenReliquaryEaterOfWorlds",896,1193,0,[9845],0,[],"Metadata/Chests/CopperChests/ClassicVault.ao",1,[],"",115,[],60,"",0
5,"ForgottenReliquaryMaven",897,1194,0,[9846],0,[],"Metadata/Chests/CopperChests/ClassicVault.ao",1,[],"",116,[],60,"",0
6,"ForgottenReliquarySearingExarch",898,1195,0,[9847],0,[],"Metadata/Chests/CopperChests/ClassicVault.ao",1,[],"",117,[],60,"",0
7,"ForgottenReliquarySirus",899,1196,0,[9848],0,[],"Metadata/Chests/CopperChests/ClassicVault.ao",1,[],"",118,[],60,"",0
8,"ForgottenReliquaryShaper",900,1197,0,[9849],0,[],"Metadata/Chests/CopperChests/ClassicVault.ao",1,[],"",119,[],60,"",0
9,"ForgottenReliquaryUberElder",901,1198,0,[9850],0,[],"Metadata/Chests/CopperChests/ClassicVault.ao",1,[],"",120,[],60,"",0
10,"ForgottenReliquaryCosmic",902,1199,0,[9851],0,[],"Metadata/Chests/Legacy/ForgottenReliquaryCosmic.ao",1,[],"",121,[],60,"",0
11,"ReliquaryTwilightOrder",1726,1200,0,[],0,[],"Metadata/Chests/Reliquary/kethChestGold.ao",1,[],"",2145,[],60,"",0
12,"UniqueCorruptionVaalStrongboxMartial",1727,3217,58,[4463],440,[],"Metadata/Chests/StrongBoxes/VaalStrongbox.ao",1,"[7191,0]","",81,[],57,1,16777216
13,"UniqueCorruptionVaalStrongboxMartialLow",1727,3217,33,[4463],440,[],"Metadata/Chests/StrongBoxes/VaalStrongbox.ao",1,"[7191,0]","",82,[],57,1,16777216
14,"UniqueCorruptionVaalStrongboxMartialHigh",1727,3217,0,[4463],440,[],"Metadata/Chests/StrongBoxes/VaalStrongbox.ao",1,"[7191,0]","",83,[],57,1,16777216
15,"UniqueCorruptionVaalStrongboxCaster",1727,3217,58,[4463],106,[],"Metadata/Chests/StrongBoxes/VaalStrongbox.ao",1,"[7191,0]","",84,[],58,1,16777216
16,"UniqueCorruptionVaalStrongboxCasterLow",1727,3217,33,[4463],106,[],"Metadata/Chests/StrongBoxes/VaalStrongbox.ao",1,"[7191,0]","",85,[],58,1,16777216
17,"UniqueCorruptionVaalStrongboxCasterHigh",1727,3217,0,[4463],106,[],"Metadata/Chests/StrongBoxes/VaalStrongbox.ao",1,"[7191,0]","",86,[],58,1,16777216
18,"UniqueCorruptionVaalStrongboxArmourer",1727,3217,58,[4463],440,[],"Metadata/Chests/StrongBoxes/VaalStrongbox.ao",1,"[7191,0]","",87,[],59,1,16777216
19,"UniqueCorruptionVaalStrongboxArmourerLow",1727,3217,33,[4463],440,[],"Metadata/Chests/StrongBoxes/VaalStrongbox.ao",1,"[7191,0]","",88,[],59,1,16777216
20,"UniqueCorruptionVaalStrongboxArmourerHigh",1727,3217,0,[4463],440,[],"Metadata/Chests/StrongBoxes/VaalStrongbox.ao",1,"[7191,0]","",89,[],59,1,16777216
