"rownum","rid","rid","rid","rid"
0,31,6876,805,8350
1,31,15994,1878,8350
2,30,15665,1829,8351
3,30,6876,806,8351
4,30,11377,1340,8351
5,30,15994,1880,8351
6,32,15575,1826,8352
7,32,6876,804,8352
8,32,3136,483,8352
9,32,15994,1879,8352
10,32,16434,1914,8352
11,31,16436,1913,8350
12,30,16435,1915,8351
13,31,17489,1965,8350
14,32,17490,1966,8352
15,30,17491,1967,8351
16,30,17492,1968,8351
17,32,20065,2209,""
18,30,20066,2210,""
19,31,20067,2211,""
20,32,20270,2233,""
21,30,20269,2232,""
22,31,20268,2231,""
