"rownum","rid","[rid]","[rid]","[rid]","[rid]","i32","[rid]"
0,17429,[],[],[1960],[],3,[]
1,9399,[],[],[1143],[],3,[]
2,9398,[],[],[1142],[],3,[]
3,3986,[],[],[574],[],3,[]
4,4024,[],[],[576],[],3,[]
5,12593,[],[],[1457],[],3,[]
6,10183,[],[],[871],[],3,[]
7,17029,[2551],[],[],[],3,[]
8,17493,[],[],[],"[563,564]",3,[]
9,17651,[3547],[],[],[],3,[]
10,17833,[],[],[1983],[],3,[]
11,18586,[8203],[],[],[],3,[]
12,18908,[],[],[],[],3,[171]
13,20069,[8756],[],[],[],3,[]
14,20336,[8794],[],[],[],3,[]
15,20625,[],[],[2247],[],3,[]
16,20764,[8795],[],[],[],3,[]
17,12725,[],[],[1478],[],3,[]
18,21948,[],[],[],"[1011,1012]",3,[]
19,22496,[9287],[],[],[],3,[]
