"rownum","Id","FlagStat"
0,"Attack",2863
1,"Spell",424
2,"Projectile",6018
3,"DualWieldOnly",""
4,"Buff",19309
5,"Minion",5898
6,"Damage",""
7,"Area",9228
8,"Duration",""
9,"RequiresShield",8052
10,"ProjectileSpeed",""
11,"HasReservation",""
12,"ReservationBecomesCost",""
13,"Trappable",""
14,"Totemable",""
15,"Mineable",""
16,"ElementalStatus",""
17,"MinionsCanExplode",""
18,"Chains",14508
19,"Melee",6296
20,"MeleeSingleTarget",10096
21,"Multicastable",""
22,"TotemCastsAlone",""
23,"CausesBurning",""
24,"SummonsTotem",10086
25,"TotemCastsWhenNotDetached",""
26,"Physical",8787
27,"Fire",2707
28,"Cold",2708
29,"Lightning",2709
30,"Triggerable",8777
31,"Triggers",""
32,"Trapped",""
33,"Movement",3038
34,"DamageOverTime",""
35,"RemoteMined",""
36,"Triggered",20238
37,"Vaal",2856
38,"Aura",2878
39,"CanTargetUnusableCorpse",""
40,"RangedAttack",""
41,"Chaos",2760
42,"FixedSpeedProjectile",""
43,"ThresholdJewelArea",""
44,"ThresholdJewelProjectile",""
45,"ThresholdJewelDuration",""
46,"ThresholdJewelRangedAttack",""
47,"Channel",6008
48,"DegenOnlySpellDamage",""
49,"InbuiltTrigger",""
50,"Golem",""
51,"Herald",10318
52,"AuraAffectsEnemies",""
53,"NoRuthless",""
54,"ThresholdJewelSpellDamage",""
55,"Cascadable",""
56,"ProjectilesFromUser",""
57,"MirageArcherCanUse",""
58,"ProjectileSpiral",""
59,"SingleMainProjectile",""
60,"MinionsPersistWhenSkillRemoved",""
61,"ProjectileNumber",6018
62,"Warcry",3291
63,"Instant",""
64,"Brand",8153
65,"TargetsDestructibleCorpses",""
66,"NonHitChill",""
67,"ChillingArea",""
68,"AppliesCurse",2437
69,"CanRapidFire",""
70,"AuraDuration",""
71,"AreaSpell",""
72,"OR",""
73,"AND",""
74,"NOT",""
75,"AppliesMaim",""
76,"CreatesMinion",16280
77,"Guard",9236
78,"Travel",9237
79,"Blink",""
80,"CanHaveBlessing",""
81,"ProjectilesNotFromUser",""
82,"AttackInPlaceIsDefault",""
83,"Nova",10112
84,"InstantNoRepeatWhenHeld",""
85,"InstantShiftAttackForLeftMouse",""
86,"AuraNotOnCaster",10349
87,"Banner",10350
88,"Rain",10385
89,"Cooldown",""
90,"ThresholdJewelChaining",""
91,"Slam",11219
92,"Stance",11349
93,"NonRepeatable",""
