"rownum","ChestsKey","SpawnWeight","i32","bool","bool","SpawnWeightIncrease","SpawnWeightHardmode"
0,81,200,5,"",1,"",200
1,82,200,5,"",1,"",200
2,83,200,5,"",1,"",200
3,84,50,5,"",1,"",50
4,85,50,5,"",1,"",50
5,86,50,5,"",1,"",50
6,87,200,5,"",1,"",200
7,88,200,5,"",1,"",200
8,89,200,5,"",1,"",200
9,90,10,5,"",1,"",10
10,91,10,5,"",1,"",10
11,92,10,5,"",1,"",10
12,93,200,5,"",1,14833,200
13,94,200,5,"",1,14833,200
14,95,200,5,"",1,14833,200
15,96,10,5,1,1,14834,10
16,97,100,12,"",1,"",100
17,98,100,12,"",1,"",100
18,99,100,12,"",1,"",100
19,100,300,7,"",1,"",300
20,101,300,7,"",1,"",300
21,102,300,7,"",1,"",300
22,103,100,7,"",1,14835,100
23,104,100,7,"",1,14835,100
24,105,100,7,"",1,14835,100
