"rownum","BaseItemType","ItemClass","Stats","StatsValues"
0,565,22,[1383],[5]
1,566,25,[153],[12]
2,567,23,[3239],[5]
3,568,23,[97],[15]
4,569,22,[9612],[10]
5,570,25,[20653],[8]
6,571,22,[19539],[1]
7,572,25,[423],[8]
8,573,23,[18626],[20]
9,574,24,[147],[8]
10,575,24,[14722],[2]
11,565,32,[18219],[8]
12,566,32,[18210],[30]
13,567,32,[18220],[8]
14,568,32,[18222],[14]
15,569,32,[18223],[14]
16,570,32,[18221],[100]
17,571,32,[18225],[480]
18,572,32,"[18211,18212]","[12,18]"
19,573,32,[18224],[8]
20,574,32,[16424],[10]
21,575,32,[18626],[20]
