"rownum","Id","i32","f32","rid","rid","rid"
0,"IgnitedGround",4,24,3470,182,""
1,"ChilledGround",4,0,5882,184,""
2,"CausticCloud",8,5,4439,478,""
3,"Tar",4,0,4776,185,""
4,"Smoke",8,0,11705,1408,""
5,"Desecration",4,24,2158,222,""
6,"Consecration",10,0,8228,223,1173
7,"ShockedGround",4,0,9655,246,""
8,"Vortex",4,4,4669,636,""
9,"Haste",4,0,"",721,""
10,"Sandstorm",0,24,"",810,""
11,"Blizzard",4,0,"",740,184
12,"Spores",4,24,6897,463,""
13,"DevouringDarkness",4,24,"",779,""
14,"Quicksand",0,24,7509,859,""
15,"Blood",0,24,13999,1049,""
16,"TemporalAnomaly",10,0,9525,938,1322
17,"OrionMeteor",0,0,"",1352,246
18,"CrownOfThorns",4,24,3470,1483,""
19,"VaalCloud",4,24,"",316,""
20,"Profane",10,0,"",1456,""
21,"ChaosOfferingOfJudgement",6,24,"",503,519
22,"FireOfferingOfJudgement",6,24,"",502,519
23,"DespairBearGeyser",0,24,"",803,""
24,"Fungal",0,0,"",1312,1314
25,"BestiarySpiderWeb",0,24,20716,968,""
26,"Unused",0,0,"",184,""
27,"Oil",4,24,15204,1536,182
28,"ScorchedGround",4,0,"",1623,""
29,"GravityWell",0,24,"",1662,""
30,"LightningVortex",4,4,13250,1692,""
31,"BrittleGround",4,0,"",1935,""
32,"SappedGround",4,0,"",1936,""
33,"Sludge",4,0,17586,1944,""
34,"Sanctum",4,0,16840,2033,""
35,"SanctumFire",4,0,3470,183,""
36,"SanctumChaos",8,5,4439,479,""
37,"LivingBlood",4,0,"",1344,1345
38,"FungalArtillery",4,24,"",1348,""
39,"ChimeraCorrupted",4,0,16391,2148,""
40,"Jagged",0,0,"",2156,""
41,"Sulphite",0,0,17538,2165,""
42,"PhysFireLifeRecover",4,24,18969,2355,""
43,"PoisonCloud",0,0,"",2555,""
44,"SpiderWeb",4,0,20716,2558,""
45,"ManaSiphoningGround",0,0,22180,1891,""
46,"GenericGroundEffect",4,0,22254,2585,""
