"rownum","DelveUpgradeTypeKey","UpgradeLevel","StatsKeys","StatValues","Cost","i32","AchievementItemsKey","i32"
0,6,0,[],[],0,0,"",0
1,0,0,[7812],[1200],0,0,"",0
2,0,1,[7812],[1800],15,1,"",6
3,0,2,[7812],[2400],102,2,"",13
4,0,3,[7812],[3000],187,3,"",20
5,0,4,[7812],[4000],300,4,"",25
6,0,5,[7812],[5200],444,4,"",29
7,0,6,[7812],[6400],630,4,"",35
8,0,7,[7812],[9000],865,4,"",0
9,0,8,[7812],[12500],1016,4,"",0
10,0,9,[7812],[17500],1496,4,"",0
11,0,10,[7812],[22750],2143,4,"",0
12,0,11,[7812],[30000],5271,4,"",0
13,0,12,[7812],[38500],12962,4,"",0
14,0,13,[7812],[46000],21521,4,"",0
15,0,14,[7812],[55000],33728,4,"",0
16,0,15,[7812],[65000],54709,4,"",0
17,1,0,[7813],[3],0,0,"",0
18,1,1,[7813],[4],92,0,"",6
19,1,2,[7813],[5],199,0,"",13
20,1,3,[7813],[6],370,0,"",20
21,1,4,[7813],[7],560,0,"",25
22,1,5,[7813],[8],762,0,"",29
23,1,6,[7813],[9],1255,0,"",35
24,1,7,[7813],[10],1495,0,"",0
25,1,8,[7813],[11],1860,0,"",0
26,1,9,[7813],[12],2312,0,"",0
27,1,10,[7813],[13],4046,0,"",0
28,1,11,[7813],[14],7081,0,"",0
29,1,12,[7813],[15],12391,0,"",0
30,1,13,[7813],[16],18678,0,"",0
31,1,14,[7813],[17],25082,0,"",0
32,1,15,[7813],[18],33246,0,"",0
33,1,16,[7813],[19],43909,0,"",0
34,1,17,[7813],[20],58214,0,"",0
35,2,0,[7814],[2],0,0,"",0
36,2,1,[7814],[3],70,0,"",0
37,2,2,[7814],[4],214,0,"",0
38,2,3,[7814],[5],586,0,"",0
39,2,4,[7814],[6],1386,0,"",0
40,2,5,[7814],[7],2050,0,"",0
41,3,0,[7815],[0],0,0,"",0
42,3,1,[7815],[30],50,1,"",6
43,3,2,[7815],[60],167,2,"",13
44,3,3,[7815],[90],312,3,"",20
45,3,4,[7815],[120],505,4,"",25
46,3,5,[7815],[150],688,4,"",29
47,3,6,[7815],[180],1012,4,"",35
48,3,7,[7815],[210],1224,4,"",0
49,3,8,[7815],[240],1397,4,"",0
50,3,9,[7815],[270],1487,4,"",0
51,3,10,[7815],[300],1682,4,"",0
52,3,11,[7815],[330],1832,4,"",0
53,3,12,[7815],[360],1943,4,"",0
54,3,13,[7815],[390],2222,4,"",0
55,3,14,[7815],[420],2276,4,"",0
56,3,15,[7815],[450],2245,4,"",0
57,3,16,[7815],[480],2388,4,"",0
58,3,17,[7815],[510],2446,4,"",0
59,3,18,[7815],[540],2566,4,"",0
60,3,19,[7815],[570],2593,4,"",0
61,3,20,[7815],[600],2824,4,"",0
62,3,21,[7815],[630],2964,4,"",0
63,3,22,[7815],[660],2994,4,"",0
64,3,23,[7815],[690],3262,4,"",0
65,3,24,[7815],[720],3423,4,"",0
66,3,25,[7815],[750],3458,4,"",0
67,3,26,[7815],[780],3767,4,"",0
68,3,27,[7815],[810],3953,4,"",0
69,3,28,[7815],[840],3993,4,"",0
70,3,29,[7815],[870],4350,4,"",0
71,3,30,[7815],[900],4565,4,"",0
72,3,31,[7815],[930],4611,4,"",0
73,3,32,[7815],[960],5024,4,"",0
74,3,33,[7815],[990],5271,4,"",0
75,3,34,[7815],[1020],5325,4,"",0
76,3,35,[7815],[1050],5802,4,"",0
77,3,36,[7815],[1080],6088,4,"",0
78,3,37,[7815],[1110],6150,4,"",0
79,3,38,[7815],[1140],6700,4,"",0
80,3,39,[7815],[1170],7030,4,"",0
81,3,40,[7815],[1200],7102,4,"",0
82,3,41,[7815],[1230],7737,4,"",0
83,3,42,[7815],[1260],8119,4,"",0
84,3,43,[7815],[1290],8202,4,"",0
85,3,44,[7815],[1320],8936,4,"",0
86,3,45,[7815],[1350],9376,4,"",0
87,3,46,[7815],[1380],9472,4,"",0
88,3,47,[7815],[1410],10319,4,"",0
89,3,48,[7815],[1440],10828,4,"",0
90,3,49,[7815],[1470],10939,4,"",0
91,3,50,[7815],[1500],11917,4,"",0
92,3,51,[7815],[1530],12505,4,"",0
93,3,52,[7815],[1560],12633,4,"",0
94,3,53,[7815],[1590],13763,4,"",0
95,3,54,[7815],[1620],14441,4,"",0
96,3,55,[7815],[1650],14589,4,"",0
97,3,56,[7815],[1680],15894,4,"",0
98,3,57,[7815],[1710],16677,4,"",0
99,3,58,[7815],[1740],16848,4,"",0
100,3,59,[7815],[1770],18355,4,"",0
101,3,60,[7815],[1800],19260,4,"",0
102,3,61,[7815],[1830],19457,4,"",0
103,3,62,[7815],[1860],21197,4,"",0
104,3,63,[7815],[1890],22242,4,"",0
105,3,64,[7815],[1920],22470,4,"",0
106,3,65,[7815],[1950],24479,4,"",0
107,3,66,[7815],[1980],25686,4,"",0
108,3,67,[7815],[2010],25949,4,"",0
109,3,68,[7815],[2040],28270,4,"",0
110,3,69,[7815],[2070],29664,4,"",0
111,3,70,[7815],[2100],29967,4,"",0
112,3,71,[7815],[2130],32647,4,"",0
113,3,72,[7815],[2160],34257,4,"",0
114,3,73,[7815],[2190],34607,4,"",0
115,3,74,[7815],[2220],37702,4,"",0
116,3,75,[7815],[2250],39562,4,"",0
117,3,76,[7815],[2280],39966,4,"",0
118,3,77,[7815],[2310],43540,4,"",0
119,3,78,[7815],[2340],45688,4,"",0
120,3,79,[7815],[2370],46155,4,"",0
121,3,80,[7815],[2400],50282,4,"",0
122,3,81,[7815],[2430],52762,4,"",0
123,3,82,[7815],[2460],53302,4,"",0
124,3,83,[7815],[2490],58069,4,"",0
125,3,84,[7815],[2520],60932,4,"",0
126,3,85,[7815],[2550],61555,4,"",0
127,3,86,[7815],[2580],67060,4,"",0
