"rownum","string","string","string","string","bool"
0,"UseBoundSkill","","Uses Skill bound to this slot.","Use Skill",""
1,"UseAnyLifeFlask","Art/2DArt/SkillIcons/GamepadActions/FlaskLife.dds","Drink from your equipped life flask.","Use Life Flask",""
2,"UseAnyManaFlask","Art/2DArt/SkillIcons/GamepadActions/FlaskMana.dds","Drink from your equipped mana flask.","Use Mana Flask",""
3,"UseDodgeRoll","Art/2DArt/SkillIcons/GamepadActions/DodgeRoll.dds","Perform a quick Dodge Roll.\r\nCan be used to instantly break out of animation locks.","Dodge Roll",""
4,"ToggleMap","Art/2DArt/SkillIcons/GamepadActions/Map.dds","Toggle between the Corner Map, and the Map Overlay.\r\n\r\nPress and hold the <b>{Map Button} and use <<xbox_rstick>> to pan the full map. ","Toggle map",""
5,"CreateTownPortal","Art/2DArt/SkillIcons/GamepadActions/PortalScroll.dds","Create a Portal to Town.","Town Portal",""
6,"UseFlask1","","Use Flask equipped in slot 1.","Use Flask 1",1
7,"UseFlask2","","Use Flask equipped in slot 2.","Use Flask 2",1
8,"UseFlask3","","Use Flask equipped in slot 3.","Use Flask 3",1
9,"UseFlask4","","Use Flask equipped in slot 4.","Use Flask 4",1
10,"MountMinion","Art/2DArt/SkillIcons/GamepadActions/MountRhoa.dds","Use to start riding a nearby mountable Minion.","Mount Minion",""
11,"Interact","Art/2DArt/SkillIcons/GamepadActions/Take.dds","Allows contextual interaction within the environment.\r\n<yellow>{- Can be bound on the same Bind Slot as other Skills\r\n- Can only be associated to one Bind Slot at a time}","Interact",""
12,"WeaponSwap","Art/2DArt/SkillIcons/GamepadActions/WeaponSwap.dds","Swap between Weapon Sets which have Weapons equipped.","Toggle Weapon Set",""
13,"ToggleButtonBindSet","Art/2DArt/SkillIcons/GamepadActions/IconSwapPanel.dds","Press-hold to use Skills in your Secondary Skill Set.\r\n<yellow>{- This action will take up Bind Slots in both Skill Sets}","Activate Secondary Skill Set",""
14,"DirectMinions","Art/2DArt/SkillIcons/MinionFocusFire.dds","Moves your minions, or signal to your minions\r\nwhich enemy they should target.","Direct Minions",""
15,"OpenChat","Art/2DArt/SkillIcons/GamepadActions/Talk.dds","Use to interact with your Chat.","Open Chat",""
16,"ToggleTargetingMode","Art/2DArt/SkillIcons/GamepadActions/ActionTarget.dds","Toggles between Dynamic and Focus Fire modes.\r\n\r\nDynamic (default)\r\n- Target selection is based your current targeting mode\r\n\r\nFocus Fire\r\n- Target enemy must be manually changed using {0}","Activate Focus Fire",""
17,"ContextualAction1","Art/2DArt/SkillIcons/GamepadActions/ContextualAction1.dds","Button bind required to interact with some in game content.","Contextual 1",""
18,"ContextualAction2","Art/2DArt/SkillIcons/GamepadActions/ContextualAction1.dds","A second button bind required to interact with some in game content.","Contextual 2",""
19,"ContextualAction3","Art/2DArt/SkillIcons/GamepadActions/ContextualAction1.dds","A third button bind required to interact with some in game content.","Contextual 3",""
20,"ToggleHighlighting","Art/2DArt/SkillIcons/GamepadActions/LabelsShowIcon.dds","On (default)\r\n- All labels will be visible\r\n\r\nOff\r\n- Highlighted object label will be shown\r\n- All other labels will be hidden\r\n- Items will not be selectable","Toggle Label Visibility",""
21,"CycleCrossbowAmmo","Art/2DArt/SkillIcons/GamepadActions/CycleAmmo.dds","Cycles through crossbow ammo types in skill menu order.","Cycle Crossbow Ammo",""
22,"ReloadCrossbow","Art/2DArt/SkillIcons/GamepadActions/Reload.dds","Reloads active crossbow ammo type.","Reload Crossbow",""
