"rownum","GrantedEffect","Stats","StatsValuesPermille","AddTypes","AddMinionTypes","[i32]"
0,5662,[20028],[1000],[],[],[]
1,34,[169],[1500],[],[],[]
2,285,[19036],[100],[],[],[0]
3,47,[18741],[500],[],[],[]
4,201,[19014],[200],[],[],[]
5,278,[1228],[200],[],[],[]
6,280,[6435],[2000],[],[],[]
7,281,[6435],[2000],[],[],[]
8,164,[392],[1500],[],[],[]
9,189,[1911],[500],[],[],[]
10,178,[583],[1000],[],[],[]
11,282,[209],[1000],[],[],[]
12,159,[1911],[750],[],[],[]
13,33,[18741],[1000],[],[],[]
14,28,[19967],[1000],[],[],[]
15,102,[7388],[1000],[],[],[]
16,75,[166],[150],[],[],[]
17,5660,[18607],[-15000],[],[],[]
18,54,[7490],[100],[],[],[0]
19,5663,[1209],[1000],[],[],[]
20,73,[19966],[200],[],[],[]
21,44,[3436],[500],[],[],[]
22,74,[19716],[1000],[],[],[]
23,63,[1209],[1000],[],[],[]
24,56,[1383],[500],[],[],[]
25,57,[1383],[500],[],[],[]
26,58,[1383],[500],[],[],[]
27,40,[1383],[500],[],[],[]
28,200,[18233],[250],[],[],[]
29,38,[3239],[1000],[],[],[]
30,5661,[19433],[500],[],[],"[0,2]"
31,121,[19653],[1000],[],[],[]
32,190,[557],[10000],[],[],[]
33,46,[17727],[100],[],[],[]
34,59,[17727],[200],[],[],[]
35,77,[18919],[5000],[],[],[]
36,84,[13310],[-500],[],[],[]
37,291,[349],[250000],[],[],[]
38,41,[1383],[500],[],[],[]
39,79,[349],[50000],[],[],[1]
40,81,[638],[1000],[],[],[]
41,5645,[18974],[200],[],[],[]
42,290,[18149],[2500],[],[],[]
43,32,[1095],[1000],[],[],[]
44,272,[17727],[1200],[],[],[]
45,289,[1209],[500],[],[],[]
46,31,[17727],[200],[],[],[]
47,43,[1383],[500],[],[],[]
48,37,[13310],[-500],[],[],[]
49,315,[18978],[1000],[],[],[]
50,90,[1383],[500],[],[],[]
51,82,[20023],[1000],[],[],[]
52,318,[9243],[1000],[],[],[]
53,2643,[623],[2000],[],[],[]
54,86,[9435],[1000],[],[],[]
55,104,[628],[1000],[],[],[]
56,83,[22479],[1000],[],[],[]
57,88,[638],[1500],[],[],[]
58,316,[349],[50000],[],[],[]
59,49,[18655],[2000],[],[],[]
60,161,[18417],[6000],[],[],[]
61,292,[9614],[1000],[],[],[]
62,295,[17727],[200],[],[],[]
63,293,[194],[1500],[],[],[]
64,97,[95],[2500],[],[],[]
65,304,[18719],[500],[],[],[1]
66,64,[20484],[-250],[],[],[]
67,5654,"[18387,22482]","[100,100]",[],[],[]
68,298,[349],[300000],[],[],[]
69,42,[11722],[750],[],[],[]
70,296,[17727],[200],[],[],"[0,1]"
71,92,[18387],[500],[],[],[]
72,5653,[18598],[100],[],[],[]
73,323,[627],[1000],[],[],[]
74,76,[20530],[100],[],[],[0]
75,116,[1911],[1000],[],[],[]
76,158,[19781],[2500],[],[],"[1,2]"
77,45,[19351],[1000],[],[],[]
78,51,[18706],[-10000],[],[],[]
79,70,"[17963,17964]","[500,2500]",[],[],[]
80,299,[18656],[1000],[],[],[]
81,5731,[10157],[1500],[],[],[]
82,5739,[11182],[25],[],[],[]
83,29,[19975],[1000],[],[],[]
84,99,[11590],[150],[],[],[]
85,301,[19351],[1000],[],[],[]
86,100,[20027],[-2500],[],[],[]
87,168,[349],[200000],[],[],[]
88,5738,[20469],[100],[],[],[]
89,98,[3368],[2000],[],[],[]
90,162,[17966],[100],[],[],[]
91,5737,[18898],[1000],[],[],[]
92,105,[866],[100000],[],[],[]
93,5734,[17727],[200],[],[],[]
94,267,[3239],[1000],[],[],[]
95,146,[623],[1000],[],[],[]
96,182,[19351],[1500],[],[],[]
97,150,[18387],[100],[],[],[]
98,268,[3239],[1000],[],[],[]
99,294,[18149],[2500],[],[],[]
100,144,[20028],[1000],[],[],[]
101,142,[9613],[1000],[],[],[]
102,180,[17522],[250],[],[],[]
103,184,[18503],[10000],[],[],[1]
104,149,[18407],[100],[],[],[]
105,140,[7388],[1500],[],[],[]
106,95,[18706],[-20000],[],[],[]
107,270,[3239],[1000],[],[],[]
108,137,[18407],[250],[],[],[]
109,152,[14412],[1500],[],[],[]
110,134,[18400],[4000],[],[],[]
111,284,[18426],[2000],[],[],[]
112,174,[21816],[500],[],[],[]
113,202,[557],[10000],[],[],[]
114,334,[557],[10000],[],[],[]
115,325,[17730],[500],[],[],[]
116,324,[18898],[1000],[],[],[]
117,332,"[1383,12625]","[500,500]",[],[],[]
118,326,[18860],[-100],[],[],[]
119,5780,[19874],[1000],[],[],[]
120,85,[13310],[-500],[],[],[]
121,5741,[20249],[100],[],[],[]
122,117,[169],[1500],[],[],[]
123,91,[9613],[1000],[],[],[]
124,5779,[632],[1000],[],[],[]
125,206,[18387],[200],[],[],[]
126,346,[20247],[750],[],[],[1]
127,114,[13169],[50],[],[],[]
128,48,[19067],[500],[],[],[]
129,5727,[19092],[1500],[],[],[]
130,160,[169],[2000],[],[],[]
131,5728,[17727],[200],[],[],[]
132,89,[18978],[500],[],[],[]
133,122,[15825],[-500],[],[],[]
134,5668,"[349,3093]","[50000,50000]",[],[],[0]
135,175,[210],[500],[],[],[]
136,101,[17727],[400],[],[],[]
137,27,[18656],[1000],[],[],[]
138,80,[4431],[125],[],[],[]
139,216,[18655],[2000],[],[],[]
140,5666,[18387],[50],[],[],[]
141,5736,[349],[-25000],[],[],[]
142,115,[349],[25000],[],[],[]
143,93,[349],[5000],[],[],[1]
144,177,[3239],[500],[],[],[]
145,39,[1732],[500],[],[],[]
146,50,[19105],[1000],[],[],[]
147,5732,[349],[50000],[],[],[]
148,60,[21074],[400],[],[],[]
149,61,[21075],[400],[],[],[]
150,62,[21076],[400],[],[],[]
151,69,[18137],[100],[],[],[0]
152,94,[9411],[100],[],[],[]
153,314,[17727],[200],[],[],[]
154,68,[17727],[200],[],[],[1]
155,261,[19067],[1000],[],[],[]
156,5665,[18637],[1500],[],[],[]
157,55,[17573],[50],[],[],[]
158,306,[2086],[50],[],[],[]
159,347,[3239],[500],[],[],[]
160,223,[19426],[750],[],[],[]
161,243,[19426],[750],[],[],[]
162,5722,[13310],[-500],[],[],[]
163,5721,[451],[1000],[],[],[]
164,5723,[19426],[1000],[],[],[]
165,67,[6165],[15000],[],[],[1]
166,302,[18742],[10000],[],[],[]
167,5726,[19085],[100],[],[],[]
168,224,[19426],[750],[],[],[]
169,225,[19426],[750],[],[],[]
170,340,[20157],[500],[],[],[]
171,328,[19857],[100],[],[],[]
172,330,[19857],[100],[],[],[]
173,329,[19857],[100],[],[],[]
174,245,[18182],[5000],[],[],[]
175,228,[13310],[-500],[],[],[]
176,247,[13310],[-500],[],[],[]
177,368,[20475],[250],[],[],[]
178,155,[18407],[100],[],[],[]
179,5634,[19979],[500],[],[],[]
180,269,[3239],[1000],[],[],[]
181,271,[3239],[1000],[],[],[]
182,187,[18407],[200],[],[],[]
183,341,[3239],[500],[],[],[]
184,262,[8456],[100],[],[],[]
185,287,[16698],[1000],[],[],[1]
186,338,[20099],[2000],[],[],[]
187,349,[20309],[40000],[],[],[]
188,354,[19426],[1000],[],[],[]
189,360,[20444],[-10000],[],[],[]
190,350,[13310],[-250],[],[],[]
191,363,[19541],[500],[],[],[]
192,352,[20649],[100],[],[],[]
193,367,[19067],[1000],[],[],[]
194,366,[349],[50000],[],[],[]
195,356,[20319],[250],[],[],[]
196,364,[20442],[1000],[],[],[]
197,339,[20117],[-250],[],[],[]
198,351,"[20312,20314]","[-250,-250]",[],[],[]
199,357,[13310],[-500],[],[],[]
200,138,[584],[1000],[],[],[]
201,359,[18387],[200],[],[],[0]
202,30,[3239],[500],[],[],[]
203,5793,[20522],[-15000],[],[],[]
204,5770,[20528],[500],[],[],[]
205,5784,[349],[50000],[],[],[]
206,5777,[3239],[1000],[],[],[0]
207,5772,[19717],[1000],[],[],[]
208,5773,[19715],[1000],[],[],[]
209,5774,[19716],[1000],[],[],[]
210,5775,[8605],[1000],[],[],[]
211,5776,[8606],[1000],[],[],[]
212,133,[638],[1000],[],[],[]
213,5763,[20826],[500],[],[],[]
214,5786,[3239],[500],[],[],[]
215,5787,[3239],[500],[],[],[]
216,5785,[3239],[500],[],[],[]
217,327,[3239],[500],[],[],[]
218,5746,[19203],[500],[],[],[]
219,5791,[22351],[50],[],[],[]
220,5792,[638],[1000],[],[],[]
221,5782,[19876],[750],[],[],[]
222,370,[20769],[100],[],[],[2]
223,342,[3239],[1000],[],[],[]
224,343,[3239],[1000],[],[],[]
225,5877,[349],[100000],[],[],[]
226,118,[12711],[2000],[],[],[1]
227,372,[12711],[2000],[],[],[1]
228,112,[17727],[200],[],[],[1]
229,131,[18387],[100],[],[],[1]
230,5885,[22604],[750],[],[],[]
231,381,[7388],[2000],[],[],[]
232,132,[17727],[200],[],[],[]
233,365,[20422],[200],[],[],[1]
234,305,[638],[1000],[],[],[]
235,377,[18150],[1500],[],[],[]
236,113,[3239],[1000],[],[],[0]
237,119,[21716],[500],[],[],[]
238,309,[17727],[200],[],[],"[1,2]"
239,5926,[19426],[750],[],[],[]
240,5928,[19426],[750],[],[],[]
241,308,[22025],[1000],[],[],[]
242,5878,[349],[75000],[],[],[]
243,111,[22035],[1000],[],[],[1]
244,389,[2078],[1000],[],[],[]
245,263,[13310],[-500],[],[],[]
246,385,[13310],[-500],[],[],[]
247,5991,[20266],[1000],[],[],[]
248,380,[349],[80000],[],[],[]
249,373,[1911],[500],[],[],[]
250,391,[349],[25000],[],[],[]
251,5905,[21316],[250],[],[],[]
252,378,[21999],[2500],[],[],[]
253,376,[392],[1500],[],[],"[0,1]"
254,312,[17727],[250],[],[],[]
255,382,[21441],[50],[],[],"[1,2]"
256,384,[17727],[100],[],[],[]
257,375,[1228],[200],[],[],[0]
258,5988,[639],[1000],[],[],[]
259,386,[17727],[150],[],[],[]
260,5883,[19426],[750],[],[],[]
261,374,[19067],[1000],[],[],[]
