"rownum","Id","EssenceType","IsCorruptedEssence","WordsKey"
0,"Hatred",1,"",2955
1,"Woe",1,"",2956
2,"Greed",1,"",2957
3,"Contempt",1,"",2958
4,"Sorrow",2,"",2959
5,"Anger",2,"",2960
6,"Torment",2,"",2961
7,"Fear",2,"",2962
8,"Suffering",3,"",2963
9,"Rage",3,"",2965
10,"Wrath",3,"",2964
11,"Doubt",3,"",2966
12,"Anguish",4,"",2967
13,"Loathing",4,"",2968
14,"Spite",4,"",2970
15,"Zeal",4,"",2969
16,"Misery",5,"",2971
17,"Dread",5,"",2972
18,"Scorn",5,"",2973
19,"Envy",5,"",2974
20,"Hysteria",6,1,2975
21,"Insanity",6,1,2976
22,"Horror",6,1,2977
23,"Delirium",6,1,2978
24,"NotEssence",0,"",2979
