"rownum","rid","i32","[rid]"
0,99,1,[357]
1,386,1,[357]
2,100,1,[358]
3,387,1,[358]
4,101,1,[359]
5,388,1,[359]
6,96,1,"[363,364,365,366,367,368,369]"
7,383,1,"[363,364,365,366,367,368,369]"
8,97,1,[370]
9,384,1,[370]
10,95,1,[362]
11,382,1,[362]
12,102,1,[360]
13,389,1,[360]
14,103,1,[361]
15,390,1,[361]
16,105,1,[373]
17,392,1,[373]
18,211,2,[564]
19,498,2,[564]
20,212,2,[565]
21,499,2,[565]
22,215,2,[566]
23,502,2,[566]
24,220,2,[567]
25,507,2,[567]
26,227,2,[568]
27,514,2,[568]
28,233,2,[569]
29,520,2,[569]
30,240,2,[570]
31,527,2,[570]
32,250,2,[571]
33,537,2,[571]
34,258,2,[572]
35,545,2,[572]
36,203,2,[573]
37,490,2,[573]
