"rownum","StatsKey","i32","MonsterPacksKeys","AdditionalMonsterPacksStatMode","PackCountStatsKey","StatsKeys","StatsValues","i32","PackSizeStatsKey"
0,6508,1,[],1,"",[],[],0,""
1,6507,1,[],0,2174,[],[],0,16666
2,6850,1,[],0,2174,[],[],0,16667
3,8858,2,[],0,"",[],[],0,""
4,4857,2,[],0,"",[],[],0,""
5,4858,2,[],0,"",[],[],0,""
6,4859,2,[],0,"",[],[],0,""
7,5431,2,[],0,"",[],[],0,""
8,4860,2,[],0,"",[],[],0,""
9,4861,2,[],0,"",[],[],0,""
10,4911,2,[],0,"",[],[],0,""
11,4940,2,[],0,"",[],[],0,""
12,4915,2,[],0,"",[4918],[1],0,""
13,4916,2,[],0,"",[],[],15,""
14,10223,2,[],0,"",[10261],[1],126,""
15,10224,2,[],0,"",[10260],[1],127,""
16,13281,2,[],0,"",[],[],0,""
17,13282,2,[],0,"",[],[],0,""
18,13283,2,[],0,"",[],[],0,""
19,14237,2,[],0,14237,[],[],0,""
20,14851,3,[],1,"",[],[],0,""
21,19992,2,"[586,587,588]",0,"",[],[],0,""
22,19993,2,[589],0,"",[],[],0,""
23,19994,2,"[590,590]",0,"",[],[],0,""
24,19995,2,"[592,593,594,595,596]",0,"",[],[],0,""
25,19996,2,"[597,598,599]",0,"",[],[],0,""
26,19997,2,"[600,601,602]",0,"",[],[],0,""
27,19998,2,"[603,604,605]",0,"",[],[],0,""
28,19999,2,"[606,607,608,609]",0,"",[],[],0,""
29,20000,2,"[610,611,612]",0,"",[],[],0,""
30,21985,2,"[753,754,755,756,757]",0,"",[],[],0,""
