"rownum","MonsterVarietiesKey","MiscAnimatedKey0","MiscAnimatedKey1","bool","bool","i32","i32","i32","i32","bool","bool","[rid]","[rid]","i32","bool","bool","i32","string"
0,173,5307,5307,1,1,60,0,20,120,"","",[],[2979],0,1,"",0,""
1,174,5307,5307,1,1,60,0,20,120,"","",[],[2980],0,1,"",0,""
2,443,4348,4348,1,1,60,1,20,120,1,1,[],[],0,1,"",0,""
3,1268,2596,2596,1,1,60,1,25,120,1,1,[],[],30,1,"",90,""
4,1269,2596,2596,1,1,60,1,15,120,1,1,[],[],30,1,"",145,""
5,1270,2596,2596,1,1,60,1,25,120,1,1,[],[],30,1,"",270,""
6,1271,2596,2596,1,1,60,1,20,120,1,1,[],[],30,1,"",0,""
7,444,4348,4348,1,1,60,1,20,90,1,1,[],[],30,1,"",0,""
8,1388,4348,4348,1,1,60,1,20,120,1,1,[],[],0,1,"",0,""
9,1827,4348,4348,1,1,60,2,20,120,1,1,[],[],30,1,"",0,"nearest_player_to_spirit"
