"rownum","Monster","Spectre","[rid]"
0,6,"",[]
1,1145,1144,[]
2,1148,1147,[]
3,1150,1149,[]
4,1152,1151,[]
5,1154,1153,[]
6,1156,1155,[]
7,1373,1374,[]
8,759,760,[]
9,1380,1383,[]
10,1381,1383,[]
11,1382,1383,[]
12,336,333,[]
13,334,333,[]
14,335,333,[]
15,636,635,[]
16,388,389,[]
17,613,614,[]
18,583,582,[]
19,899,903,[]
20,900,903,[]
21,901,903,[]
22,902,903,[]
23,838,837,[]
24,762,761,[]
25,976,977,[]
26,1046,1047,[]
27,1011,1010,[]
28,920,921,[]
29,392,393,[]
30,620,621,[]
31,1567,1569,[]
32,1570,1572,[]
33,1549,1548,[]
34,720,294,[]
35,721,289,[]
36,722,297,[]
37,723,307,[]
38,724,308,[]
39,725,308,[]
40,773,771,[]
41,390,391,[]
42,581,579,[]
43,615,616,[]
44,640,642,[]
45,641,642,[]
46,684,688,[]
47,685,689,[]
48,686,688,[]
49,687,689,[]
50,745,746,[]
51,747,748,[]
52,669,670,[]
53,671,672,[]
54,223,224,[]
55,228,224,[]
56,229,224,[]
57,225,226,[]
58,227,226,[]
59,913,914,[]
60,918,919,[]
