"rownum","UniqueBase","i32"
0,4883,1
1,4884,2
2,4885,3
3,4887,4
4,4888,5
5,4891,6
6,4894,7
7,4897,8
8,4900,9
9,4910,10
10,4912,11
11,4913,12
12,4918,13
13,4921,14
14,4923,15
15,4924,16
16,4927,17
17,4928,18
18,4929,19
19,4930,20
20,4931,21
21,4932,22
22,4940,23
23,4942,24
24,4945,25
25,4947,26
26,4949,27
27,4952,28
28,4958,29
29,4959,30
30,4961,31
31,4962,32
32,4963,33
33,4969,34
34,4971,35
35,4974,36
36,4978,37
37,4986,38
38,4989,39
39,4990,40
40,4991,41
41,4998,42
42,5000,43
43,5002,44
44,5004,45
45,5005,46
46,5011,47
47,5013,48
48,5016,49
49,5017,50
50,5018,51
51,5019,52
52,5020,53
53,5021,54
54,5027,55
55,5029,56
56,5030,57
57,5031,58
58,5037,59
59,5048,60
60,5053,61
61,5055,62
62,5058,63
63,5062,64
64,5065,65
65,5070,66
66,5073,67
67,5081,68
68,5085,69
69,5086,70
70,5088,71
71,5090,72
72,5093,73
73,5096,74
74,5097,75
75,5098,76
76,5099,77
77,5100,78
78,5101,79
79,5102,80
80,5107,81
81,5108,82
82,5109,83
83,5111,84
84,5113,85
85,5114,86
86,5122,87
87,5126,88
88,5127,89
89,5128,90
90,5129,91
91,5130,92
92,5136,93
93,5139,94
94,5141,95
95,5142,96
96,5146,97
97,5147,98
98,5148,99
99,5151,100
100,5152,101
101,5153,102
102,5154,103
103,5155,104
104,5156,105
105,5166,106
106,5167,107
107,5170,108
108,5172,109
109,5174,110
110,5177,111
111,5179,112
112,5181,113
113,5182,114
114,5183,115
115,5184,116
116,5191,117
117,5193,118
118,5194,119
119,5199,120
120,5201,121
121,5205,122
122,5206,123
123,5208,124
124,5209,125
125,5217,126
126,5218,127
127,5219,128
128,5223,129
129,5224,130
130,5227,131
131,5229,132
132,5232,133
133,5233,134
134,5234,135
135,5239,136
136,5349,137
137,5350,138
138,5352,139
139,5360,140
140,5362,141
141,5363,142
142,5368,143
143,5369,144
144,5371,145
145,5375,146
146,5379,147
147,5380,148
148,5389,149
149,5390,150
150,5391,151
151,5394,152
152,5395,153
153,5397,154
154,5400,155
155,5401,156
156,5405,157
157,5407,158
158,5413,159
159,5414,160
160,5417,161
161,5418,162
162,5424,163
163,5425,164
164,5427,165
165,5428,166
166,5429,167
167,5430,168
168,5437,169
169,5438,170
170,5442,171
171,5443,172
