"rownum","Id","i32","f32","rid","rid","rid"
0,"Fire",4,24,3594,163,""
1,"Ice",4,0,6195,165,""
2,"CausticCloud",8,5,4587,468,""
3,"Tar",4,0,4936,166,""
4,"Smoke",8,0,12359,1483,""
5,"Desecration",4,24,2184,204,""
6,"Consecration",10,0,8669,205,1242
7,"Lightning",6,0,10262,229,""
8,"Maelstorm",4,4,4829,695,""
9,"Haste",4,0,"",781,""
10,"Sandstorm",0,24,"",870,""
11,"Blizzard",4,0,"",800,""
12,"Spores",4,24,7286,450,""
13,"DevouringDarkness",4,24,"",839,""
14,"Quicksand",0,24,7927,918,""
15,"Blood",0,24,14649,1116,""
16,"TemporalAnomaly",10,0,10062,1004,1394
17,"OrionMeteor",0,0,"",1420,229
18,"CrownOfThorns",4,24,"",1558,""
19,"VaalCloud",4,24,"",302,""
20,"Profane",10,0,"",1530,""
21,"ChaosOfferingOfJudgement",6,24,"",494,517
22,"FireOfferingOfJudgement",6,24,"",493,517
23,"DespairBearGeyser",0,24,"",863,""
24,"Fungal",0,0,"",1384,1386
25,"BestiarySpiderWeb",0,24,"",1034,""
26,"VaalColdSnap",4,24,7870,1110,""
27,"Oil",4,24,15895,1612,163
28,"Scorch",4,0,"",1701,""
29,"GravityWell",0,24,"",1739,""
30,"LightningVortex",4,4,13918,1765,229
31,"Brittle",4,0,"",2002,""
32,"Sapping",4,0,"",2003,""
33,"Sludge",4,0,"",2011,""
34,"Sanctum",4,0,17506,2094,""
35,"SanctumFire",4,0,3594,164,""
36,"SanctumChaos",8,5,4587,469,""
37,"PhysFireLifeRecover",4,24,"",167,""
