"rownum","Id","Stats","StatValues","Name","Icon","i32","bool","EffectCategory","NextEffect","string","BoonDesc","CurseDesc","i32","i32","bool","[rid]","Guard","FirstEffect","i32","i32","bool","bool","HASH16"
0,"AfflictionMonsterDamage",[16065],[50],"Honed Claws","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseHonedClawsIcon",11,1,1,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseHonedClaws","","Monsters deal 50% more Damage",5,0,"",[],[9120],"",5,0,"","",62326
1,"BoonMonsterDamage",[16064],[-40],"Fright Mask","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonFrightMaskIcon",11,1,2,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonFrightMask","Monsters deal 40% less Damage","",5,0,"",[],[9119],"",5,0,"","",15442
2,"AfflictionLethalTraps",[17582],[1],"Deadly Snare","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseHeightenedSecurityIcon",11,1,3,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseHeightenedSecurity","","Traps impact infinite Resolve",5,0,"",[],[9120],"",5,0,"","",41921
3,"AfflictionTrapSanctumDamage",[17004],[1],"Dark Pit","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseDarkPitIcon",11,1,1,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseDarkPit","","Traps impact 200% increased Resolve",5,0,"",[],[9120],"",5,0,"","",62584
4,"AfflictionLessGold",[17011],[-50],"Charred Coin","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseCharredCoinIcon",11,1,1,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseCharredCoin","","50% less Aureus coins found",5,0,"",[],[9120],"",5,0,"","",22125
5,"AfflictionLessDamage",[17012],[-40],"Blunt Sword","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseBluntSwordIcon",11,1,1,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseBluntSword","","You and your Minions deal 40% less Damage",5,0,"",[],[9120],"",5,0,"","",40008
6,"AfflictionTrapSpeed",[17003],[1],"Rapid Quicksand","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseRapidQuicksandIcon",11,1,1,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseRapidQuicksand","","Traps are faster",5,0,"",[],[9120],"",5,0,"","",56047
7,"AfflictionTrapVolatiles",[17005],[1],"Anomaly Attractor","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseAnomalyAttractorIcon",11,1,3,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseAnomalyAttractor","","Rooms spawn Volatile Anomalies",5,0,"",[],[9120],"",5,0,"","",51626
8,"BoonMovementSpeed",[5753],[60],"Hare Foot","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonHareFootIcon",11,1,2,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonHareFoot","60% increased Movement Speed","",5,0,"",[],[9119],"",5,0,"","",13820
9,"BoonMoreGold",[17069],[50],"Gold Magnet","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonGoldMagnetIcon",11,1,2,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonGoldMagnet","50% more Aureus coins found","",5,0,"",[],[9119],"",5,0,"","",278
10,"BoonGainGoldWhenDamaged",[17070],[10],"Silver Coin","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonSilverCoinIcon",11,1,4,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonSilverCoin","Gain 10 Aureus coins when you lose Resolve from a Hit","",5,0,"",[7],[9119],"",5,0,"","",16400
11,"AfflictionLoseGoldWhenDamaged",[17072],[20],"Spilt Purse","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseSpiltPurseIcon",11,1,1,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseSpiltPurse","","Lose 20 Aureus coins when you lose Resolve from a Hit",5,0,"",[],[9120],"",5,0,"","",4558
12,"AfflictionLoseGoldOnRoomComplete",[17073],[30],"Door Tax","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseDoorTaxIcon",11,1,1,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseDoorTax","","Lose 30 Aureus coins on room completion",5,0,"",[],[9120],"",5,0,"","",33903
13,"AfflictionNoGoldFromMonsters",[17074],[1],"Death Toll","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseDeathTollIcon",11,1,3,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseDeathToll","","Monsters no longer drop Aureus coins",5,0,"",[],[9120],"",5,0,"","",59642
14,"AfflictionLoseResolveInXRooms8",[],[],"Death Toll","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseDeathTollIcon",11,1,3,15,"Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseDeathToll","","Lose 250 Resolve after completing 8 rooms",5,0,"",[],[9120],"",5,0,"","",59642
15,"AfflictionLoseResolveInXRooms7",[],[],"Death Toll","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseDeathTollIcon",11,1,3,16,"Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseDeathToll","","Lose 250 Resolve after completing 7 rooms",5,0,"",[],[9120],14,5,0,"","",59642
16,"AfflictionLoseResolveInXRooms6",[],[],"Death Toll","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseDeathTollIcon",11,1,3,17,"Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseDeathToll","","Lose 250 Resolve after completing 6 rooms",5,0,"",[],[9120],14,5,0,"","",59642
17,"AfflictionLoseResolveInXRooms5",[],[],"Death Toll","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseDeathTollIcon",11,1,3,18,"Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseDeathToll","","Lose 250 Resolve after completing 5 rooms",5,0,"",[],[9120],14,5,0,"","",59642
18,"AfflictionLoseResolveInXRooms4",[],[],"Death Toll","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseDeathTollIcon",11,1,3,19,"Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseDeathToll","","Lose 250 Resolve after completing 4 rooms",5,0,"",[],[9120],14,5,0,"","",59642
19,"AfflictionLoseResolveInXRooms3",[],[],"Death Toll","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseDeathTollIcon",11,1,3,20,"Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseDeathToll","","Lose 250 Resolve after completing 3 rooms",5,0,"",[],[9120],14,5,0,"","",59642
20,"AfflictionLoseResolveInXRooms2",[],[],"Death Toll","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseDeathTollIcon",11,1,3,21,"Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseDeathToll","","Lose 250 Resolve after completing 2 rooms",5,0,"",[],[9120],14,5,0,"","",59642
21,"AfflictionLoseResolveInXRooms1",[17682],[250],"Death Toll","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseDeathTollIcon",11,1,3,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseDeathToll","","Lose 250 Resolve after completing the next room",5,0,"",[],[9120],14,5,0,1,"",59642
22,"AfflictionNoGoldFromChests",[17075],[1],"Empty Trove","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseEmptyTroveIcon",11,1,1,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseEmptyTrove","","Chests no longer drop Aureus coins",5,0,"",[],[9120],"",5,0,"","",7865
23,"AfflictionMonsterLife",[988],[50],"Spiked Shell","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseSpikedShellIcon",11,1,1,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseSpikedShell","","Monsters have 50% more Maximum Life",5,0,"",[],[9120],"",5,0,"","",13875
24,"AfflictionMonsterSanctumDamage",[17662],[25],"Hungry Fangs","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseHungryFangsIcon",11,1,1,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseHungryFangs","","Monsters impact 25% more Resolve",5,0,"",[],[9120],"",5,0,"","",359
25,"AfflictionNoSanctumHealthRecovery",[17077],[1],"Demonic Skull","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseDemonicSkullIcon",11,1,3,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseDemonicSkull","","Cannot recover Resolve",5,0,"",[],[9120],"",5,0,"","",16345
