"rownum","WorldAreasKey","i32","[i32]","MonsterVarietiesKeys1","MonsterVarietiesKeys2","i32","i32","i32","i32"
0,5,1,[],"[1123,1124,1125,1130,1132,1134]",[449],90,200,66,0
1,6,1,[],"[1111,1113,1115,4242,4249,4256,6028,6029,6030,6031]",[472],150,350,66,0
2,7,1,[],"[2697,2660,1054,4242,4249,4256,6028,6029,6030,6031]","[1111,1113,1115]",150,400,85,0
3,8,1,[],"[1148,1151,1154,416,424]","[1142,1144,1146,1054]",150,400,85,0
4,9,1,[],"[432,1142,1144,1146]","[641,519]",250,650,85,0
5,10,1,[],"[889,498,3040]","[1142,1144,1146,641,1054]",150,450,85,0
6,11,1,[],"[886,495,915,1071,1054]","[1142,1144,1146,641]",150,450,85,0
7,12,1,[],"[651,519,2698,2661,2724,1004,1005,1006,1007]","[215,1547]",250,450,66,0
8,13,1,[],"[215,256,532]","[5261,5265]",200,500,85,0
9,14,1,[],"[649,394,539,8716]","[1216,1218,1220,8717]",250,550,85,0
10,15,1,[],"[649,403,546,579,623,8716]","[1216,1218,1220,8717]",250,600,85,0
11,16,1,[],"[313,229,267]",[472],150,600,85,0
12,17,0,[],"[425,1225,163,1045,906]","[153,178]",250,675,100,0
13,18,1,[],"[167,1061,1225,174]","[887,494]",200,650,85,0
14,19,1,[],"[488,171,886,174,3040,494]","[6028,6029,6030,6031]",200,600,85,0
15,20,2,[],"[488,481,891,889,482,910]","[460,4822]",200,650,70,0
16,22,1,[],"[339,352,874]",[1529],250,700,85,0
17,23,1,[],"[378,119,840,842,844,846,848,356,364,3870,850]","[215,5]",250,650,85,0
18,24,1,[],"[105,954,3870]","[369,366,313]",300,700,85,0
19,25,1,[],"[57,6,537,699,701,703,705,707,371]","[119,3870]",300,650,85,0
20,30,1,[],"[54,370,6,8977]","[119,364,366,356]",300,700,85,0
21,26,1,[],"[643,614,537,950]","[171,586,590]",300,700,85,0
22,27,1,[],"[653,400,950]","[610,584,590]",300,650,85,0
23,28,1,[],"[1201,1203,1205,394,951]","[955,541]",300,700,85,0
24,29,2,[],"[777,405,638]","[948,623,541]",300,800,85,0
25,31,1,[],"[874,344,357,8974]","[3094,3096,51,58]",300,620,85,0
26,32,2,[],"[948,863,2637]","[119,339,352,944]",300,700,85,0
27,33,1,[],"[50,43,944,11]","[52,8974]",300,700,85,0
28,34,1,[],"[8973,923]","[959,932]",250,550,85,0
29,35,2,[],"[866,274,8980,8981,8982,8983]","[795,791,8987]",350,750,85,0
30,36,2,[],"[59,416,4246,4252,8,424]","[119,874,8974,8976]",250,650,85,0
31,37,1,[],"[342,3094,3096,8974]","[121,882]",300,700,85,0
32,38,4,[],"[120,178,913,627,582,608,782,745,756,278]","[136,2637,3906,409,1581,1575]",250,600,85,0
33,39,3,[],"[627,582,608,788,751,764,1015,1001,1000,1002,999,8984]","[278,866,409,1581,1575]",250,650,85,0
34,40,1,[],"[641,519,1177,1180,1186,2497,8976]",[371],250,660,85,0
35,42,1,[],"[2048,1529]","[1606,1609]",200,700,85,0
36,43,1,[],"[1520,2048]","[1626,1527]",200,600,85,0
37,44,1,[],"[1566,753,1573]","[1616,1583,1928]",200,600,85,0
38,45,3,[],"[2048,1911,1989]","[1529,1626,2050]",150,550,85,0
39,46,1,[],"[1579,1620,590]","[1924,1993]",200,600,85,0
40,47,2,[],"[1322,1252,1505]","[1279,1309,1506,1507]",200,650,85,0
41,48,1,[],[1502],"[1496,1494]",200,500,75,0
42,49,1,[],"[1502,1894]","[1496,1494]",200,550,85,0
43,50,1,[],"[2055,2057,1557,1911,2059]","[2068,2066]",200,600,85,0
44,51,2,[],"[1922,1991,2036]","[1585,1457,3039]",150,450,85,0
45,52,1,[],"[1321,1308,1253]","[1321,1315]",250,700,85,0
46,53,5,[],"[1316,1315,1385]","[1321,1253,1308,1399,1403,1406]",200,700,85,0
47,54,2,[],"[1436,1858]","[1416,1317,1399,1403,1406]",250,675,85,0
48,55,1,[],"[1632,1542,3761,2637]","[882,366,371]",200,550,85,0
49,56,2,[],"[1921,1993,641]","[432,732,633]",250,800,85,0
50,57,1,[],"[1921,1993,732]","[588,633]",200,550,85,0
51,58,1,[],"[1930,1971,1940,1975,1468,1481]","[1921,1993]",200,650,85,0
52,59,1,[],"[1930,1971,1940,1975,1468,1481]","[1559,969]",200,600,85,0
53,61,1,[],"[3774,3841,3761]","[2055,2059,3804,3786,3818]",200,800,85,0
54,62,0,[],"[3786,3804,3822,3876,3770,3864]",[],200,800,85,0
55,63,0,[],"[3899,3912,3926,3931,3950]",[],200,800,85,0
56,64,0,[],"[3899,3912,3926,3931,3950,3941]",[],200,800,85,0
57,65,1,[],"[3900,3914,3928,3935,3954]",[3945],200,800,85,0
58,66,1,[],"[4195,3990,863,4012,3996,3996]",[1568],200,800,85,0
59,67,1,[],"[4000,3983,3985,3984,4200,3981]",[4012],300,1000,85,0
60,68,1,[],"[4029,4041,4043]","[313,1237,1240]",200,800,85,0
61,69,1,[],"[4067,4071,4072]",[4162],250,875,85,0
62,70,0,[],"[560,719,4095,4120,4112,4125,4106,4409,562,722]",[],200,800,85,0
63,71,1,[],"[560,719,4095,4120,4112,4125,4106,4409,562,722]","[1861,1385]",200,800,85,0
64,72,0,[],"[560,719,4095,4120,4112,4125,4106,4409,562,722,1879]",[],200,800,85,0
65,73,0,[],"[5173,230,269,5176,5178,5180,321,323]",[],200,800,80,0
66,74,0,[],"[5254,5252,5296,5298]",[],200,800,85,0
67,76,1,[],"[4898,5254,4924,5252]","[5296,5298]",200,800,85,0
68,77,2,[],"[4924,4918,4919,5018,5020,5001]","[4868,5296,5298]",200,800,75,0
69,79,0,[],"[4918,4919,4907,5289,5018,5020]",[],200,800,85,0
70,81,0,[],"[4907,5271,5013,1365,5289]",[],200,800,85,0
71,80,1,[],"[5292,1373,5022,5026,5016,5024,4909,4911]","[5593,5595,5597]",200,800,85,0
72,78,2,[],"[5593,5595,5597,4926,4928]","[5292,5022,5026,1373,5024]",200,800,60,0
73,83,0,[],"[668,5660,5662,2998,3000,3002,3004,5668,5670,601,5664,5666,5672,5674]",[],200,800,85,0
74,82,1,[],"[5713,737,5824,645,603,647]","[5683,5685,5687]",200,800,85,0
75,84,1,[],"[5593,5595,5597,5650]",[5184],200,800,85,0
76,86,0,[],"[5208,5216,5218,5220,5233,5238,5240,5242]",[],250,800,85,0
77,87,0,[],"[3986,3987,3988,3989,454,3991]",[],250,800,85,0
78,88,0,[],"[1076,496,457,4255]",[],250,800,85,0
79,89,0,[],"[3986,3987,3988,3989]",[],250,800,85,0
80,90,0,[],"[3986,3987,3988,3989]",[],350,900,85,0
81,91,0,[],"[655,521,3871,1628,5261]",[],250,800,85,0
82,92,1,[],"[1577,619,766,5197]","[539,1216,1218,1220]",250,900,85,0
83,93,1,[],"[2040,407,780,543]",[5197],250,900,85,0
84,94,1,[],"[218,266,532,325,327]","[446,313]",200,800,85,0
85,95,2,"[1,1,2]","[80,85,89,84,88,92]","[972,973,968]",250,800,60,0
86,96,3,[],"[873,344,357,80,85,89,84,88,92,1464,1463,1457]","[877,878,350,351,361,362,1464,1463]",250,620,60,0
87,97,2,[],"[444,1463,1464,445,4800,4801]","[416,1457]",250,700,80,0
88,98,1,[],"[350,351,361,362,497,4245,4251,80,85,89,84,88,92]","[873,1529]",250,750,85,0
89,99,0,[],"[501,4245,4254,191,492,3041,4241]",[],250,800,85,0
90,100,0,[],"[4241,4248,4254,1073,534,657]",[],250,800,85,0
91,101,0,[],"[153,4822,4482,1073,4823]",[],300,900,85,0
92,103,2,[],"[548,688,3771,4802,393,690,693,696,550,553,556]","[106,107,119]",300,900,80,0
93,104,1,[],"[80,85,89,84,88,92,537,663,3771]","[118,371]",300,900,85,0
94,105,1,[],"[665,525,1187,1190,1193,972,973,1676,1678,1680]",[415],300,900,85,0
95,106,1,[],"[952,671,3662]","[584,193,590]",300,900,85,0
96,107,1,[],"[1201,1203,1205,394,951,1408]","[955,541]",300,900,85,0
97,108,0,[],"[1201,1203,1205,1897,1966,951,1408]",[],300,900,85,0
98,109,0,[],"[5373,4099,4114,1899,1968,5374]",[],300,900,85,0
99,110,1,"[2,2,1,1,1,1]","[954,369,118,3099,3101]","[107,106,3102,3104,3106,3111]",300,900,70,0
100,111,3,[],"[119,356,364,81,86,90,84,88,92,378]","[350,351,361,362,107,106]",300,900,75,0
101,112,1,[],"[946,863,2640,3112,3114,23,53]","[864,865,3115,3117,3119,3121]",400,900,75,0
102,113,1,[],"[342,3112,3114]","[121,882]",300,900,75,0
103,114,0,[],"[800,275,867,793,871]",[],300,900,85,0
104,115,1,[],"[866,821,275,800]","[939,940,941,938]",300,900,85,0
105,116,1,[],"[937,923,275,5363,804]","[800,953]",300,900,85,0
106,117,1,[],"[938,940,277,941,4214,5363,278,5366,4216,806]",[819],300,900,85,0
107,118,0,[],"[1520,1626,1530,137,3874,1531,2053,2048]",[],330,900,85,0
