"rownum","BaseType","Type","i32","i32","i32","Visual","i32","UseAchievement","bool"
0,10284,0,8,30,15,1770,5,8669,""
1,10285,0,10,30,25,1760,10,8670,""
2,10286,0,8,40,30,1758,16,8671,""
3,10287,0,8,40,50,1766,22,8672,""
4,10288,0,10,50,75,1759,28,8673,""
5,10289,0,8,50,85,1771,34,8674,""
6,10290,0,12,100,100,1761,40,8675,1
7,10291,0,18,60,100,1764,45,8676,1
8,10292,0,12,60,150,1765,50,8677,1
9,10293,1,8,10,30,1760,18,8678,""
10,10294,1,10,10,30,1758,20,8679,""
11,10295,1,8,10,50,1766,22,8680,""
12,10296,1,10,10,80,1759,24,8681,""
13,10297,1,8,10,100,1771,26,8682,""
14,10298,1,12,10,200,1761,20,8683,1
15,10299,1,18,10,120,1764,30,8684,1
16,10300,1,12,10,70,1765,35,8685,1
17,10301,2,12,20,2,1760,30,8686,""
18,10302,2,8,30,2,1774,35,8687,""
19,10303,2,8,50,3,1766,40,8688,""
20,10304,2,10,30,3,1759,45,8689,""
21,10305,2,8,40,4,1771,42,8690,""
22,10306,2,12,50,4,1761,45,8691,1
23,10307,2,18,30,4,1764,50,8692,1
24,10308,2,12,30,4,1765,55,8693,1
25,10309,2,5,20,1,1762,100,8694,""
