"rownum","ModsKey","i32","i32","i32"
0,22236,2,9,100
1,22237,10,14,100
2,22238,15,20,100
3,22246,21,30,50
4,22239,2,9,100
5,22240,10,14,100
6,22241,15,30,100
7,22152,15,30,10
8,22153,15,30,10
9,22154,15,30,10
10,22155,10,14,0
11,22156,15,30,0
12,22157,10,14,0
13,22158,15,30,0
14,22159,10,14,0
15,22160,15,30,0
16,22161,10,14,20
17,22162,15,30,20
18,22163,5,14,35
19,22164,15,30,35
20,22165,5,9,50
21,22166,10,15,50
22,22167,15,30,50
23,22168,2,9,25
24,22169,10,14,25
25,22170,15,20,25
26,22251,21,30,25
27,22171,5,9,25
28,22172,10,14,25
29,22173,15,30,25
30,22174,5,9,25
31,22175,10,14,25
32,22176,15,30,25
33,22177,2,9,25
34,22178,10,14,25
35,22179,15,20,25
36,22252,21,30,25
37,22180,5,9,25
38,22181,10,14,25
39,22182,15,30,25
40,22183,5,9,25
41,22184,10,14,25
42,22185,15,30,25
43,22186,2,9,25
44,22187,10,14,25
45,22188,15,20,25
46,22249,21,30,25
47,22189,5,9,25
48,22190,10,14,25
49,22191,15,30,25
50,22192,5,9,25
51,22193,10,14,25
52,22194,15,30,25
53,22195,2,9,25
54,22196,10,14,25
55,22197,15,20,25
56,22250,21,30,25
57,22198,10,14,25
58,22199,15,17,25
59,22200,15,30,25
60,22201,5,9,25
61,22202,10,14,25
62,22203,15,30,25
63,22204,2,9,25
64,22205,10,14,25
65,22206,15,20,25
66,22253,21,30,25
67,22207,10,14,25
68,22208,15,17,25
69,22209,18,30,25
70,22210,10,14,20
71,22211,15,30,20
72,22212,2,9,20
73,22213,10,14,20
74,22214,15,30,20
75,22215,10,14,10
76,22216,15,17,10
77,22217,15,30,10
78,22218,2,9,100
79,22219,10,14,100
80,22220,15,30,100
81,22221,10,14,25
82,22222,15,30,25
83,22223,10,14,25
84,22224,15,30,25
85,22225,10,14,25
86,22226,15,30,25
87,22227,10,14,0
88,22228,15,30,0
89,22229,10,14,10
90,22230,15,20,10
91,22248,21,30,10
92,22231,10,14,10
93,22232,15,30,10
94,22233,2,9,30
95,22234,10,14,30
96,22235,15,30,30
97,22242,2,9,40
98,22243,10,14,40
99,22244,15,20,40
100,22247,21,30,40
