"rownum","Id","MonsterPack","Faction","IsDonutPack","IsElite","MinLevel","MaxLevel"
0,"0",1916,0,"","",1,100
1,"1",1917,0,"","",1,100
2,"2",1918,0,"","",1,100
3,"3",1919,0,"",1,6,100
4,"4",1920,0,"",1,12,100
5,"5",1923,1,"","",1,100
6,"6",1924,1,"","",1,100
7,"7",1925,1,"","",1,100
8,"8",1926,1,"",1,28,100
9,"9",1927,1,"",1,34,100
10,"10",1930,2,"","",1,100
11,"11",1931,2,"","",1,100
12,"12",1932,2,"","",1,100
13,"13",1933,2,"",1,16,100
14,"14",1934,2,"",1,22,100
15,"15",1938,0,1,"",16,100
16,"16",1941,0,1,"",16,100
17,"17",1944,1,1,"",16,100
18,"18",1947,1,1,"",16,100
19,"19",1950,2,1,"",16,100
20,"20",1953,2,1,"",16,100
21,"21",1939,0,1,"",40,100
22,"22",1942,0,1,"",40,100
23,"23",1945,1,1,"",40,100
24,"24",1948,1,1,"",40,100
25,"25",1951,2,1,"",40,100
26,"26",1954,2,1,"",40,100
27,"27",1921,0,"",1,1,5
28,"28",1922,0,"",1,1,11
29,"29",1928,1,"",1,1,27
30,"30",1929,1,"",1,1,33
31,"31",1935,2,"",1,1,15
32,"32",1936,2,"",1,1,21
33,"33",1937,0,1,"",1,15
34,"34",1940,0,1,"",1,15
35,"35",1943,1,1,"",1,15
36,"36",1946,1,1,"",1,15
37,"37",1949,2,1,"",1,15
38,"38",1952,2,1,"",1,15
