"rownum","string","i32","i32","i32","i32","[rid]","bool"
0,"None",0,0,0,100,[],""
1,"Act2Default",3,0,0,97,[8],""
2,"Act3Default",3,0,0,97,[8],""
3,"Act4Default",3,0,0,97,[8],""
4,"Act5EarlyDefault",3,0,0,97,[8],""
5,"Act5LateDefault",4,0,0,96,"[8,16]",""
6,"Act6Default",8,0,0,92,"[8,16,7,20,18]",""
7,"Act7Default",8,0,0,92,"[8,16,7,20,18]",""
8,"Act8Default",8,0,0,92,"[8,16,7,20,18]",""
9,"Act9Default",8,0,0,92,"[8,16,7,20,18]",""
10,"Act10Default",8,0,0,92,"[8,16,7,20,18]",""
11,"Map",0,0,0,100,[],1
12,"Tier1Map",20,3,1,76,"[8,7,6,17,19,13,14,16,15,20,18]",""
13,"Tier2Map",21,3,1,75,"[8,7,6,17,19,13,14,16,15,20,18]",""
14,"Tier3Map",22,3,1,74,"[8,7,6,17,19,13,14,16,15,20,18]",""
15,"Tier4Map",23,3,1,73,"[8,7,6,17,19,13,14,16,15,20,18]",""
16,"Tier5Map",24,3,1,72,"[8,7,6,17,19,13,14,16,15,20,18]",""
17,"Tier6Map",25,4,1,70,"[8,7,6,17,19,13,14,16,15,20,18]",""
18,"Tier7Map",26,4,1,69,"[8,7,6,17,19,13,14,16,15,20,18]",""
19,"Tier8Map",27,4,1,68,"[8,7,6,17,19,13,14,16,15,20,18]",""
20,"Tier9Map",28,4,1,67,"[8,7,6,17,19,13,14,16,15,20,18]",""
21,"Tier10Map",29,4,1,66,"[8,7,6,17,19,13,14,16,15,20,18]",""
22,"Tier11Map",30,5,1,64,"[8,7,6,17,19,13,14,16,15,20,18]",""
23,"Tier12Map",31,5,1,63,"[8,7,6,17,19,13,14,16,15,20,18]",""
24,"Tier13Map",32,5,1,62,"[8,7,6,17,19,13,14,16,15,20,18]",""
25,"Tier14Map",33,5,1,61,"[8,7,6,17,19,13,14,16,15,20,18]",""
26,"Tier15Map",34,5,1,60,"[8,7,6,17,19,13,14,16,15,20,18]",""
27,"Tier16Map",35,5,1,59,"[8,7,6,17,19,13,14,16,15,20,18]",""
