"rownum","Id","rid","Portrait","TribeIcon","TribeName (English)","TribeName (French)","TribeName (German)","TribeName (Japanese)","TribeName (Korean)","TribeName (Portuguese)","TribeName (Russian)","TribeName (Spanish)","TribeName (Thai)","TribeName (Traditional Chinese)","FavourTracker","[rid]","Name (English)","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","rid","rid","rid","rid","[rid]","rid","[rid]","i32","i32","i32","i32","rid"
0,"NoTribe",577,"Art/2DArt/UIImages/InGame/AncestralTrial/MatchSelection/NavaliPortrait","Art/2DArt/UIImages/InGame/AncestralTrial/MatchSelection/NavaliIcon","","","","","","","","","","","Art/2DArt/UIImages/InGame/AncestralTrial/TradingPhase/NavaliFavourTracker",[],"","","","","","","","","","","","","","",[],"",[],10,10,10,10,""
1,"Ngamahu",579,"Art/2DArt/UIImages/InGame/AncestralTrial/MatchSelection/NgamahuTribeLeaderPortrait","Art/2DArt/UIImages/InGame/AncestralTrial/MatchSelection/NgamahuTribeIcon","Ngamahu Tribe","Tribu de Ngamahu","Ngamahu-Stamm","ナマフの部族","나마후 부족","Tribo de Ngamahu","Племя Нгамаху","Tribu de Ngamahu","เผ่านามาฮู","努葛瑪呼部落","Art/2DArt/UIImages/InGame/AncestralTrial/TradingPhase/NgamahuFavourTracker",[693],"Ngamahu","Ngamahu","Ngamahu","ナマフ","나마후","Ngamahu","Нгамаху","Ngamahu","นามาฮู","努葛瑪呼",2169,1522,2332,2179,[9734],599,[9831],6,8,10,10,589
2,"Tasalio",580,"Art/2DArt/UIImages/InGame/AncestralTrial/MatchSelection/TasalioTribeLeaderPortrait","Art/2DArt/UIImages/InGame/AncestralTrial/MatchSelection/TasalioTribeIcon","Tasalio Tribe","Tribu de Tasalio","Tasalio-Stamm","タサリオの部族","타살리오 부족","Tribo de Tasalio","Племя Тасалио","Tribu de Tasalio","เผ่าทาซาลีโอ","塔薩里奧部落","Art/2DArt/UIImages/InGame/AncestralTrial/TradingPhase/TasalioFavourTracker",[],"Tasalio","Tasalio","Tasalio","タサリオ","타살리오","Tasalio","Тасалио","Tasalio","ทาซาลีโอ","塔薩里奧",2170,1523,2335,2180,[9735],600,[9832],6,6,6,10,590
3,"Arohongui",581,"Art/2DArt/UIImages/InGame/AncestralTrial/MatchSelection/ArohonguiTribeLeaderPortrait","Art/2DArt/UIImages/InGame/AncestralTrial/MatchSelection/ArohonguiTribeIcon","Arohongui Tribe","Tribu de Arohongui","Arohongui-Stamm","アロホングイの部族","아로호누이 부족","Tribo de Arohongui","Племя Арохонгуи","Tribu de Arohongui","เผ่าอะโรฮอนกุย","艾蘿紅薇部落","Art/2DArt/UIImages/InGame/AncestralTrial/TradingPhase/ArohonguiFavourTracker",[],"Arohongui","Arohongui","Arohongui","アロホングイ","아로호누이","Arohongui","Арохонгуи","Arohongui","อะโรฮอนกุย","艾蘿紅薇",2171,1524,2336,2181,[9736],601,[9833],6,8,8,10,594
4,"Valako",582,"Art/2DArt/UIImages/InGame/AncestralTrial/MatchSelection/ValakoTribeLeaderPortrait","Art/2DArt/UIImages/InGame/AncestralTrial/MatchSelection/ValakoTribeIcon","Valako Tribe","Tribu de Valako","Valako-Stamm","ヴァラコの部族","발라코 부족","Tribo de Valako","Племя Валако","Tribu de Valako","เผ่าวาลาโค","瓦拉庫部落","Art/2DArt/UIImages/InGame/AncestralTrial/TradingPhase/ValakoFavourTracker",[],"Valako","Valako","Valako","ヴァラコ","발라코","Valako","Валако","Valako","วาลาโค","瓦拉庫",2172,1525,2337,2184,[9737],602,[9834],8,10,8,8,593
5,"Hinekora",583,"Art/2DArt/UIImages/InGame/AncestralTrial/MatchSelection/HinekoraTribeLeaderPortrait","Art/2DArt/UIImages/InGame/AncestralTrial/MatchSelection/HinekoraTribeIcon","Hinekora Tribe","Tribu de Hinekora","Hinekora-Stamm","ヒネコラの部族","히네코라 부족","Tribo de Hinekora","Племя Хинекоры","Tribu de Hinekora","เผ่าฮิเนโครา","悉妮蔻拉部落","Art/2DArt/UIImages/InGame/AncestralTrial/TradingPhase/HinekoraFavourTracker",[],"Hinekora","Hinekora","Hinekora","ヒネコラ","히네코라","Hinekora","Хинекора","Hinekora","ฮิเนโครา","悉妮蔻拉",2173,1526,2338,2185,[9738],603,[9835],10,8,8,10,598
6,"Tawhoa",584,"Art/2DArt/UIImages/InGame/AncestralTrial/MatchSelection/TawhoaTribeLeaderPortrait","Art/2DArt/UIImages/InGame/AncestralTrial/MatchSelection/TawhoaTribeIcon","Tawhoa Tribe","Tribu de Tawhoa","Tawhoa-Stamm","タウホアの部族","타호아 부족","Tribo de Tawhoa","Племя Тахоа","Tribu de Tawhoa","เผ่าทาฟ์วัว","塔赫亞部落","Art/2DArt/UIImages/InGame/AncestralTrial/TradingPhase/TawhoaFavourTracker",[],"Tawhoa","Tawhoa","Tawhoa","タウホア","타호아","Tawhoa","Тахоа","Tawhoa","ทาฟ์วัว","塔赫亞",2174,1527,2339,2327,[9739],604,[9836],10,10,10,10,592
7,"Kitava",585,"Art/2DArt/UIImages/InGame/AncestralTrial/MatchSelection/KitavaTribeLeaderPortrait","Art/2DArt/UIImages/InGame/AncestralTrial/MatchSelection/KitavaTribeIcon","Kitava Tribe","Tribu de Kitava","Kitava-Stamm","キタヴァの部族","키타바 부족","Tribo de Kitava","Племя Китавы","Tribu de Kitava","เผ่าคิทาวา","奇塔弗部落","Art/2DArt/UIImages/InGame/AncestralTrial/TradingPhase/KitavaFavourTracker","[1077,1085]","Kitava","Kitava","Kitava","キタヴァ","키타바","Kitava","Китава","Kitava","คิทาวา","奇塔弗",2175,1902,2340,2328,[9740],605,[9837],8,10,10,8,591
8,"Ramako",586,"Art/2DArt/UIImages/InGame/AncestralTrial/MatchSelection/RamakoTribeLeaderPortrait","Art/2DArt/UIImages/InGame/AncestralTrial/MatchSelection/RamakoTribeIcon","Ramako Tribe","Tribu de Ramako","Ramako-Stamm","ラマコの部族","라마코 부족","Tribo de Ramako","Племя Рамако","Tribu de Ramako","เผ่ารามาโค","雷默科部落","Art/2DArt/UIImages/InGame/AncestralTrial/TradingPhase/RamakoFavourTracker",[],"Ramako","Ramako","Ramako","ラマコ","라마코","Ramako","Рамако","Ramako","รามาโค","雷默科",2176,1971,2341,2329,[9741],606,[9838],10,8,8,8,596
9,"Tukohama",587,"Art/2DArt/UIImages/InGame/AncestralTrial/MatchSelection/TukohamaTribeLeaderPortrait","Art/2DArt/UIImages/InGame/AncestralTrial/MatchSelection/TukohamaTribeIcon","Tukohama Tribe","Tribu de Tukohama","Tukohama-Stamm","トゥコハマの部族","투코하마 부족","Tribo de Tukohama","Племя Тукохамы","Tribu de Tukohama","เผ่าทูโคฮาม่า","圖克哈瑪部落","Art/2DArt/UIImages/InGame/AncestralTrial/TradingPhase/TukohamaFavourTracker",[],"Tukohama","Tukohama","Tukohama","トゥコハマ","투코하마","Tukohama","Тукохама","Tukohama","ทูโคฮาม่า","圖克哈瑪",2177,1987,2354,2330,[9742],607,[9839],6,8,10,8,597
