"rownum","Level","Bar1","Bar2","Bar3","Bar4","Bar5"
0,1,752,2256,6768,13536,27072
1,2,803,2409,7227,14454,28908
2,3,856,2568,7704,15408,30816
3,4,913,2739,8217,16434,32868
4,5,973,2919,8757,17514,35028
5,6,1037,3111,9333,18666,37332
6,7,1104,3312,9936,19872,39744
7,8,1174,3522,10566,21132,42264
8,9,1250,3750,11250,22500,45000
9,10,1330,3990,11970,23940,47880
10,11,1414,4242,12726,25452,50904
11,12,1504,4512,13536,27072,54144
12,13,1598,4794,14382,28764,57528
13,14,1698,5094,15282,30564,61128
14,15,1805,5415,16245,32490,64980
15,16,1915,5745,17235,34470,68940
16,17,2035,6105,18315,36630,73260
17,18,2160,6480,19440,38880,77760
18,19,2293,6879,20637,41274,82548
19,20,2432,7296,21888,43776,87552
20,21,2582,7746,23238,46476,92952
21,22,2738,8214,24642,49284,98568
22,23,2903,8709,26127,52254,104508
23,24,3078,9234,27702,55404,110808
24,25,3264,9792,29376,58752,117504
25,26,3460,10380,31140,62280,124560
26,27,3666,10998,32994,65988,131976
27,28,3884,11652,34956,69912,139824
28,29,4115,12345,37035,74070,148140
29,30,4358,13074,39222,78444,156888
30,31,4615,13845,41535,83070,166140
31,32,4889,14667,44001,88002,176004
32,33,5176,15528,46584,93168,186336
33,34,5478,16434,49302,98604,197208
34,35,5798,17394,52182,104364,208728
35,36,6137,18411,55233,110466,220932
36,37,6493,19479,58437,116874,233748
37,38,6870,20610,61830,123660,247320
38,39,7265,21795,65385,130770,261540
39,40,7685,23055,69165,138330,276660
40,41,8128,24384,73152,146304,292608
41,42,8594,25782,77346,154692,309384
42,43,9086,27258,81774,163548,327096
43,44,9606,28818,86454,172908,345816
44,45,10154,30462,91386,182772,365544
45,46,10732,32196,96588,193176,386352
46,47,11340,34020,102060,204120,408240
47,48,11984,35952,107856,215712,431424
48,49,12661,37983,113949,227898,455796
49,50,13376,40128,120384,240768,481536
50,51,14131,42393,127179,254358,508716
51,52,14924,44772,134316,268632,537264
52,53,15763,47289,141867,283734,567468
53,54,16646,49938,149814,299628,599256
54,55,17579,52737,158211,316422,632844
55,56,18560,55680,167040,334080,668160
56,57,19596,58788,176364,352728,705456
57,58,20686,62058,186174,372348,744696
58,59,21835,65505,196515,393030,786060
59,60,23047,69141,207423,414846,829692
60,61,24323,72969,218907,437814,875628
61,62,25668,77004,231012,462024,924048
62,63,27086,81258,243774,487548,975096
63,64,28579,85737,257211,514422,1028844
64,65,30154,90462,271386,542772,1085544
65,66,31810,95430,286290,572580,1145160
66,67,33556,100668,302004,604008,1208016
67,68,38934,116802,350406,700812,1401624
68,69,41068,123204,369612,739224,1478448
69,70,43310,129930,389790,779580,1559160
70,71,47753,143259,429777,859554,1719108
71,72,50354,151062,453186,906372,1812744
72,73,53094,159282,477846,955692,1911384
73,74,55980,167940,503820,1007640,2015280
74,75,61589,184767,554301,1108602,2217204
75,76,64926,194778,584334,1168668,2337336
76,77,68443,205329,615987,1231974,2463948
77,78,75152,225456,676368,1352736,2705472
78,79,79216,237648,712944,1425888,2851776
79,80,83488,250464,751392,1502784,3005568
80,81,91507,274521,823563,1647126,3294252
81,82,96433,289299,867897,1735794,3471588
82,83,101622,304866,914598,1829196,3658392
83,84,106276,318828,956484,1912968,3825936
84,85,111143,333429,1000287,2000574,4001148
85,86,116233,348699,1046097,2092194,4184388
86,87,116233,348699,1046097,2092194,4184388
87,88,116233,348699,1046097,2092194,4184388
88,89,116233,348699,1046097,2092194,4184388
89,90,116233,348699,1046097,2092194,4184388
90,91,116233,348699,1046097,2092194,4184388
91,92,116233,348699,1046097,2092194,4184388
92,93,116233,348699,1046097,2092194,4184388
93,94,116233,348699,1046097,2092194,4184388
94,95,116233,348699,1046097,2092194,4184388
95,96,116233,348699,1046097,2092194,4184388
96,97,116233,348699,1046097,2092194,4184388
97,98,116233,348699,1046097,2092194,4184388
98,99,116233,348699,1046097,2092194,4184388
99,100,116233,348699,1046097,2092194,4184388
