"rownum","string","i32","i32","i32","i32","rid","[rid]"
0,"ElderInfluenceSpawnTentacleFiend1A",2,100,1,16,"",[15256]
1,"ElderInfluenceSpawnTentacleFiend1B",2,33,11,16,"","[15256,15444]"
2,"ElderInfluencePortalPack1A",2,100,1,16,"",[15439]
3,"ElderInfluencePortalPack1B",2,33,11,16,"","[15439,15444]"
4,"ElderInfluencePortalPack2A",2,100,1,16,"",[15440]
5,"ElderInfluencePortalPack2B",2,33,11,16,"","[15440,15444]"
6,"ElderInfluencePortalPack3A",2,100,1,16,"",[15441]
7,"ElderInfluencePortalPack3B",2,33,11,16,"","[15441,15444]"
8,"ElderInfluenceTentacleMinionPack1A",2,100,1,16,"",[15442]
9,"ElderInfluenceTentacleMinionPack1B",2,33,11,16,"","[15442,15444]"
10,"ElderInfluenceTentacleMinions1A",2,100,1,16,"",[15443]
11,"ElderInfluenceTentacleMinions1B",2,33,11,16,"","[15443,15444]"
12,"ShaperInfluenceSpawnAnomaly1_1",1,100,1,16,"",[15245]
13,"ShaperInfluenceSpawnAnomaly1_2",1,33,11,16,"","[15245,15246]"
14,"ShaperInfluenceSpawnAnomaly2_1",1,10,1,16,0,[15245]
15,"ShaperInfluenceSpawnAnomaly2_2",1,10,1,16,1,[15245]
16,"ShaperInfluenceSpawnAnomaly2_3",1,10,1,16,2,[15245]
17,"ShaperInfluenceSpawnAnomaly2_4",1,10,1,16,3,[15245]
18,"ShaperInfluenceSpawnGolems1_1_1",1,100,1,16,"",[15247]
19,"ShaperInfluenceSpawnGolems1_1_2",1,33,11,16,"","[15247,15246]"
20,"ShaperInfluenceSpawnGolems1_2_1",1,10,1,16,0,[15247]
21,"ShaperInfluenceSpawnGolems1_2_2",1,10,1,16,1,[15247]
22,"ShaperInfluenceSpawnGolems1_2_3",1,10,1,16,2,[15247]
23,"ShaperInfluenceSpawnGolems1_2_4",1,10,1,16,3,[15247]
24,"ShaperInfluenceSpawnGolems2_1_1",1,100,6,16,"",[15248]
25,"ShaperInfluenceSpawnGolems2_1_2",1,33,11,16,"","[15248,15246]"
26,"ShaperInfluenceSpawnGolems2_2_1",1,10,6,16,0,[15248]
27,"ShaperInfluenceSpawnGolems2_2_2",1,10,6,16,1,[15248]
28,"ShaperInfluenceSpawnGolems2_2_3",1,10,6,16,2,[15248]
29,"ShaperInfluenceSpawnGolems2_2_4",1,10,6,16,3,[15248]
30,"ShaperInfluenceSpawnGolems3_1_1",1,100,6,16,"",[15249]
31,"ShaperInfluenceSpawnGolems3_1_2",1,33,11,16,"","[15249,15246]"
32,"ShaperInfluenceSpawnGolems3_2_1",1,10,6,16,0,[15249]
33,"ShaperInfluenceSpawnGolems3_2_2",1,10,6,16,1,[15249]
34,"ShaperInfluenceSpawnGolems3_2_3",1,10,6,16,2,[15249]
35,"ShaperInfluenceSpawnGolems3_2_4",1,10,6,16,3,[15249]
36,"ShaperInfluenceSpawnGolems4_1_1",1,100,6,16,"",[15250]
37,"ShaperInfluenceSpawnGolems4_1_2",1,33,11,16,"","[15250,15246]"
38,"ShaperInfluenceSpawnGolems4_2_1",1,10,6,16,0,[15250]
39,"ShaperInfluenceSpawnGolems4_2_2",1,10,6,16,1,[15250]
40,"ShaperInfluenceSpawnGolems4_2_3",1,10,6,16,2,[15250]
41,"ShaperInfluenceSpawnGolems4_2_4",1,10,6,16,3,[15250]
42,"ShaperInfluenceSpawnVoidAgent1_1_1",1,40,6,16,"","[15253,15251]"
43,"ShaperInfluenceSpawnVoidAgent1_1_2",1,15,11,16,"","[15253,15251,15246]"
44,"ShaperInfluenceSpawnVoidAgent1_2_1",1,20,6,16,0,"[15253,15251]"
45,"ShaperInfluenceSpawnVoidAgent1_2_2",1,20,6,16,1,"[15253,15251]"
46,"ShaperInfluenceSpawnVoidAgent1_2_3",1,20,6,16,2,"[15253,15251]"
47,"ShaperInfluenceSpawnVoidAgent1_2_4",1,20,6,16,3,"[15253,15251]"
48,"ShaperInfluenceSpawnVoidAgent2_1_1",1,40,6,16,"","[15254,15252]"
49,"ShaperInfluenceSpawnVoidAgent2_1_2",1,15,11,16,"","[15254,15252,15246]"
50,"ShaperInfluenceSpawnVoidAgent2_2_1",1,20,6,16,0,"[15254,15252]"
51,"ShaperInfluenceSpawnVoidAgent2_2_2",1,20,6,16,1,"[15254,15252]"
52,"ShaperInfluenceSpawnVoidAgent2_2_3",1,20,6,16,2,"[15254,15252]"
53,"ShaperInfluenceSpawnVoidAgent2_2_4",1,20,6,16,3,"[15254,15252]"
54,"ShaperInfluenceMaelstromCell1_1",1,12,6,16,"","[15255,15245]"
55,"ShaperInfluenceMaelstromCell1_2",1,12,11,16,"","[15255,15253]"
56,"ShaperSuperInfluenceSpawn1",3,100,1,16,0,"[15245,15246,20006]"
57,"ShaperSuperInfluenceSpawn2",3,100,1,16,1,"[15245,15246,20006]"
58,"ShaperSuperInfluenceSpawn3",3,100,1,16,2,"[15245,15246,20006]"
59,"ShaperSuperInfluenceSpawn4",3,100,1,16,3,"[15245,15246,20006]"
