"rownum","rid","rid","i32","TextAudio","rid","i32","i32","i32","i32","i32","i32","i32","i32","bool","bool","bool"
0,0,0,0,[14766],"",1,3,0,0,0,0,0,0,"","",""
1,0,0,1,[14767],1,0,3,0,0,0,0,0,0,"","",""
2,0,0,2,[14768],6,0,3,0,0,0,0,0,0,"","",""
3,0,0,3,[14769],0,0,3,0,0,0,0,0,0,"","",""
4,0,0,4,[14770],4,0,3,0,0,0,0,0,0,"","",""
5,0,0,5,[16086],3,0,3,0,0,0,0,0,0,"","",""
6,0,0,6,[16087],5,0,3,0,0,0,0,0,0,"","",""
7,0,0,7,[16088],2,0,3,0,0,0,0,0,0,"","",""
8,0,0,8,[16091],"",1,3,0,0,0,0,0,0,"","",""
9,0,0,9,[16092],"",1,3,0,0,0,0,0,0,"","",""
10,0,0,10,[16093],"",1,3,0,0,0,0,0,0,"","",""
11,0,0,11,[16094],"",2,3,0,0,0,0,0,0,"","",""
12,0,0,12,[16095],"",2,3,0,0,0,0,0,0,"","",""
13,0,0,13,[16106],"",0,3,0,0,1,0,0,0,"","",""
14,0,0,14,[16107],"",0,3,1,0,0,0,0,0,"","",""
15,0,0,15,[16108],"",0,3,0,1,0,0,0,0,"","",""
16,0,0,16,[16110],"",0,3,1,0,0,0,0,0,"","",""
17,0,0,17,[16111],"",0,3,1,0,0,0,0,0,"","",""
18,0,0,18,[16112],"",0,3,2,0,0,0,0,0,"","",""
19,0,0,19,[16113],"",0,3,2,0,0,0,0,0,"","",""
20,0,0,20,[16103],"",2,3,0,0,0,0,1,0,"","",""
21,0,0,21,[16104],"",3,3,0,0,0,0,1,0,"","",""
22,0,0,22,[16104],"",1,3,0,0,0,0,1,0,"","",""
23,0,1,0,[16201],"",0,3,0,0,0,0,0,0,"",1,""
24,0,1,1,[16202],"",0,3,0,0,0,0,0,0,"",1,""
25,0,2,2,[16143],"",0,3,0,0,0,0,0,0,"",1,""
26,0,2,3,[16144],"",0,3,0,0,0,0,0,0,"",1,""
27,0,2,4,[16145],"",0,3,0,0,0,0,0,0,"",1,""
28,0,2,5,[16146],"",0,3,0,0,0,0,0,0,"",1,""
29,0,3,0,[16147],"",0,3,0,0,0,2,0,0,"","",""
30,0,3,1,[16148],"",0,3,0,0,0,2,0,0,"","",""
31,0,3,2,[16149],"",0,3,0,0,0,2,0,0,"","",""
32,0,3,3,[16150],"",0,3,0,0,0,2,0,0,"","",""
33,0,3,4,[16151],"",2,3,0,0,0,1,0,0,"","",""
34,0,3,5,[16152],"",0,3,0,0,0,1,0,0,"","",""
35,0,3,6,[16153],"",2,3,0,0,0,1,0,0,"","",""
36,0,3,7,[16154],"",0,3,0,0,0,1,0,0,"","",""
37,0,3,8,[16155],"",0,3,0,0,0,1,1,0,"","",""
38,0,3,9,[16156],"",0,3,0,0,0,1,1,0,"","",""
39,0,3,10,[16157],"",0,3,0,0,0,1,1,0,"","",""
40,0,3,11,[16158],"",1,3,0,0,0,1,1,0,"","",""
41,0,3,12,[16159],1,0,3,0,0,0,1,1,0,"","",""
42,0,3,13,[16160],6,0,3,0,0,0,1,1,0,"","",""
43,0,3,14,[16161],0,0,3,0,0,0,1,1,0,"","",""
44,0,3,15,[16162],4,0,3,0,0,0,1,1,0,"","",""
45,0,3,16,[16163],3,0,3,0,0,0,1,1,0,"","",""
46,0,3,17,[16164],5,0,3,0,0,0,1,1,0,"","",""
47,0,3,18,[16165],2,0,3,0,0,0,1,1,0,"","",""
48,0,3,19,[16170],"",0,3,0,0,0,2,1,0,"","",""
49,0,3,20,[16171],"",0,3,0,0,0,2,1,0,"","",""
50,0,3,21,[16172],"",0,3,0,0,0,2,1,0,"","",""
51,0,14,0,[16173],"",0,3,0,0,0,1,1,0,"","",""
52,0,14,1,[16174],"",0,3,0,0,0,1,1,0,"","",""
53,0,14,2,[16175],"",0,3,0,0,0,1,1,0,"","",""
54,0,14,3,[16177],"",0,3,0,0,0,1,1,0,"","",""
55,0,14,4,[16080],"",0,3,0,0,0,0,0,0,"","",""
56,0,12,0,[16117],"",2,3,0,0,0,0,0,0,"","",""
57,0,12,1,[16118],"",0,3,0,0,0,0,0,0,"","",""
58,0,12,2,[16119],"",0,3,0,0,0,0,0,0,"","",""
59,0,12,3,[16120],"",2,3,0,0,0,0,0,0,"","",""
60,0,12,4,[16121],"",0,3,0,0,0,0,1,0,"","",""
61,0,12,5,[16122],"",0,3,0,0,0,0,0,0,"","",""
62,1,13,0,[16123],"",0,3,0,0,0,0,0,0,"",1,""
63,2,13,1,[16124],"",0,3,0,0,0,0,0,0,"",1,""
64,3,13,2,[16125],"",0,3,0,0,0,0,0,0,"",1,""
65,4,13,3,[16126],"",0,3,0,0,0,0,0,0,"",1,""
66,5,13,4,[16127],"",0,3,0,0,0,0,0,0,"",1,""
67,6,13,5,[16128],"",0,3,0,0,0,0,0,0,"",1,""
68,7,13,6,[16129],"",0,3,0,0,0,0,0,0,"",1,""
69,8,13,7,[16130],"",0,3,0,0,0,0,0,0,"",1,""
70,9,13,8,[16131],"",0,3,0,0,0,0,0,0,"",1,""
71,10,13,9,[16132],"",0,3,0,0,0,0,0,0,"",1,""
72,1,13,10,[16133],"",0,3,0,0,0,0,0,0,"",1,""
73,2,13,11,[16134],"",0,3,0,0,0,0,0,0,"",1,""
74,3,13,12,[16135],"",0,3,0,0,0,0,0,0,"",1,""
75,4,13,13,[16136],"",0,3,0,0,0,0,0,0,"",1,""
76,5,13,14,[16137],"",0,3,0,0,0,0,0,0,"",1,""
77,6,13,15,[16138],"",0,3,0,0,0,0,0,0,"",1,""
78,7,13,16,[16139],"",0,3,0,0,0,0,0,0,"",1,""
79,8,13,17,[16140],"",0,3,0,0,0,0,0,0,"",1,""
80,9,13,18,[16141],"",0,3,0,0,0,0,0,0,"",1,""
81,10,13,19,[16142],"",0,3,0,0,0,0,0,0,"",1,""
82,2,0,0,[14858],"",2,1,0,0,0,0,0,0,"",1,1
83,2,0,1,[14859],"",2,0,0,0,0,0,0,0,"",1,1
84,2,0,2,[14860],"",2,2,0,0,0,0,0,0,"",1,1
85,2,0,3,[14861],"",3,1,0,0,0,0,0,0,"",1,1
86,2,0,4,[14862],"",3,0,0,0,0,0,0,0,"",1,1
87,2,0,5,[14863],"",3,2,0,0,0,0,0,0,"",1,1
88,2,0,6,[14864],"",1,1,0,0,0,0,0,0,"",1,1
89,2,0,7,[14865],"",1,0,0,0,0,0,0,0,"",1,1
90,2,0,8,[14866],"",1,2,0,0,0,0,0,0,"",1,1
91,2,0,9,[14958],"",0,3,0,0,0,0,0,0,"",1,1
92,2,0,10,[15079],"",0,3,0,0,0,0,0,0,"",1,""
93,2,0,11,[15194],"",0,3,0,0,0,0,0,0,"",1,""
94,2,0,12,[15320],"",0,3,0,0,0,0,0,0,"",1,""
95,2,0,13,[15459],"",0,3,0,0,0,0,0,0,"",1,""
96,2,0,14,[15583],"",0,3,0,0,0,0,0,0,"",1,""
97,2,0,15,[15706],"",0,3,0,0,0,0,0,0,"",1,""
98,2,0,16,[15813],"",0,3,0,0,0,0,0,0,"",1,""
99,2,0,17,[15941],"",0,3,0,0,0,0,0,0,"",1,""
100,2,1,0,[14876],"",2,3,0,0,0,0,0,0,"",1,1
101,2,1,1,[14877],"",3,3,0,0,0,0,0,0,"",1,1
102,2,1,2,[14878],"",0,3,1,0,0,0,0,0,"",1,1
