"rownum","Id","f32","f32","f32","f32","i32","bool","rid","rid","i32","bool","f32","i32","f32","f32","i32"
0,"Charge",2,50,30,50,1,"","","",150,"",0,0,0,0,1
1,"Curse",2,26,2,10,3,"",4491,4490,150,"",0,0,0,0,1
2,"Shrine",0.1,10,1,10,4,"","","",150,"",0,0,0,0,1
3,"Mark",2,0,1,10,2,"",4491,4490,150,"",0,0,0,0,1
4,"JointAttach",1,0,0,50,0,1,"","",50,"",0,0,0,0,1
5,"WinterBrandOrb",5,50,30,50,1,"",4491,"",50,"",0,0,0,0,1
6,"SteelCharge",9,80,10,30,1,"","","",150,"",0,0,0,0,4
7,"CorruptedBlood",2,26,2,10,3,"",4491,4490,50,"",0,0,0,0,1
8,"ArchnemesisModOffensive",1,75,5,10,1,"","","",0,"",0,0,0,0,1
9,"ArchnemesisModDefensive",2,75,0,25,1,"","","",0,"",0,0,0,0,1
10,"ArchnemesisModStatic",0,0,0,0,1,"","","",0,"",0,0,0,0,1
11,"TricksterHeartstopper",0.1,10,2,0,1,"","","",0,"",0,0,0,0,1
12,"NewCharge",2,70,1,0,1,"","","",50,"",0,0,0,0,1
13,"Planet",0.75,100,3,15,1,"","","",275,"",0,0,0,0.4,1
14,"Moon",1,35,25,40,1,"","","",0,"",0,0,0,0,1
15,"Vine",0.5,85,10,10,1,"","","",500,"",0,0,0,0,3
