"rownum","Id","i32","i32","rid"
0,"divine_cry_weapon",1,0,""
1,"divine_cry_weapon",1,2,""
2,"divine_cry_weapon",1,3,""
3,"storm_rain_beam",3,0,""
4,"chain_strike",3,0,""
5,"chain_strike",3,1,""
6,"orb_of_storms",1,0,""
7,"orb_of_storms",1,1,""
8,"orb_of_storms",1,2,""
9,"exsanguinate_beam",1,0,""
10,"exsanguinate_beam_lite",1,0,""
11,"exsanguinate_beam",1,1,""
12,"exsanguinate_beam_lite",1,1,""
13,"exsanguinate_beam",1,2,""
14,"exsanguinate_beam_lite",1,2,""
15,"earthshatter_spike_beam",1,1,""
16,"earthshatter_spike_beam_ancestral",1,1,11885
17,"arc",1,0,""
18,"arc",1,1,""
19,"arc",1,2,""
20,"arc",1,3,""
21,"arc",1,4,""
22,"arc",1,5,""
23,"arc",1,6,""
24,"arc",1,7,""
25,"arc",1,8,""
26,"arc",1,9,""
27,"arc",1,10,""
28,"arc",1,11,""
29,"arc",1,12,""
30,"arc",1,13,""
31,"storm_brand_attached_beam",3,0,""
32,"storm_brand_attached_beam",3,1,""
33,"storm_brand_attached_beam",3,2,""
34,"storm_brand_attack_beam",3,0,""
35,"storm_brand_attack_beam",3,1,""
36,"storm_brand_attack_beam",3,2,""
37,"armageddon_attached_beam",3,0,""
38,"armageddon_attached_beam",3,2,""
39,"arcanist_brand_attached_beam",3,0,""
40,"arcanist_brand_attached_beam",3,2,""
41,"penance_brand_attached_beam",3,0,""
42,"penance_brand_attached_beam",3,2,""
43,"penance_brand_charge_beam",3,0,""
44,"penance_brand_charge_beam",3,2,""
45,"winter_brand_attached_beam",3,0,""
46,"winter_brand_attached_beam",3,2,""
47,"winter_brand_charge_beam",3,0,""
48,"winter_brand_charge_beam",3,2,""
49,"tempest_shield_beam",1,0,""
50,"tempest_shield_beam",1,1,""
51,"soul_link_beam",1,0,""
52,"flame_link_beam",1,0,""
53,"remora_link_beam",1,0,""
54,"bulwark_link_beam",1,0,""
55,"trigger_link_beam",1,0,""
56,"critical_link_beam",1,0,""
57,"brand_surge_cast_beam",1,0,""
58,"brand_surge_cast_beam",1,1,""
59,"brand_surge_cast_beam",1,2,""
60,"crackling_lance_main_beam",1,0,""
61,"crackling_lance_main_beam",1,1,""
62,"crackling_lance_main_beam",1,2,""
63,"crackling_lance_final_beam",1,0,""
64,"crackling_lance_final_beam",1,1,""
65,"crackling_lance_final_beam",1,2,""
66,"toxic_rain_vine",1,0,""
67,"toxic_rain_vine",1,1,""
68,"toxic_rain_vine",1,2,""
69,"toxic_rain_vine",1,3,""
70,"toxic_rain_vine",1,4,""
71,"toxic_rain_vine",1,5,""
72,"toxic_rain_vine",1,6,""
73,"toxic_rain_vine",1,7,""
74,"sentinel_beam_laser",1,0,""
75,"sentinel_beam_laser",1,1,""
76,"sentinel_beam_laser",1,2,""
77,"laser_spears_beam",1,0,""
78,"ball_lightning_target",1,0,""
79,"ball_lightning_target",1,1,""
80,"ball_lightning_target",1,2,""
81,"ball_lightning_target",1,3,""
82,"ball_lightning_target",1,4,""
83,"ball_lightning_target",1,5,""
84,"ball_lightning_target",1,6,""
85,"ball_lightning_target",1,7,""
86,"ball_lightning_target",1,8,""
87,"ball_lightning_target",1,9,""
88,"ball_lightning_target",1,10,""
89,"ball_lightning_ground",1,0,""
90,"ball_lightning_ground",1,1,""
91,"ball_lightning_ground",1,2,""
92,"ball_lightning_ground",1,3,""
93,"ball_lightning_ground",1,4,""
94,"ball_lightning_ground",1,5,""
95,"ball_lightning_ground",1,6,""
96,"ball_lightning_ground",1,7,""
97,"ball_lightning_ground",1,8,""
98,"ball_lightning_ground",1,9,""
99,"ball_lightning_ground",1,10,""
100,"monster_soulrend_beam",1,0,""
101,"monster_soulrend_beam",1,1,""
102,"monster_soulrend_beam",1,2,""
103,"galvanic_field_beam",1,0,""
104,"galvanic_field_beam",1,1,""
105,"galvanic_field_beam",1,2,""
106,"lightning_tendrils_beam",1,0,""
107,"lightning_tendrils_beam",1,1,""
108,"lightning_tendrils_beam",1,2,""
109,"reap_beam",1,0,""
110,"reap_beam",1,1,""
111,"reap_beam",1,2,""
112,"mtx_spray_paint_beam",1,0,""
113,"mtx_spray_paint_beam",1,1,""
114,"mtx_spray_paint_beam",1,2,""
