"rownum","Item","NamePlural","ScriptReward"
0,11,"Orbs of Alteration","alt"
1,7,"Orbs of Chance","chance"
2,17,"Glassblower's Baubles","bauble"
3,19,"Chromatic Orbs","chrome"
4,21,"Jeweller's Orbs","jewellers"
5,6,"Orbs of Alchemy","alch"
6,20,"Orbs of Fusing","fusing"
7,12,"Orbs of Scouring","scour"
8,25,"Cartographer's Chisels","chisel"
9,2,"Chaos Orbs","chaos"
10,204,"Orbs of Binding","orb-of-binding"
11,8,"Orbs of Regret","regret"
12,18,"Gemcutter's Prisms","gcp"
13,23,"Blessed Orbs","blessed"
14,33,"Vaal Orbs","vaal"
15,205,"Orbs of Horizon","orb-of-horizons"
16,9799,"Instilling Orbs","instilling-orb"
17,14,"Regal Orbs","regal"
18,9798,"Enkindling Orbs","enkindling-orb"
19,9,"Orbs of Unmaking","orb-of-unmaking"
20,181,"Awakened Sextants","awakened-sextant"
21,8864,"Stacked Decks","stacked-deck"
22,3,"Veiled Chaos Orbs","veiled-chaos-orb"
23,203,"Orbs of Annulment","annul"
24,22,"Divine Orbs","divine"
25,13,"Exalted Orbs","exalted"
26,7298,"Divine Vessels","divine-vessel"
27,24,"Sacred Orbs","sacred-orb"
28,5,"Mirrors of Kalandra","mirror"
29,0,"Blacksmith's Whetstones","whetstone"
30,4,"Armourer's Scraps","scrap"
31,10,"Orbs of Transmutation","transmute"
32,15,"Orbs of Augmentation","aug"
