"rownum","Id","rid","rid","rid","i32","bool","bool","bool","bool","i32","i32","i32","bool","i32","bool","bool","rid","i32","f32","f32","f32","bool","rid","string"
0,0,118,20,452,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
1,1,128,20,511,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
2,2,129,20,516,0,"","","","",10,15,0,"",4,"","","",0,1,1,1,1,"",""
3,3,137,20,552,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
4,4,144,20,575,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
5,5,128,20,511,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
6,6,184,20,766,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
7,7,217,20,1010,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
8,8,285,20,1231,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
9,9,304,20,1363,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
10,10,310,31,1388,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
11,11,130,31,516,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
12,12,344,20,1521,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
13,13,351,20,"",0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
14,14,352,20,"",0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
15,15,370,20,"",0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
16,16,370,31,"",0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
17,17,374,31,"",0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
18,18,386,24,1718,0,"","","",1,0,15,0,"",4,"","","",0,1,1,1,1,"",""
19,19,394,31,1726,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
20,20,371,31,"",0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
21,21,372,31,"",0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
22,22,396,20,1745,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
23,23,403,20,"",0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
24,24,403,31,"",0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
25,25,409,20,1791,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
26,26,410,20,1792,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
27,27,400,20,1769,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
28,28,375,20,"",0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
29,29,397,20,1745,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
30,30,429,31,1866,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
31,31,431,20,"",0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
32,32,445,20,516,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
33,33,425,20,1847,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
34,34,452,20,2012,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
35,35,475,26,2108,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
36,36,455,20,2051,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
37,37,456,20,"",0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
38,38,457,20,"",50,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
39,39,472,20,"",0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
40,40,477,26,2109,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
41,41,476,25,2108,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
42,42,499,20,"",0,1,1,"","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
43,43,500,20,"",0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
44,44,501,20,793,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
45,45,530,31,2386,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
46,46,499,40,"",0,1,1,"","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
47,47,508,20,1745,0,1,"","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
48,48,514,20,"",50,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
49,49,521,20,"",0,"",1,"","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
50,50,525,20,2380,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
51,51,526,20,2382,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
52,52,527,20,2381,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
53,53,531,31,2415,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
54,54,532,31,2416,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
55,55,549,40,2436,0,"","","","",0,15,50,"",4,"","","",0,1,1,1,1,"",""
56,56,551,20,"",0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
57,57,552,20,"",50,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
58,58,554,31,2446,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
59,59,573,20,"",0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
60,60,576,20,"",0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
61,61,583,31,2524,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
62,62,580,31,"",0,"","","","",0,10,0,"",4,"","","",0,1,1,1,1,"",""
63,63,596,20,2592,20,1,1,"","",0,8,0,"",2,"","","",0,1,1,1,1,"",""
64,64,597,20,2584,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
65,65,607,20,2709,50,"","","","",0,8,0,"",4,"","","",0,1,1,1,1,"",""
66,66,606,20,"",0,1,"","","",0,10,0,"",4,"","","",0,1,1,1,1,"",""
67,67,609,20,2635,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
68,68,611,20,2636,25,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
69,69,617,26,"",0,"","","","",0,0,0,"",4,"","","",0,1,1,1,1,"",""
70,70,644,24,2775,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
71,71,651,24,2775,25,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
72,72,655,20,2804,0,1,"","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
73,73,656,20,"",0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
74,74,657,24,2823,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
75,75,658,24,2824,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
76,76,662,20,2842,0,"","","","",0,11,0,"",4,"","","",0,1,1,1,1,"",""
77,77,666,20,2919,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
78,78,556,31,2943,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
79,79,678,20,"",0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
80,80,684,20,3127,0,"","","","",0,11,0,"",4,"","","",0,1,1,1,1,"",""
81,81,580,20,2842,0,"","","","",0,10,0,"",4,"","","",0,1,1,1,1,"",""
82,82,683,20,3190,25,1,"","","",0,10,0,"",4,"","","",0,1,1,1,1,"",""
83,83,690,20,3155,0,1,"","","",0,18,0,"",4,"","","",0,1,1,1,1,"",""
84,84,707,20,3210,0,1,"","","",0,10,0,"",4,"","","",0,1,1,1,1,"",""
85,85,705,20,"",0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
86,86,723,20,"",0,1,"","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
87,87,724,20,"",0,1,"","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
88,88,727,20,3286,0,1,"","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
89,89,558,31,3023,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
90,90,409,20,1791,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
91,91,746,20,3440,25,"","","","",0,10,0,"",4,"","","",0,1,1,1,1,"",""
92,92,747,20,"",25,"","","","",0,10,0,"",4,"","","",0,1,1,1,1,"",""
93,93,750,20,2584,0,"","","","",0,10,0,"",4,"","","",0,1,1,1,1,"",""
94,94,752,20,552,0,1,"","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
95,95,762,20,1790,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
96,96,746,20,3440,25,"","","","",0,10,0,"",4,"","","",0,1,1,1,1,"",""
97,97,560,31,3483,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
98,98,89,20,"",0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
99,99,772,20,2584,0,"","","","",0,10,0,"",4,"","","",0,1,1,1,1,"",""
100,100,773,24,2635,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
101,101,775,20,3520,0,"","","","",0,9,0,"",4,"","","",0,1,1,1,1,"",""
102,102,778,26,3532,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
103,103,279,28,1193,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
104,104,268,28,1375,0,"","","","",0,8,0,"",4,"","","",0,1,1,1,1,"",""
105,105,806,20,3602,0,"","","","",0,8,0,"",4,"","","",0,1,1,1,1,"",""
106,106,812,20,3613,0,"","","","",0,10,0,"",4,"","","",0,1,1,1,1,"",""
107,107,813,20,3614,20,"","","","",0,8,0,"",4,"","","",0,1,1,1,1,"",""
108,108,787,28,3586,0,"","","","",0,13,0,"",4,"","","",0,1,1,1,1,"",""
109,109,824,20,3678,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
110,110,828,20,3666,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
111,111,830,20,1456,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
112,112,832,20,3698,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
113,113,856,20,3786,0,1,"","","",4,20,0,"",4,"","","",0,1,1,1,1,"",""
114,114,857,20,3799,0,1,"","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
115,115,860,31,3819,0,"","",1,"",0,10,-50,"",4,"","","",0,1,1,1,1,"",""
