"rownum","StatsKey","bool","bool","bool","bool"
0,24,"","",1,""
1,12534,1,"",1,""
2,12535,1,"",1,""
3,12538,1,"",1,""
4,12539,1,"",1,""
5,12536,1,"",1,""
6,12537,1,"",1,""
7,12540,1,"",1,""
8,12541,1,"",1,""
9,12542,1,"","",""
10,460,1,"","",""
11,12543,1,"","",""
12,1360,"","",1,""
13,4942,"","",1,""
14,25,"","",1,""
15,554,"","",1,""
16,12396,"","","",1
17,12397,"","","",1
18,12511,"","",1,""
19,12512,"","",1,""
20,12398,"","","",1
21,12513,"","",1,""
22,12514,"","",1,""
23,12515,"","",1,""
24,12516,"","",1,""
25,12517,"","",1,""
26,12518,"","",1,""
27,12519,"","",1,""
28,12520,"","",1,""
29,12521,"","",1,""
30,12522,"","",1,""
31,12523,"","",1,""
32,12524,"","",1,""
33,12531,"","",1,""
34,12528,"","",1,""
35,12530,"","",1,""
36,12533,"","",1,""
37,12532,"","",1,""
38,12529,"","",1,""
39,12551,"","",1,""
40,12552,"","",1,""
41,12553,"","",1,""
42,12554,"","",1,""
43,12555,"","",1,""
44,12556,"","",1,""
45,12557,"","",1,""
46,12558,"","",1,""
47,12559,"","",1,""
48,12560,"","",1,""
49,12561,"","",1,""
50,12562,"","",1,""
51,12563,"","",1,""
52,12351,"","","",1
53,12352,"","","",1
54,12353,"","","",1
55,12565,"","","",1
56,12399,"","","",1
57,12358,"","","",1
58,12357,"","","",1
59,13073,"","","",1
60,13074,"","","",1
61,13075,"","","",1
62,13077,1,"",1,""
63,13078,1,"",1,""
64,13079,1,"",1,""
65,13080,1,"",1,""
66,13081,1,"",1,""
67,13082,"",1,"",""
68,13083,"","","",1
69,13084,"","","",1
70,13085,"","",1,""
71,13086,"","",1,""
72,13087,"","",1,""
73,13088,"","",1,""
74,13089,"","",1,""
75,13090,"","",1,""
76,13091,"","","",1
77,13092,"","","",1
78,13093,"","","",1
79,13094,"","","",1
80,13095,"","","",1
81,13096,"","","",1
82,13097,"","","",1
83,13098,"","","",1
84,13099,"","","",1
85,13100,"","",1,""
86,13101,"","",1,""
87,13102,"","",1,""
88,13103,"","",1,""
89,13104,"","",1,""
90,13105,"","",1,""
91,13106,"","",1,""
92,13107,"","",1,""
93,13108,"","",1,""
94,13109,"",1,"",""
95,13125,"","","",1
96,13126,"","","",1
97,13132,"","",1,""
98,13133,"","",1,""
99,13134,"","",1,""
100,13135,"","",1,""
101,13136,"","",1,""
102,13137,"","",1,""
103,13138,"","",1,""
104,13139,"","",1,""
105,13140,"","",1,""
106,12785,"","","",1
107,12786,"","","",1
108,13208,"","","",""
109,12788,"","","",1
110,12355,"","","",1
111,12787,"","","",""
112,13209,"",1,"",""
113,13210,"","","",1
114,13211,"","","",1
115,13212,"","","",1
116,13213,"","","",1
117,13216,"","",1,""
118,12724,"","","",1
119,12725,"","","",1
120,12757,"","","",1
121,12758,"","","",1
122,12759,"","","",1
123,12762,"","","",1
124,12763,"","","",1
125,12764,"","","",1
126,12765,"","","",1
127,12766,"","","",1
128,12767,"","","",1
129,12768,"","","",1
130,12769,"","","",1
131,12770,"","","",1
132,12771,"","","",1
133,12772,"","","",1
134,13247,"","","",1
