"rownum","Id","Text (English)","Text (French)","Text (German)","Text (Japanese)","Text (Korean)","Text (Portuguese)","Text (Russian)","Text (Spanish)","Text (Thai)","Text (Traditional Chinese)","TextXBox (English)","TextXBox (French)","TextXBox (German)","TextXBox (Japanese)","TextXBox (Korean)","TextXBox (Portuguese)","TextXBox (Russian)","TextXBox (Spanish)","TextXBox (Thai)","TextXBox (Traditional Chinese)"
0,"ProxyKey1","Remember to use flasks (<b>{1-5} on the keyboard).","N'oubliez pas d'utiliser vos Flacons (<b>{1-5} sur le clavier).","Vergiss nicht, Fläschchen zu nutzen (<b>{1–5} auf der Tastatur).","フラスコの使用を忘れずに。（キーボード上の<b>{1-5}キー）","잊지 말고 플라스크를 활용하십시오(키보드 <b>{1~5}).","Lembre-se de usar os frascos (<b>{1-5} no teclado).","Не забывайте пользоваться флаконами (<b>{1-5} на клавиатуре).","Recuerda usar frascos (<b> {1-5} en tu teclado).","อย่าลืมใช้ขวดยา (<b>{ปุ่ม 1-5} บนคีย์บอร์ด)","記得使用鍵盤上的 1 到 5 來喝藥水唷！","Remember to use flasks (<<xbox_button_lb>> <<xbox_button_dpad_left>> <<xbox_button_dpad_up>> <<xbox_button_dpad_right>> <<xbox_button_rb>>).","N'oubliez pas d'utiliser vos Flacons (<<xbox_button_lb>> <<xbox_button_dpad_left>> <<xbox_button_dpad_up>> <<xbox_button_dpad_right>> <<xbox_button_rb>>).","Vergiss nicht, Fläschchen zu nutzen (<<xbox_button_lb>> <<xbox_button_dpad_left>> <<xbox_button_dpad_up>> <<xbox_button_dpad_right>> <<xbox_button_rb>>).","フラスコの使用を忘れずに。（<<xbox_button_lb>> <<xbox_button_dpad_left>> <<xbox_button_dpad_up>> <<xbox_button_dpad_right>> <<xbox_button_rb>>）","잊지 말고 플라스크를 활용하십시오((<<xbox_button_lb>> <<xbox_button_dpad_left>> <<xbox_button_dpad_up>> <<xbox_button_dpad_right>> <<xbox_button_rb>>).","Lembre-se de usar frascos (<<xbox_button_lb>> <<xbox_button_dpad_left>> <<xbox_button_dpad_up>> <<xbox_button_dpad_right>> <<xbox_button_rb>>).","Не забывайте пользоваться флаконами (<<xbox_button_lb>> <<xbox_button_dpad_left>> <<xbox_button_dpad_up>> <<xbox_button_dpad_right>> <<xbox_button_rb>>).","Recuerda usar frascos (<<xbox_button_lb>> <<xbox_button_dpad_left>> <<xbox_button_dpad_up>> <<xbox_button_dpad_right>> <<xbox_button_rb>>).","อย่าลืมใช้ขวดยา (<<xbox_button_lb>> <<xbox_button_dpad_left>> <<xbox_button_dpad_up>> <<xbox_button_dpad_right>> <<xbox_button_rb>>)","Remember to use flasks (<<xbox_button_lb>> <<xbox_button_dpad_left>> <<xbox_button_dpad_up>> <<xbox_button_dpad_right>> <<xbox_button_rb>>)."
1,"ProxyKey2","You can remove a <gemitem>{Skill Gem} from an item by right clicking on it.","Un clic droit vous permet de retirer une <gemitem>{Gemme} enchâssée dans un objet.","Mit Rechtsklick kannst du eine <gemitem>{Fertigkeitengemme} aus einem Gegenstand lösen.","<gemitem>{スキルジェム}を右クリックすることで、アイテムから取り外すことができます。","아이템에 끼운 <gemitem>{스킬 젬}은 마우스 오른쪽 버튼으로 클릭해 빼낼 수 있습니다.","Você pode remover uma <gemitem>{Gema de Habilidade} de qualquer item ao clicá-la com o botão direito.","Вы можете вынуть <gemitem>{Камень} из любого предмета, нажав по нему правой кнопкой мыши.","Puedes quitar una <gemitem>{gema de habilidad} de un objeto haciendo clic derecho sobre ella.","คุณสามารถถอด<gemitem>{หินสกิล}ออกจากไอเทมด้วยการคลิกขวาที่หินสกิล","可以在對話框輸入 <b>{$} 來快速切換至交易頻道叫賣。","You can remove a <gemitem>{Skill Gem} from an item by pressing <<xbox_button_b>> on the item then <<xbox_button_a>>.","Mettez votre curseur sur un objet et faites <<xbox_button_b>> puis <<xbox_button_a>> pour retirer une <gemitem>{Gemme} enchâssée dans cet objet.","Mit <<xbox_button_b>> auf den Gegenstand und dann <<xbox_button_a>> kannst du eine <gemitem>{Fertigkeitengemme} aus einem Gegenstand lösen.","アイテム上で<<xbox_button_b>>を押した後、<<xbox_button_a>>を押すことで<gemitem>{スキルジェム}をアイテムから取り外すことが出来ます。","아이템에 끼운 <gemitem>{스킬 젬}은 해당 아이템에서 <<xbox_button_b>>을 누른 다음, <<xbox_button_a>>을 눌러 빼낼 수 있습니다.","Você pode remover uma <gemitem>{Gema de Habilidade} de um item pressionando <<xbox_button_b>> em um item e então <<xbox_button_a>>.","Вы можете вынуть <gemitem>{Камень} из любого предмета, нажав по нему <<xbox_button_b>> , а затем <<xbox_button_a>>.","Puedes extraer una <gemitem>{gema de habilidad} de un objeto presionando <<xbox_button_b>> sobre el objeto y luego <<xbox_button_a>>.","คุณสามารถถอด <gemitem>{หินสกิล} ออกจากไอเทมได้ด้วยการกด <<xbox_button_b>> บนไอเทมแล้วกด <<xbox_button_a>>","You can remove a <gemitem>{Skill Gem} from an item by pressing <<xbox_button_b>> on the item then <<xbox_button_a>>."
2,"ProxyKey3","Type a <b>{#} before your chat message to talk globally.","Pour parler dans le tchat global, tapez un <b>{#} avant votre message.","Gib ein <b>{#} vor deiner Chat-Nachricht ein, um global zu chatten.","チャットメッセージの前に<b>{#}をタイプすることで、グローバルチャットができます。","전체 채팅을 하려면 메시지 앞에 <b>{#}을 붙이십시오.","Coloque um <b>{#} antes da sua mensagem de chat para falar globalmente.","Напишите <b>{#} перед вашим сообщением, чтобы войти в Общий чат.","Escribe <b>{#} antes de tu mensaje de chat para hablar globalmente.","พิมพ์ <b>{#} นำหน้าข้อความแชทของคุณเพื่อพูดคุยกับทุกคนในช่องแชทสาธารณะ","可以在對話框輸入 <b>{#} 來快速切換至世界頻道聊天。","","","","","","","","","",""
3,"ProxyKey4","Type a <b>{$} before your chat message to talk in trade chat.","Pour parler dans le tchat d'échanges, tapez un <b>{$} avant votre message.","Gib ein <b>{$} vor deiner Chat-Nachricht ein, um dich im Handels-Chat zu unterhalten.","チャットメッセージの前に<b>{$}をタイプすることで、トレードチャットができます。","거래 채팅을 하려면 메시지 앞에 <b>{$}을 붙이십시오.","Coloque um <b>{$} antes da sua mensagem de chat para falar no chat de comércio.","Напишите <b>{$} перед вашим сообщением, чтобы войти в чат Торговли.","Escribe <b>{$} antes de tu mensaje de chat para hablar en comercio.","พิมพ์ <b>{$} นำหน้าข้อความแชทของคุณเพื่อพูดคุยในช่องแชทเพื่อแลกเปลี่ยน","可以在對話框輸入 <b>{$} 來快速切換至交易頻道叫賣。","","","","","","","","","",""
4,"ProxyKey5","Instances reset after being empty for 8-15 minutes, destroying any connected Portals.","Les instances sont réinitialisées après 8 à 15 minutes d'inactivité, détruisant ainsi tout portail connecté.","Leere Instanzen werden nach 8–15 Minuten zurückgesetzt und damit auch alle verknüpften Portale zerstört.","誰もいない状態で8-15分間経過するとインスタントはリセットされ、接続しているポータルは破壊されます。","인스턴스는 비어 있는 상태에서 8~15분이 지나면 초기화되며, 연결된 포탈을 모두 파괴합니다.","Instâncias se reiniciam após ficarem vazias por 8-15 minutos, destruindo quaisquer Portais conectados.","Область обновляется спустя 8-15 минут после того, как оказывается пустой, уничтожая все соединенные Порталы.","Las instancias se reinician después de estar vacías durante 8-15 minutos y destruyen todos los portales conectados.","อินสแตนซ์จะรีเซ็ตหลังจากที่ไม่มีผู้เล่นอยู่เป็นเวลา 8-15 นาที ซึ่งจะทำลายวาร์ปใดๆ ที่เชื่อมต่อ","沒人在的地圖約 8 至 15 分會重置，地圖內的傳送門也會隨之關閉。","","","","","","","","","",""
5,"ProxyKey6","Use <b>{Ctrl} + <b>{Alt} + <b>{Click} to link an item to other players in chat.","Faites <b>{Ctrl} + <b>{Alt} + <b>{clic} pour montrer un objet à d'autres joueurs dans le tchat.","Verwende <b>{Strg} + <b>{Alt} + <b>{Klick}, um einen Gegenstand mit anderen Spielern im Chat zu verlinken.","チャット用いて他のプレーヤーとアイテムをリンクさせる際は、<b>{Ctrl} + <b>{Alt} +<b>{クリック}を使用します。","채팅창에서 다른 플레이어에게 아이템을 보여주려면 <b>{Ctrl} + <b>{Alt} + <b>{좌클릭}을 누르십시오.","Use <b>{Ctrl} + <b>{Alt} + <b>{Clique} para marcar um item no chat para outros jogadores.","Используйте <b>{Ctrl} + <b>{Alt} + <b>{клик}, чтобы отправить другу ссылку на предмет в игровой чат.","Usa <b>{Ctrl} + <b>{Alt} + <b>{Clic} para vincular un objeto al chat y que otros jugadores lo vean.","ใช้ <b>{Ctrl} + <b>{Alt} + <b>{คลิก} เพื่อเชื่อมโยงไอเทมให้กับผู้เล่นคนอื่นๆ ในแชท","想要連結物品到聊天頻道來炫耀嗎？按住 <b>{Ctrl} + <b>{Alt} 並 <b>{點擊} 該物品就可以嘍！","Use <<xbox_button_lstick>> + <<xbox_button_b>> to link an item to other players in chat.","Appuyez sur <<xbox_button_lstick>> + <<xbox_button_b>> pour montrer un objet à d'autres joueurs dans le tchat.","Verwende <<xbox_button_lstick>> + <<xbox_button_b>>, um einen Gegenstand mit anderen Spielern im Chat zu verlinken.","チャット用いて他のプレーヤーとアイテムをリンクさせる際は、<<xbox_button_lstick>> + <<xbox_button_b>>を使用します。","채팅창에서 다른 플레이어에게 아이템을 보여주려면 <<xbox_button_lstick>> + <<xbox_button_b>>을 사용하십시오.","Utilize <<xbox_button_lstick>> + <<xbox_button_b>> para linkar um item para outro jogador no chat..","Нажмите <<xbox_button_lstick>> + <<xbox_button_b>>, чтобы отправить ссылку на предмет другим игрокам в чат.","Usa <<xbox_button_lstick>> + <<xbox_button_b>> para vincular un objeto al chat y que otros jugadores lo vean.","ใช้ <<xbox_button_lstick>> + <<xbox_button_b>> เพื่อเชื่อมโยงไอเทมให้ผู้เล่นคนอื่นๆ ในแชท","Use <<xbox_button_lstick>> + <<xbox_button_b>> to link an item to other players in chat."
6,"ProxyKey7","Players in the same party will join the same areas.","Les joueurs d'un même groupe rejoignent les mêmes zones.","Spieler derselben Gruppe betreten dasselbe Gebiet.","同じパーティー内のプレイヤーは、同じエリアに参加します。","같은 파티에 속한 플레이어들은 동일한 지역에 접속하게 됩니다.","Jogadores no mesmo grupo entrarão nas mesmas áreas.","Игроки, находящиеся в одной группе, входят в одинаковые местности.","Los jugadores de un mismo grupo entrarán a las mismas áreas.","ผู้เล่นในปาร์ตี้เดียวกันจะเข้าร่วมด่านเดียวกัน","同隊伍的成員才能進入同一張地圖唷～","","","","","","","","","",""
7,"ProxyKey8","Right click on a player or message them in chat to invite them to your party.","Faites un clic droit sur un joueur ou envoyez-lui un message pour l'inviter à rejoindre votre groupe.","Rechtsklicke auf einen Spieler oder eine Nachricht, um ihn zu einem Chat oder in deine Gruppe einzuladen.","プレイヤーを右クリックまたはチャットでメッセージを送ることで、パーティーに招待します。","다른 플레이어를 파티에 초대하려면 우클릭하거나 채팅창에서 메시지를 보내십시오.","Clique com o botão direito em um jogador ou mande uma mensagem no chat para convidá-lo para seu grupo.","Нажмите правой кнопкой мыши по игроку или напишите ему в чат, чтобы пригласить в свою группу.","Haz clic en un jugador o envíale un mensaje por chat para invitarlo a tu grupo.","คลิกขวาที่ผู้เล่นหรือส่งข้อความให้เขาในช่องแชทเพื่อเชิญเขามาเข้าร่วมกับปาร์ตี้ของคุณ","右鍵點擊目標玩家或是輸入 /邀請 角色名稱 來邀請對方入隊。","Press <<xbox_button_a>> on a player or message them in chat to invite them to your party.","Appuyez sur <<xbox_button_a>> en étant près d'un joueur pour l'inviter à rejoindre votre groupe.","Drücke <<xbox_button_a>> auf einen Spieler oder schreibe eine Nachricht im Chat, um ihn in deine Gruppe einzuladen.","プレイヤー上で<<xbox_button_a>>またはチャットでメッセージを送ることで、パーティーに招待します。","다른 플레이어를 파티에 초대하려면 해당 플레이어에서 <<xbox_button_a>>을 누르거나 채팅창에서 메시지를 보내십시오.","Pressione <<xbox_button_a>> em um jogador envie uma mensagem para ele no chat para convidá-lo ao grupo.","Нажмите <<xbox_button_a>> по игроку или напишите ему в чат, чтобы пригласить в свою группу.","Presiona <<xbox_button_a>> sobre un jugador o envíale un mensaje por chat para invitarlo a tu grupo.","กด <<xbox_button_a>> บนผู้เล่นหรือส่งข้อความหาเขาในแชท เพื่อเชิญเขาเข้าร่วมปาร์ตี้","Press <<xbox_button_a>> on a player or message them in chat to invite them to your party."
8,"ProxyKey9","Support gems need to be placed in linked sockets to affect another gem.","Les Gemmes de soutien doivent se trouver dans des châsses reliées pour avoir un effet sur une autre gemme.","Unterstützungsgemmen müssen in verbundenen Fassungen eingesetzt sein, damit sie sich auf andere Gemmen auswirken.","サポートジェムが他のジェムに影響を及ぼすためには、リンクしたソケットにセットする必要があります。","보조 젬이 다른 젬에 효력을 발휘하려면 해당 젬과 연결된 홈에 장착되어야 합니다.","Gemas de suporte precisam ser colocadas em encaixes ligados para afetar outra gema.","Чтобы Камни поддержки оказывали влияние на другие камни умений, они должны быть вставлены в связанные с ними гнезда.","Las gemas de asistencia deben colocarse en engarces que estén vinculados para afectar a otra gema.","หินเสริมจะต้องใส่ในรูที่เชื่อมกันเพื่อให้ส่งผลต่อหินอื่น","輔助寶石必須要與主動技能寶石連線才能提供輔助的效果。","","","","","","","","","",""
9,"ProxyKey10","Hold <b>{Shift} to attack from your current location.","Maintenez <b>{Maj} pour attaquer à partir de votre position actuelle.","Mit gehaltener <b>{Umschalt}-Taste kannst du im Stehen zuschlagen.","<b>{Shift}を押しながら攻撃することで、現在位置から攻撃を行います。","현재 위치에 가만히 서서 공격하려면 <b>{Shift}를 누르고 계십시오.","Mantenha <b>{Shift} pressionado para atacar sem sair do lugar.","Удерживайте <b>{Shift} для атаки с текущей позиции.","Mantén presionado <b>{Shift} para atacar desde tu ubicación actual.","กด <b>{Shift} ค้างเพื่อโจมตีจากตำแหน่งปัจจุบันของคุณ","按住 <b>{Shift} 在原地進行攻擊。","","","","","","","","","",""
