"rownum","Id","Name","ItemTag","AOFile","MinLevel","MaxLevel"
0,"CommonRemnant","Unearthed Remnant",731,"Metadata/Effects/Spells/monsters_effects/League_Expedition/mechanics/relics/stone_plinth.ao",1,100
1,"CommonRemnantLogbook","Unearthed Remnant",732,"Metadata/Effects/Spells/monsters_effects/League_Expedition/mechanics/relics/stone_plinth.ao",1,100
2,"TemplarRemnant","Templar Remnant",714,"Metadata/Effects/Spells/monsters_effects/League_Expedition/mechanics/relics/stone_bluff.ao",68,100
3,"VaalRemnant","Vaal Remnant",715,"Metadata/Effects/Spells/monsters_effects/League_Expedition/mechanics/relics/vaalrelic_set.ao",68,100
4,"KaruiRemnant","Karui Remnant",717,"Metadata/Effects/Spells/monsters_effects/League_Expedition/mechanics/relics/stone_crave.ao",68,100
5,"EternalEmpireRemnant","Eternal Empire Remnant",718,"Metadata/Effects/Spells/monsters_effects/League_Expedition/mechanics/relics/stone_candle_alter.ao",68,100
6,"EternalEmpireRemnant2","Eternal Empire Remnant",719,"Metadata/Effects/Spells/monsters_effects/League_Expedition/mechanics/relics/fire_pit_01.ao",68,100
7,"EternalEmpireRemnant3","Eternal Empire Remnant",720,"Metadata/Effects/Spells/monsters_effects/League_Expedition/mechanics/relics/stone_female.ao",68,100
8,"EternalEmpireRemnant4","Eternal Empire Remnant",721,"Metadata/Effects/Spells/monsters_effects/League_Expedition/mechanics/relics/stone_roman.ao",68,100
9,"MarakethRemnant","Maraketh Remnant",722,"Metadata/Effects/Spells/monsters_effects/League_Expedition/mechanics/relics/stone_lantern.ao",68,100
10,"MarakethRemnant2","Maraketh Remnant",723,"Metadata/Effects/Spells/monsters_effects/League_Expedition/mechanics/relics/maraketh_yellow.ao",68,100
11,"SirensRemnant","Seaside Remnant",724,"Metadata/Effects/Spells/monsters_effects/League_Expedition/mechanics/relics/coral_cluster_01.ao",68,100
12,"MonkeyTribeRemnant","Primal Remnant",725,"Metadata/Effects/Spells/monsters_effects/League_Expedition/mechanics/relics/stone_circle.ao",68,100
13,"LostMenRemnant","Lost-men Remnant",726,"Metadata/Effects/Spells/monsters_effects/League_Expedition/mechanics/relics/skull_cupcake.ao",68,100
