"rownum","Id","Label","Icon","rid","Description"
0,"Tier1","I","",0,"Tier 1"
1,"Tier2","II","",1,"Tier 2"
2,"Tier3","III","",2,"Tier 3"
3,"Tier4","IV","",3,"Tier 4"
4,"Tier5","V","",4,"Tier 5"
5,"Tier6","VI","",5,"Tier 6"
6,"Tier7","VII","",6,"Tier 7"
7,"Tier8","VIII","",7,"Tier 8"
8,"Tier9","IX","",8,"Tier 9"
9,"Tier10","X","",9,"Tier 10"
10,"Tier11","XI","",10,"Tier 11"
11,"Tier12","XII","",11,"Tier 12"
12,"Tier13","XIII","",12,"Tier 13"
13,"Tier14","XIV","",13,"Tier 14"
14,"Tier15","XV","",14,"Tier 15"
15,"Tier16","XVI","",15,"Tier 16"
16,"UniqueMaps","U","Art/2DArt/UIImages/InGame/MTX/MapStash/MapTabUnique","","Unique Maps"
17,"SpecialTypes","G","Art/2DArt/UIImages/InGame/MTX/MapStash/MapTabElderShaperConqueror","","Guardian Maps"
