"rownum","Id","i32","Shop","ShopHardmode","rid"
0,"A1_Weapons",0,0,35,74
1,"A2_Weapons",3,1,36,75
2,"A3_Weapons",5,2,37,76
3,"A4_Weapons",7,3,38,77
4,"A5_Weapons",9,4,39,78
5,"A6_Weapons",11,5,40,79
6,"A7_Weapons",13,6,41,80
7,"A8_Weapons",15,7,42,81
8,"A9_Weapons",17,8,43,82
9,"A10_Weapons",19,9,44,83
10,"Epilogue_Weapons",21,10,45,84
11,"A1_Magic",1,11,46,85
12,"A2_Magic",2,12,47,86
13,"A3_Magic",4,13,48,87
14,"A4_Magic",6,14,49,88
15,"A5_Magic",8,15,50,89
16,"A6_Magic",10,16,51,90
17,"A7_Magic",12,17,52,91
18,"A8_Magic",14,18,53,92
19,"A9_Magic",16,19,54,93
20,"A10_Magic",18,20,55,94
21,"Epilogue_Magic",20,21,56,95
22,"Cadiro",-1,25,25,25
23,"Einhar",-1,26,26,26
24,"EndlessDelve",-1,29,29,29
25,"EndlessHeistContracts",23,34,34,34
26,"ExpeditionDealer",-1,32,61,61
27,"ExpeditionGambler",-1,31,60,60
28,"ExpeditionHaggler",-1,30,59,59
29,"ExpeditionSaga",-1,33,62,62
30,"Kirac",-1,27,58,58
31,"Siosa",-1,23,57,57
32,"Whakano",22,28,28,28
33,"A1_Gamble",24,63,63,63
34,"A2_Gamble",25,64,64,64
35,"A3_Gamble",26,65,65,65
36,"A4_Gamble",27,66,66,66
37,"A5_Gamble",28,67,67,67
38,"A6_Gamble",29,68,68,68
39,"A7_Gamble",30,69,69,69
40,"A8_Gamble",31,70,70,70
41,"A9_Gamble",32,71,71,71
42,"A10_Gamble",33,72,72,72
43,"Epilogue_Gamble",34,73,73,73
44,"A6_LillyRoth",29,24,22,68
45,"A10_LillyRoth",33,24,22,72
46,"Epilogue_LillyRoth",34,24,22,73
