"rownum","KeyCode","Name","Id"
0,48,"0","0"
1,49,"1","1"
2,50,"2","2"
3,51,"3","3"
4,52,"4","4"
5,53,"5","5"
6,54,"6","6"
7,55,"7","7"
8,56,"8","8"
9,57,"9","9"
10,65,"A","A"
11,66,"B","B"
12,67,"C","C"
13,68,"D","D"
14,69,"E","E"
15,70,"F","F"
16,71,"G","G"
17,72,"H","H"
18,73,"I","I"
19,74,"J","J"
20,75,"K","K"
21,76,"L","L"
22,77,"M","M"
23,78,"N","N"
24,79,"O","O"
25,80,"P","P"
26,81,"Q","Q"
27,82,"R","R"
28,83,"S","S"
29,84,"T","T"
30,85,"U","U"
31,86,"V","V"
32,87,"W","W"
33,88,"X","X"
34,89,"Y","Y"
35,90,"Z","Z"
36,32,"Spacebar","Spc"
37,9,"Tab","Tab"
38,13,"Enter","Ent"
39,18,"Alt","Alt"
40,16,"Shift","Shft"
41,33,"Page Up","PgU"
42,34,"Page Down","PgD"
43,186,";",";"
44,191,"/","/"
45,220,"\\","\\"
46,226,"\\","\\"
47,192,"`","`"
48,219,"[","["
49,221,"]","]"
50,222,"'","'"
51,188,",",","
52,187,"+","+"
53,189,"-","-"
54,37,"Left Arrow","←"
55,39,"Right Arrow","→"
56,38,"Up Arrow","↑"
57,40,"Down Arrow","↓"
58,36,"Home","Home"
59,35,"End","End"
60,46,"Delete","Del"
61,45,"Insert","Ins"
62,112,"F1","F1"
63,113,"F2","F2"
64,114,"F3","F3"
65,115,"F4","F4"
66,116,"F5","F5"
67,117,"F6","F6"
68,118,"F7","F7"
69,119,"F8","F8"
70,120,"F9","F9"
71,121,"F10","F10"
72,122,"F11","F11"
73,123,"F12","F12"
74,96,"Numpad 0","N0"
75,97,"Numpad 1","N1"
76,98,"Numpad 2","N2"
77,99,"Numpad 3","N3"
78,100,"Numpad 4","N4"
79,101,"Numpad 5","N5"
80,102,"Numpad 6","N6"
81,103,"Numpad 7","N7"
82,104,"Numpad 8","N8"
83,105,"Numpad 9","N9"
84,146,"Numpad =","N="
85,1,"Left-Click","ML"
86,2,"Right-Click","MR"
87,4,"Middle-Click","MM"
88,5,"Mouse 4","M4"
89,6,"Mouse 5","M5"
90,190,".","."
91,17,"Control","Ctrl"
