"rownum","Id","MiscAnimatedKey1","SpawnWeight","LevelMin","LevelMax","BuffDefinitionsKey","[i32]","SpawnPatterns","ModsKey","[i32]","[i32]","MiscAnimatedKey2","EnvironmentsKey","i32","Achievements","Type","Description","DaemonSpawningDataKey","bool"
0,"Fire1",4957,100,0,24,1644,"[25,20]",[4],[],[],"[0,0,0,0]",4972,1202,4,[7468],"Infernal","Monsters deal extra Fire Damage and can Ignite \nMeteors fall from the sky",0,""
1,"Fire2",4957,100,25,45,1644,"[30,25]",[4],[],[],"[0,0,0,0]",4972,1202,5,[7468],"Infernal","Monsters deal extra Fire Damage and can Ignite \nMeteors fall from the sky",0,""
2,"Fire3",4957,100,46,67,1644,"[35,30]",[4],[],[],"[0,0,0,0]",4972,1202,5,[7468],"Infernal","Monsters deal extra Fire Damage and can Ignite \nMeteors fall from the sky",0,""
3,"Fire4",4957,100,68,77,1644,"[40,35]",[4],[],[],"[0,0,0,0]",4972,1202,6,[7468],"Infernal","Monsters deal extra Fire Damage and can Ignite \nMeteors fall from the sky",0,""
4,"Fire5",4957,100,78,100,1644,"[50,40]",[4],[],[],"[0,0,0,0]",4972,1202,6,[7468],"Infernal","Monsters deal extra Fire Damage and can Ignite \nMeteors fall from the sky",0,""
5,"Cold1",4958,100,10,24,1645,"[25,20]",[4],[],[],"[0,0,0,0]",4973,1203,1,[7469],"Bitter","Monsters deal extra Cold Damage and can Freeze \nIcy Beams rotate",2,""
6,"Cold2",4958,100,25,45,1645,"[30,25]",[4],[],[],"[0,0,0,0]",4973,1203,1,[7469],"Bitter","Monsters deal extra Cold Damage and can Freeze \nIcy Beams rotate",2,""
7,"Cold3",4958,100,46,67,1645,"[35,30]",[4],[],[],"[0,0,0,0]",4973,1203,1,[7469],"Bitter","Monsters deal extra Cold Damage and can Freeze \nIcy Beams rotate",2,""
8,"Cold4",4958,100,68,77,1645,"[40,35]",[4],[],[],"[0,0,0,0]",4973,1203,1,[7469],"Bitter","Monsters deal extra Cold Damage and can Freeze \nIcy Beams rotate",2,""
9,"Cold5",4958,100,78,100,1645,"[50,40]",[4],[],[],"[0,0,0,0]",4973,1203,1,[7469],"Bitter","Monsters deal extra Cold Damage and can Freeze \nIcy Beams rotate",2,""
10,"ChaosPurple1",4959,50,46,67,1646,"[8,25]",[1],[],[],"[0,0,0,0]",4974,1204,5,[7472],"Dreaded","Monsters deal extra Chaos Damage and can Wither \nAnomalies fire Chaos projectiles",4,""
11,"ChaosPurple2",4959,50,68,77,1646,"[10,35]",[1],[],[],"[0,0,0,0]",4974,1204,6,[7472],"Dreaded","Monsters deal extra Chaos Damage and can Wither \nAnomalies fire Chaos projectiles",4,""
12,"ChaosPurple3",4959,50,78,100,1646,"[12,45]",[1],[],[],"[0,0,0,0]",4974,1204,6,[7472],"Dreaded","Monsters deal extra Chaos Damage and can Wither \nAnomalies fire Chaos projectiles",4,""
13,"Lightning1",5032,100,0,24,1683,"[25,20]",[1],[],[],"[0,0,0,0]",5046,1211,4,[7470],"Fluctuant","Monsters deal extra Lightning Damage and can Shock \nSkull Spires fire Lightning orbs at each other",6,""
14,"Lightning2",5032,100,25,45,1683,"[30,25]",[1],[],[],"[0,0,0,0]",5046,1211,5,[7470],"Fluctuant","Monsters deal extra Lightning Damage and can Shock \nSkull Spires fire Lightning orbs at each other",6,""
15,"Lightning3",5032,100,46,67,1683,"[35,30]",[1],[],[],"[0,0,0,0]",5046,1211,5,[7470],"Fluctuant","Monsters deal extra Lightning Damage and can Shock \nSkull Spires fire Lightning orbs at each other",6,""
16,"Lightning4",5032,100,68,77,1683,"[40,35]",[1],[],[],"[0,0,0,0]",5046,1211,6,[7470],"Fluctuant","Monsters deal extra Lightning Damage and can Shock \nSkull Spires fire Lightning orbs at each other",6,""
17,"Lightning5",5032,100,78,100,1683,"[50,40]",[1],[],[],"[0,0,0,0]",5046,1211,6,[7470],"Fluctuant","Monsters deal extra Lightning Damage and can Shock \nSkull Spires fire Lightning orbs at each other",6,""
18,"PhysicalBlood1",5034,100,0,24,1684,"[25,20]",[2],[],[],"[0,0,0,0]",5048,1214,4,[7471],"Violent","Monsters deal extra Physical Damage and can inflict Bleeding \nPain Totems pulse damaging waves",14,""
19,"PhysicalBlood2",5034,100,25,45,1684,"[30,25]",[2],[],[],"[0,0,0,0]",5048,1214,5,[7471],"Violent","Monsters deal extra Physical Damage and can inflict Bleeding \nPain Totems pulse damaging waves",14,""
20,"PhysicalBlood3",5034,100,46,67,1684,"[35,30]",[2],[],[],"[0,0,0,0]",5048,1214,5,[7471],"Violent","Monsters deal extra Physical Damage and can inflict Bleeding \nPain Totems pulse damaging waves",14,""
21,"PhysicalBlood4",5034,100,68,77,1684,"[40,35]",[2],[],[],"[0,0,0,0]",5048,1214,6,[7471],"Violent","Monsters deal extra Physical Damage and can inflict Bleeding \nPain Totems pulse damaging waves",14,""
22,"PhysicalBlood5",5034,100,78,100,1684,"[50,40]",[2],[],[],"[0,0,0,0]",5048,1214,6,[7471],"Violent","Monsters deal extra Physical Damage and can inflict Bleeding \nPain Totems pulse damaging waves",14,""
23,"GenericLife1",5030,100,0,24,1688,[120],[2],[],[],"[0,0,0,0]",5042,1208,4,[7573],"Suppressive","Monsters Regenerate Life \nSmothering Mist lowers your Life Regeneration",17,""
24,"GenericLife2",5030,100,25,45,1688,[120],[2],[],[],"[0,0,0,0]",5042,1208,5,[7573],"Suppressive","Monsters Regenerate Life \nSmothering Mist lowers your Life Regeneration",17,""
25,"GenericLife3",5030,100,46,67,1688,[120],[2],[],[],"[0,0,0,0]",5042,1208,5,[7573],"Suppressive","Monsters Regenerate Life \nSmothering Mist lowers your Life Regeneration",17,""
26,"GenericLife4",5030,100,68,77,1688,[120],[2],[],[],"[0,0,0,0]",5042,1208,6,[7573],"Suppressive","Monsters Regenerate Life \nSmothering Mist lowers your Life Regeneration",17,""
27,"GenericLife5",5030,100,78,100,1688,[120],[2],[],[],"[0,0,0,0]",5042,1208,6,[7573],"Suppressive","Monsters Regenerate Life \nSmothering Mist lowers your Life Regeneration",17,""
28,"GenericEnergyShield1",5037,100,10,24,1687,[30],[4],[],[],"[0,0,0,0]",5040,1208,4,[7574],"Ensconced","Monsters gain extra Energy Shield based on Life \nAltar restores monster Energy Shield",22,""
29,"GenericEnergyShield2",5037,100,25,45,1687,[35],[4],[],[],"[0,0,0,0]",5040,1208,5,[7574],"Ensconced","Monsters gain extra Energy Shield based on Life \nAltar restores monster Energy Shield",22,""
30,"GenericEnergyShield3",5037,100,46,67,1687,[40],[4],[],[],"[0,0,0,0]",5040,1208,5,[7574],"Ensconced","Monsters gain extra Energy Shield based on Life \nAltar restores monster Energy Shield",22,""
31,"GenericEnergyShield4",5037,100,68,77,1687,[45],[4],[],[],"[0,0,0,0]",5040,1208,6,[7574],"Ensconced","Monsters gain extra Energy Shield based on Life \nAltar restores monster Energy Shield",22,""
32,"GenericEnergyShield5",5037,100,78,100,1687,[50],[4],[],[],"[0,0,0,0]",5040,1208,6,[7574],"Ensconced","Monsters gain extra Energy Shield based on Life \nAltar restores monster Energy Shield",22,""
33,"GenericCharges1",5036,100,33,45,1686,[],[4],"[4742,4743,4744]","[1,1,1]","[100,100,100,100]",5039,1208,5,[7575],"Charged","Monsters gain Endurance, Frenzy or Power Charges on Hit \nAltar charges up and Discharges monsters",18,""
34,"GenericCharges2",5036,100,46,67,1686,[],[4],"[4742,4743,4744]","[1,1,1]","[100,100,100,100]",5039,1208,5,[7575],"Charged","Monsters gain Endurance, Frenzy or Power Charges on Hit \nAltar charges up and Discharges monsters",18,""
