"rownum","Id","TextAudioT1","TextAudioT2","TextAudioT3","TextAudioT4","TextAudioT5","bool","TextAudioT6"
0,"EnvoyGreeting",8854,8862,8869,8879,8884,1,""
1,"MavenBossFightEncounter",8909,9361,9728,10070,10357,"",""
2,"MavenBossVictory",8935,9392,9756,10085,10408,"",""
3,"MavenInvitationToFight",8947,9413,9777,10108,10466,"",""
4,"MavenPassivesWon",8956,9428,9794,10123,10484,"",""
5,"MavenPostfightPrompt",8963,9435,9808,10136,10499,"",""
6,"MavenFirstOffAtlassBossEncounter",8971,9449,9831,10151,10514,"",""
7,"MavenOffAtlasBossEncounter",8974,9455,9834,10155,10517,"",""
8,"MavenFirstOffAtlasBossVictory",8983,9463,9845,10163,10540,"",""
9,"MavenOffAtlasBossVictory",8986,9471,9848,10166,10545,"",""
10,"MavenOffAtlasInvitation",8995,9478,9864,10176,10566,"",""
11,"MavenKitavaComment",8998,9486,9876,10185,10575,"",""
12,"MavenElderComment",9000,9489,9879,10187,10578,"",""
13,"MavenShaperComment",9002,9493,9882,10189,10580,"",""
14,"MavenSirusComment",9005,9496,9885,10191,10583,"",""
15,"MavenGroupBossFightComment",9008,9499,9888,10194,10586,"",""
16,"MavenTrioFightComment",9010,9505,9890,10196,10589,"",""
17,"MavenMerveilFightComment",9013,9511,9893,10199,10592,"",""
18,"MavenWitnessPhaseTransition",9015,9514,9896,10202,10595,"",""
19,"MavenObservingCombatGasp",9023,9526,9526,10214,10604,"",""
20,"MavenIntroMultiBossArena",9026,9553,9908,10226,10616,"",""
21,"MavenOutroMultiBossArena",9036,9568,9922,10235,10631,"",""
22,"MavenReleaseBossIntoArena",9051,9583,9934,10243,10646,"",""
23,"MavenHealSkill",9069,9611,9955,10260,10690,"",""
24,"MavenGuardSkill",9075,9624,9969,10270,10697,"",""
25,"MavenSpaceVines",9081,9631,9975,10276,10701,"",""
26,"MavenSpaceInfuseWeapons",9086,9637,9981,10282,10711,"",""
27,"MavenDamageReductionOrbs",9091,9643,9987,10287,10719,"",""
28,"MavenSpaceFlameWall",9097,9651,9993,10293,10726,"",""
29,"MavenChasingOrb",9102,9658,10000,10299,10732,"",""
30,"MavenSpeedZones",9108,9664,10006,10305,10738,"",""
31,"MavenBossClone",9114,9671,10011,10310,10744,"",""
32,"MavenSpaceCharges",9128,9686,10022,10320,10655,"",""
33,"MavenVoidZones",9128,9686,10022,10320,10655,"",""
34,"MavenAoE",9139,9690,10037,10328,10667,"",""
35,"MavenProjectiles",9149,9704,10045,10334,10676,"",""
36,"MavenTangleInfluenceIntro",12720,12722,12724,12726,12728,"",""
37,"MavenTangleLure",12730,12732,12734,12736,12738,"",""
38,"MavenCleansingFireInfluenceIntro",12740,12742,12744,12746,12748,"",""
39,"MavenCleansingFireLure",12750,12752,12754,12756,12758,"",""
40,"MavenInfiniteHungerEncounter",12760,12762,12764,12766,12768,"",12770
41,"MavenInfiniteHungerDefeated",12772,12774,12776,12778,12780,"",12786
42,"MavenBlackStarEncounter",12792,12795,12797,12799,12801,"",12803
43,"MavenBlackStarDefeated",12805,12807,12809,12811,12813,"",12819
44,"MavenEaterOfWorldsEncounter",12825,12827,12829,12831,12833,"",12839
45,"MavenEaterOfWorldsDefeated",12845,12847,12849,12851,12853,"",12859
46,"MavenSearingExarchEncounter",12865,12867,12869,12871,12873,"",12879
47,"MavenSearingExarchDefeated",12885,12887,12889,12891,12893,"",12899
48,"MavenEldritchLanguageEncounter",12905,12907,12909,12911,12913,"",12915
49,"MavenInteractionWithSearingExarch",12917,12919,"","","","",""
50,"MavenInteractionWithEaterOfWorlds",12920,12924,12926,"","","",""
51,"MavenAllPlayersDead",12928,12930,"","","","",""
52,"MavenAllBossesDead",12932,12934,12936,"","","",""
53,"MavenKeystoneSummonBosses",12939,"","","","","",""
