"rownum","string","[rid]","[i32]","string","i32","i32","rid","i32","bool","i32","bool"
0,"CultistSpiritWeapon",[16760],[1],"稀A",0,0,40,1,1,16777216,1
1,"MercenarySpiritWeapon",[16761],[1],"䅺",0,0,40,1,1,16777216,1
2,"PyromaniacSpiritWeapon",[16762],[1],"A",0,0,40,1,1,16777216,1
3,"TemplarZealotSpiritWeapon",[16763],[1],"",0,0,40,1,1,16777216,1
4,"PredatoryFarrulsFurApparition",[16828],[1],"",0,0,0,3,1,16777216,""
5,"OshabisHeaddressStrApparition",[16836],[1],"",0,0,3,3,1,16777216,""
6,"OshabisHeaddressDexApparition",[16837],[1],"",0,0,3,3,1,16777216,""
7,"OshabisHeaddressIntApparition",[16838],[1],"",0,0,3,3,1,16777216,""
8,"HateforgeAtziriApparition",[17294],[1],"\u0000TemplarZealotSpiritWeapon",0,0,4,2,1,0,""
9,"VentorsGambleBoxCars",[17354],[1],"吀攀洀瀀氀愀爀娀攀愀氀漀琀匀瀀椀爀椀琀圀攀愀瀀漀渀",0,0,3,2,1,16777216,1
10,"VentorsGambleSnakeEyes",[17354],[1],"TemplarZealotSpiritWeapon",0,0,3,2,1,16777216,1
