"rownum","Id","MonsterVarietiesKeys","AchievementItemsKeys","bool","PlayerConditionsKeys","MonsterDeathConditionsKeys","[rid]","i32","i32","bool","bool","[rid]","[rid]","[string]","[rid]","rid","i32","[rid]","bool","[rid]","[i32]","bool"
0,"KillOversoulWhileFortified",[148],[2511],1,[0],[],[],1,1,"","",[],[],[],[],"",0,[],"",[],[],""
1,"KillBurningManWhileBurning",[3937],[2513],1,[1],[],[],1,1,"","",[],[],[],[],"",0,[],"",[],[],""
2,"KillHybridWidowWhileCoveredInSpiders",[2492],[],1,[2],[],[],1,1,"","",[],[],[],[],"",0,[],"",[],[],""
3,"KillArmalaWhileWebbedX5",[5398],[],1,[3],[],[],1,1,"","",[],[],[],[],"",0,[],"",[],[],""
4,"KillArmalaWhileWebbed",[5398],[],1,[4],[],[],1,1,"","",[],[],[],[],"",0,[],"",[],[],""
5,"KillTheGoddessWhileBeamed",[4532],[],1,[5],[],[],1,1,"","",[],[],[],[],"",0,[],"",[],[],""
6,"KillPhoenixWhileFirebombed",[4878],[],1,[6],[],[],1,1,"","",[],[],[],[],"",0,[],"",[],[],""
7,"KillConstrictorWhileVined",[5960],[],1,[7],[],[],1,1,"","",[],[],[],[],"",0,[],"",[],[],""
8,"KillHallowedHuskInBloodRain",[1598],[],"",[8],[],[],1,1,"","",[],[],[],[],"",0,[],"",[],[],""
9,"KillDelveBossLevel81","[5955,6635,6636]",[9106],"",[],[],[],1,1,"","",[],[],[],[],"",0,[],"",[],[],""
10,"KillDelveBossLevel75NoFlares","[5955,6635,6636]",[],"",[],[],[],75,75,"","",[],[75],[],[],"",0,[],"",[],[],""
11,"KillDelveBoss","[5955,6635,6636]",[8193],"",[],[],[],1,1,"","",[],[],[],[],"",0,[],"",[],[],""
12,"KillVisionOfJusticeWhileJudged",[4536],[],1,[10],[],[],1,1,"","",[],[],[],[],"",0,[],"",[],[],""
13,"KillDominusAsRanger",[1596],[993],"",[12],[],[],1,1,"","",[],[],[],[],"",0,[],"",[],[],""
14,"KillDominusAsTemplar",[1596],[994],"",[14],[],[],1,1,"","",[],[],[],[],"",0,[],"",[],[],""
15,"KillDominusAsWitch",[1596],[995],"",[11],[],[],1,1,"","",[],[],[],[],"",0,[],"",[],[],""
16,"KillDominusAsShadow",[1596],[996],"",[16],[],[],1,1,"","",[],[],[],[],"",0,[],"",[],[],""
17,"KillDominusAsDuelist",[1596],[997],"",[15],[],[],1,1,"","",[],[],[],[],"",0,[],"",[],[],""
18,"KillDominusAsMarauder",[1596],[998],"",[13],[],[],1,1,"","",[],[],[],[],"",0,[],"",[],[],""
19,"KillDominusAsScion",[1596],[999],"",[17],[],[],1,1,"","",[],[],[],[],"",0,[],"",[],[],""
20,"KillAnyHarbinger",[0],[],"",[],[4],[],1,1,"","",[],[],[],[],"",0,[],"",[],[],""
21,"KillAnyBreachMonsterWithRampageAndShrine",[0],[],"","[19,20]",[16],[],1,1,"","",[],[],[],[],"",0,[],"",[],[],""
22,"KillAnyRogueExileInKaomsStronghold",[0],[2512],"",[],[5],[67],1,1,"","",[],[],[],[],"",0,[],"",[],[],""
23,"KillAnyRogueExileWithTalisman",[0],[],"",[],"[5,25]",[],1,1,"","",[],[],[],[],"",0,[],"",[],[],""
24,"KillAnyInvasionBoss",[0],[2598],"",[],[6],[],1,1,"","",[],[],[],[],"",0,[],"",[],[],""
25,"KillAnyMonsterTouchedByTormentSpirit",[0],[],"",[],[14],[],1,1,"","",[],[],[],[],"",0,[],"",[],[],""
26,"KillAnyMapBoss",[0],[],"",[],[7],[],1,1,"",1,[],[],[],[],"",0,[],"",[],[],""
27,"KillAnyMapBossWhileAffectedByDivineShrine",[0],[7813],"",[44],[7],[],1,1,"",1,[],[],[],[],"",0,[],"",[],[],""
28,"KillAnyOnslaughtMapBoss",[0],[],"",[],"[7,17]",[],1,1,"",1,[],[],"[""攀爀猀漀甀氀圀栀椀氀攀䘀漀爀琀椀昀椀攀搀""]",[],"",0,[],"",[],[],""
29,"KillAnyOnslaughtBeyondBoss",[0],[],"",[],"[15,17]",[],1,1,"","",[],[],[],[],"",0,[],"",[],[],""
30,"KillAnyPossessedOnslaughtInvasionBoss",[0],[],"",[],"[13,17,6]",[],1,1,"","",[],[],[],[],"",0,[],"",[],[],""
31,"KillAnyPossessedEssenceMonster",[0],[],"",[],"[13,21]",[],1,1,"","",[],[],[],[],"",0,[],"",[],[],""
32,"KillAnyTripleEssenceTalismanMonsterWithTempest",[0],[],"",[],"[22,25]",[],1,1,"","",[3118],[],[],[],"",0,[],"",[],[],""
33,"KillAnyQuintessenceMonsterLevel80",[0],[7160],"",[],[23],[],80,80,"","",[],[],[],[],"",0,[],"",[],[],""
34,"KillAnyOctessenceMonsterLevel83",[0],[9567],"",[],[24],[],83,83,"","",[],[],[],[],"",0,[],"",[],[],""
35,"KillDroughtMaddenedRhoaFullyEnraged",[2311],[],"",[],[8],[],1,1,"","",[],[],[],[],"",0,[],"",[],[],""
36,"KillWitchOfTheCauldronWithSoulEater",[2339],[],"",[],[9],[],1,1,"","",[],[],[],[],"",0,[],"",[],[],""
37,"KillElderInRedMaps","[5965,5967]",[],"",[],[],[],78,83,"","",[],[],[],[],"",0,[],"",[],[],""
38,"KillElderInYellowMaps","[5965,5967]",[],"",[],[],[],73,77,"","",[],[],[],[],"",0,[],"",[],[],""
39,"KillElderInWhiteMaps","[5965,5967]",[],"",[],[],[],68,72,"","",[],[],[],[],"",0,[],"",[],[],""
40,"KillAmalgamOfNightmaresWithEffluentX10",[5814],[],"",[18],[],[],1,1,"","",[],[],[],[],"",0,[],"",[],[],""
41,"KillPortentiaWithEffluentX10",[5205],[],"",[18],[],[],1,1,"","",[],[],[],[],"",0,[],"",[],[],""
42,"KillStoneOfCurrentsWithoutShield",[4230],[],"",[],[10],[],1,1,"","",[],[],[],[],"",0,[],"",[],[],""
43,"KillAulenWith4Totems",[2412],[],"",[],[11],[],1,1,1,"",[],[],[],[],"",0,[],"",[],[],""
44,"KillUulNetolWithCorruptedBloodX5",[5114],[],"",[8],[],[],1,1,1,"",[],[],[],[],"",0,[],"",[],[],""
45,"KillGnarWhileEnraged",[4033],[],"",[],[12],[],1,1,"","",[],[],[],[],"",0,[],"",[],[],""
46,"KillStonebeakWhileEnraged",[4046],[],"",[],[12],[],1,1,"","",[],[],[],[],"",0,[],"",[],[],""
47,"KillBelcerPossessedByTwoPirates",[2333],[],"",[],"[18,19]",[],1,1,"","",[],[],[],[],"",0,[],"",[],[],""
48,"KillLitaniusWhileBothCursed",[2292],[],"",[21],[20],[],1,1,"","",[],[],[],[],"",0,[],"",[],[],""
49,"KillBeastOfThePitsWhileIncapacitated",[2321],[],"",[],[26],[],1,1,"","",[],[],[],[],"",0,[],"",[],[],""
50,"KillTulWith4Totems",[5108],[],"",[],[],[],1,1,"","",[],[],[],[],"",0,[0],"",[],[],""
51,"KillFragmentOfWinterWith10Minions",[4169],[],"",[],[],[],1,1,1,"",[],[],[],[],"",0,[1],"",[],[],""
52,"KillSanguineSirenWith3BloodRavens",[5656],[],"",[],[],[],1,1,"","",[],[],[],[],"",0,[2],"",[],[],""
53,"KillShockAndHorrorAfter2BeamsWhileInBeam",[2346],[],"",[24],[],[],1,1,"","",[],[14],[],[],"",0,[],"",[],[],""
54,"KillRektarsMinibossesBeforeHeArrives","[234,235,236,237,238,239,240,241]",[],"",[],[],[],1,1,"","",[],[],[],[15],"",0,[],"",[],[],""
55,"KillHephaestusWhileEnraged",[4459],[],"",[],[31],[],1,1,"","",[],[32],[],[],"",0,[],"",[],[],""
56,"KillMegaeraWithFireSkelliesX10",[2318],[],"",[],[],[],1,1,1,"",[],[],[],[],"",0,[3],"",[],[],""
57,"KillOmnitectAfterGuards",[4225],[],"",[],[],[],1,1,"","",[],[],[],[25],"",0,[],"",[],[],""
58,"KillGuardianOfTheVaultAfterKillingTreasureGolems",[2925],[],"",[],[],[],1,1,"","",[],[],[],[60],"",0,[],"",[],[],""
59,"KillDoedreDefilerWhileScreeching",[5784],[],"",[],[32],[],1,1,"","",[],[],[],[],"",0,[],"",[],[],""
60,"KillTitanTotemWith3Totems",[4931],[],"",[],[],[],1,1,"","",[],[],[],[],8,-1,[],"",[],[],""
61,"KillXophWithHotdogsX10",[5105],[],"",[],[33],[],1,1,"","",[],[],[],[],"",0,[],"",[],[],""
62,"KillWoadWithNoUnmovedStatues",[5145],[],"",[],[],[],1,1,"","",[],[],[],[],"",0,[4],"",[],[],""
63,"KillCleansingLightWithNoUnmovedStatues",[5150],[],"",[],[],[],1,1,"","",[],[],[],[],"",0,[5],"",[],[],""
64,"KillSyntheteNightmareWithVoidPitsX12",[7132],[9709],"",[],[],[],1,1,"","",[],[],[],[],"",0,[6],"",[],[],""
65,"KillSyntheteNightmareWithPylonsX12",[7132],[9709],"",[],[],[],1,1,"","",[],[],[],[],"",0,[7],"",[],[],""
66,"KillSyntheteNightmareWithoutVoidPitsOrPylonsX7",[7132],[],"",[],[],[],1,1,1,"",[],[],[],[72],"",0,"[8,9]","",[],[],""
67,"KillHeraldOfThunderWithHeraldOfAshOverHalfHealth",[2442],[],"",[],[],[],1,1,"","",[],[],[],[],"",0,[10],"",[],[],""
68,"KillVaalOmnitectAfterExperimentedHatchling",[6589],[],"",[],[],[],1,1,"","",[],[],[],[],24,-1,[],"",[],[],""
69,"KillGuardianOfTheVaultAfterKillingTreasureGolemsCheck",[4491],[],"",[],[],[],1,1,"","",[],[61],[],[],"",0,[],"",[0],[],""
70,"KillAhuatotliAllPyramidsActiveWithoutDamage",[6635],[],"",[],[],[],1,1,"","",[],[36],[],[],"",0,[],"",[1],[],""
