"rownum","Id","rid","rid","rid","string","string","string","bool","bool","rid","rid","EPKFile","i32","i32"
0,"HeistTemplarMelee2HSlash",71,92,"","","","",1,1,"","","Metadata/Effects/Spells/monsters_effects/League_Heist/military/chokepoint_weapon/chokePoint_poleArm.epk",150,400
1,"HeistTemplarCasterChannelledBlast",71,92,4400,"start","idle","end",1,1,"","","",500,800
2,"HeistTemplarShieldBash",71,92,"","","","",1,1,4556,"","",150,200
3,"HeistTemplarSpearThrust",71,92,"","","","",1,1,"","","Metadata/Effects/Spells/monsters_effects/League_Heist/military/chokepoint_weapon/chokePoint_weapon.epk",150,400
4,"GPHeistTemplarRangedSnipe",71,92,"","","","",1,1,4579,"","",0,0
5,"TEMPGSHeistNilesMineControlChannelled",71,92,"","","","","",1,"","","",0,0
6,"HeistTemplarShieldBashElite",71,92,"","","","",1,1,4562,"","",150,200
7,"HeistThugRangedExplosiveArrow",71,92,"","","","","",1,"","","",0,0
8,"HeistTemplarShieldBashMiniboss",71,92,"","","","",1,1,4596,"","",150,200
9,"HeistThugSpearThrust",71,92,"","","","",1,1,"","","Metadata/Effects/Spells/monsters_effects/League_Heist/thugs/weapon_effects/chokepoint_weapon_fire.epk",150,400
10,"HeistThugGroundSlam",71,92,"","","","",1,1,"","","Metadata/Effects/Spells/monsters_effects/League_Heist/thugs/weapon_effects/chokepoint_weapon_phys.epk",150,400
11,"HeistThugCleaveWave",71,92,"","","","",1,1,"","","Metadata/Effects/Spells/monsters_effects/League_Heist/thugs/weapon_effects/chokepoint_weapon_fire.epk",150,400
12,"HeistThugRangedShotgun",71,92,"","","","",1,1,"","","",150,400
13,"HeistThugGroundslamMiniboss",71,92,"","","","",1,1,"","","Metadata/Effects/Spells/monsters_effects/League_Heist/thugs/weapon_effects/chokepoint_weapon_fire.epk",150,400
14,"HeistTemplarBallLightning",78,79,"","","","",1,1,4711,"","",0,0
15,"HeistScienceMinionPortal",71,92,"","","","","",1,"","","",0,0
16,"HeistRobotMegaBeam",71,92,"","","","",1,1,4770,"","",150,400
17,"GCThaumaturgyAddBuff",71,92,"","","","","",1,"","","",0,0
18,"GSExpeditionMedvedHealBeam",71,92,"","","","","",1,"","","",0,0
19,"GSDoomBossVomit",71,92,"","","","","",1,"","","",0,0
20,"GSConsumeBossPizzaSpin",71,92,"","","","","",1,"","","",0,0
21,"SanctumDamageZoneHazard",71,92,"","","","","","","","","",0,0
22,"GSAncestralShield",71,92,"","","","","",1,"","","",0,0
23,"GSAncestralLightningBeam",101,102,7152,"channel_burst","channel_start","channel_end",1,1,"","","",5000,7000
24,"GSAncestralLightningWarp",101,102,7053,"","","","",1,"","","",0,0
25,"GSAncestralIkiahoMoon",71,92,"","","","","",1,"","","",0,0
26,"GSAncestralDruidHealChannel",71,92,"","","","","",1,"","","",0,0
27,"GSAncestralTurtleShield",148,149,"","","","","",1,"","","",0,0
28,"GSKuniKuniCorpseChannel",71,92,"","","","","",1,"","","",0,0
