"rownum","Id","Name (English)","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","StyleFlag","Group","[i32]","bool","IsDisabled"
0,"Gloves","Gloves","Gants","Handschuhe","手袋","장갑","Luvas","Перчатки","Guantes","ถุงมือ","手套",2,0,"[1,2]","",""
1,"Boots","Boots","Bottes","Stiefel","靴","장화","Botas","Обувь","Botas","รองเท้า","鞋子",2,0,"[1,2]","",""
2,"BodyArmours","Body Armours","Armures","Körperrüstungen","鎧","갑옷","Peitorais","Нательные доспехи","Armaduras","เสื้อเกราะ","胸甲",2,0,"[1,2]","",""
3,"Helmets","Helmets","Casques","Helme","兜","투구","Elmos","Шлемы","Cascos","หมวก","頭盔",2,0,"[1,2]","",""
4,"Claws","Claws","Griffes","Klauen","鉤爪","클로","Garras","Когти","Garras","กรงเล็บ","爪",2,1,[1],"",""
5,"Daggers","Daggers","Dagues","Dolche","短剣","단검","Adagas","Кинжалы","Dagas","มีด","匕首",2,1,[1],"",""
6,"Wands","Wands","Baguettes","Zauberstäbe","ワンド","마법봉","Varinhas","Жезлы","Varitas","ไม้กายสิทธิ์","法杖",2,1,[1],"",""
7,"OneHandSwords","One Hand Swords","Épées à une main","Einhandschwerter","片手剣","한손 검","Espadas de Uma Mão","Одноручные мечи","Espadas a una mano","ดาบมือเดียว","單手劍",2,1,[1],"",""
8,"ThrustingOneHandSwords","Thrusting One Hand Swords","Épées d'estoc à une main","Einhandstichschwerter","刺突剣","날카로운 한손 검","Espadas de Uma Mão Perfurantes","Шпаги","Espadas agresivas a una mano","ดาบแทง","細劍",2,1,[1],"",""
9,"OneHandAxes","One Hand Axes","Haches à une main","Einhandäxte","片手斧","한손 도끼","Machados de Uma Mão","Одноручные топоры","Hachas a una mano","ขวานมือเดียว","單手斧",2,1,[1],"",""
10,"OneHandMaces","One Hand Maces","Masses à une main","Einhandstreitkolben","片手メイス","한손 철퇴","Maças de Uma Mão","Одноручные булавы","Mazas a una mano","กระบองมือเดียว","單手錘",2,1,[1],"",""
11,"Sceptres","Sceptres","Sceptres","Zepter","セプター","셉터","Cetros","Скипетры","Cetros","คทา","權杖",2,1,[1],"",""
12,"RuneDaggers","Rune Daggers","Dagues runiques","Runendolche","ルーンの短剣","룬 단검","Adagas Rúnicas","Рунические кинжалы","Dagas rúnicas","มีดอาคม","符紋匕首",2,1,[1],"",""
13,"Bows","Bows","Arcs","Bögen","弓","활","Arcos","Луки","Arcos","ธนู","弓",2,2,[1],"",""
14,"Staves","Staves","Bâtons","Stäbe","スタッフ","지팡이","Cajados","Посохи","Báculos","ไม้พลอง","長杖",2,2,[1],"",""
15,"TwoHandSwords","Two Hand Swords","Épées à deux mains","Zweihandschwerter","両手剣","양손 검","Espadas de Duas Mãos","Двуручные мечи","Espadas a dos manos","ดาบสองมือ","雙手劍",2,2,[1],"",""
16,"TwoHandAxes","Two Hand Axes","Haches à une main","Zweihandäxte","両手斧","양손 도끼","Machados de Duas Mãos","Двуручные топоры","Hachas a dos manos","ขวานสองมือ","雙手斧",2,2,[1],"",""
17,"TwoHandMaces","Two Hand Maces","Masses à une main","Zweihandstreitkolben","両手メイス","양손 철퇴","Maças de Duas Mãos","Двуручные булавы","Mazas a dos manos","กระบองสองมือ","雙手錘",2,2,[1],"",""
18,"Warstaves","Warstaves","Bâtons de guerre","Kriegsstäbe","ウォースタッフ","전쟁지팡이","Cajados de Guerra","Воинские посохи","Báculos de guerra","ไม้พลองสงคราม","征戰長杖",2,2,[1],"",""
