"rownum","MapPinsKey0","MapPinsKey1","rid","RestrictedAreaText (English)","RestrictedAreaText (French)","RestrictedAreaText (German)","RestrictedAreaText (Japanese)","RestrictedAreaText (Korean)","RestrictedAreaText (Portuguese)","RestrictedAreaText (Russian)","RestrictedAreaText (Spanish)","RestrictedAreaText (Thai)","RestrictedAreaText (Traditional Chinese)","rid","rid","rid","[rid]"
0,0,1,0,"You must complete the quest 'Enemy at the Gate' first.","Vous devez d'abord terminer la quête « L'Ennemi aux portes ».","Ihr müsst erst die Quest 'Der Gegner am Tor' abschließen.","「立ちふさがる敵」クエストを先に完了しなければならない。","'눈 앞의 적' 퀘스트를 먼저 완료해야 합니다.","Você deve completar a missão \""O Inimigo Bate à Porta\"" primeiro.","Сначала вы должны выполнить задание \""Враг у ворот\"".","Primero debes completar la misión \""Un Enemigo en la Puerta\"".","คุณต้องผ่านภารกิจ 'ศัตรูหน้าด่าน' ก่อน","你必須先完成任務「大門口的敵人」。",1,"","",[]
1,0,2,"","","","","","","","","","","","","","",[]
2,2,3,"","","","","","","","","","","","","","",[]
3,2,4,"","","","","","","","","","","","","","",[]
4,4,5,"","","","","","","","","","","","","","",[]
5,4,7,24,"You must complete the quest 'Breaking Some Eggs' first.","Vous devez d'abord terminer la quête « Marcher sur des œufs ».","Ihr müsst erst die Quest 'Faule Eier' abschließen.","「卵の破壊」クエストを先に完了しなければならない。","'로아 알 깨트리기' 퀘스트를 먼저 완료해야 합니다.","Você deve completar a missão \""Quebrando Alguns Ovos\"" primeiro.","Сначала вы должны выполнить задание \""Разорение гнезд\"".","Primero debes completar la misión \""Rompiendo Algunos Huevos\"".","คุณต้องผ่านภารกิจ 'ตอกไข่สักนิด' ก่อน","你必須先完成任務「打破鳥蛋」。",25,"","",[]
6,7,6,"","","","","","","","","","","","","","",[]
7,7,8,"","","","","","","","","","","","","","",[]
8,8,9,"","","","","","","","","","","","","","",[]
9,9,10,"","","","","","","","","","","","","","",[]
10,10,11,"","","","","","","","","","","","","","",[]
11,11,12,"","","","","","","","","","","","","","",[]
12,12,13,"","","","","","","","","","","","","","",[]
13,12,14,"","","","","","","","","","","","","","",[]
14,17,18,"","","","","","","","","","","","","","",[]
15,17,19,"","","","","","","","","","","","","","",[]
16,17,25,"","","","","","","","","","","","","","",[]
17,19,21,"","","","","","","","","","","","","","",[]
18,19,20,"","","","","","","","","","","","","","",[]
19,21,24,"","","","","","","","","","","","","","",[]
20,21,23,"","","","","","","","","","","","","","",[]
21,21,33,"","","","","","","","","","","","","","",[]
22,22,33,"","","","","","","","","","","","","","",[]
23,25,30,"","","","","","","","","","","","","","",[]
24,25,27,"","","","","","","","","","","","","","",[]
25,27,28,"","","","","","","","","","","","","","",[]
26,30,29,99,"You must complete the quest 'The Root of the Problem' first.","Vous devez d'abord terminer la quête « Les Racines du problème ».","Ihr müsst erst die Quest 'Die Wurzel allen Übels' abschließen.","「問題の根元」クエストを先に完了しなければならない。","'문제의 근원' 퀘스트를 먼저 완료해야 합니다.","Você deve completar a missão \""A Raiz do Problema\"" primeiro.","Сначала вы должны выполнить задание \""Корень бед\"".","Primero debes completar la misión \""La Raíz del Problema\"".","คุณต้องผ่านภารกิจ 'รากเหง้าของปัญหา' ก่อน","你必須先完成任務「盤根錯節」",100,"","",[]
27,29,26,"","","","","","","","","","","","","","",[]
28,26,31,"","","","","","","","","","","","","","",[]
29,26,32,"","","","","","","","","","","","","","",[]
30,14,15,"","","","","","","","","","","","","","",[]
31,11,16,233,"You must complete the quest 'The Way Forward' first.","Vous devez d'abord terminer la quête « Vers l'Intérieur des terres ».","Ihr müsst erst die Quest 'Vorwärts' abschließen.","「先に進むために」クエストを先に完了しなければならない。","'나아가는 길' 퀘스트를 먼저 완료해야 합니다.","Você deve completar a missão \""O Caminho Adiante\"" primeiro.","Сначала вы должны выполнить задание \""Путь вперед\"".","Primero debes completar la misión \""El Camino Hacia Adelante\"".","คุณต้องผ่านภารกิจ 'เส้นทางสู่เบื้องหน้า' ก่อน","你必須先完成任務「前進內陸」。",230,"","",[]
32,34,35,"","","","","","","","","","","","","","",[]
33,34,36,"","","","","","","","","","","","","","",[]
34,36,37,"","","","","","","","","","","","","","",[]
35,36,44,"","","","","","","","","","","","","","",[]
36,44,45,434,"The way is impassable due to the Undying blockage.","La voie est bloquée par la Muraille des Nonmourants.","Dieser Weg ist aufgrund der unüberwindbaren Barriere nicht passierbar.","不死の壁のせいで、この道を通ることができない。","산 송장 장애물이 길을 가로막고 있습니다.","O caminho é intransponível devido a um bloqueio Imortal.","Проход перекрыт Бессмертной преградой.","El camino es intransitable debido al Bloqueo Imperecedero.","คุณไม่สามารถผ่านทางนี้ได้เนื่องจากมีพังผืดไร้มรณา","小徑被不死的屏障給阻斷了",194,434,473,[]
37,44,38,"","","","","","","","","","","","","","",[]
