"rownum","Id","bool","bool","rid","[rid]","rid","rid","rid","[rid]","rid","rid","i32","bool","rid","i32","i32","i32","i32","bool","bool"
0,"Anarchy",1,1,16984,[1850],17025,13798,"","[2234,3256]",5451,"",10,"",1389,0,0,4849664,0,"",""
1,"Shrine",1,1,16985,[],17026,13795,"","[2455,9850,9849]",5612,"",10,"","",1,0,9043968,0,"",""
2,"VaalSideArea",1,1,16986,[],13624,"",2313,[5826],"","",1,"","",65537,0,11927552,0,"",""
3,"Ambush",1,1,16987,[2521],17027,"","",[2454],5655,"",2,"","",0,0,16121856,0,"",""
4,"Torment",1,1,16988,[2769],17028,13794,"","[2770,3257]",5578,"",10,"","",0,0,20447232,0,"",""
5,"Essence",1,1,16989,[],17029,15511,"","[4869,5592]",5463,"",10,"","",0,0,23724032,0,"",""
6,"Breach","",1,16150,[9277],13305,"",17058,"[5458,5591]",5457,"",3,"","",65536,0,27918336,0,"",""
7,"Abyss",1,"",16149,[9277],13740,"",17056,[6628],"","",10,"","",65536,0,31981568,0,"",""
8,"MasterMission",1,1,"",[2335],"","","",[4930],"","",1,"","",257,0,37093376,0,"",""
9,"Bestiary",1,1,"",[2335],"","","",[],"","",1,"","",256,0,39452672,0,"",""
10,"Incursion","",1,"",[2335],"","","",[],"","",1,"","",257,0,41943040,0,"",""
11,"Delve","",1,"",[2335],"","","",[],"","",1,"","",257,0,43909120,0,"",""
12,"Betrayal","",1,"",[2335],"","","",[],"","",1,"","",257,0,46268416,0,"",""
13,"Legion","",1,16152,[],13517,"",17062,[9352],"","",1,"","",65537,0,48365568,0,"",""
14,"Blight","",1,16154,[],13654,15897,17057,[10051],"","",1,"","",65537,0,51511296,0,"",""
15,"Metamorph","",1,16153,[],13658,"",17063,[11456],"","",1,"","",65536,0,55050240,0,"",""
16,"Delirium","",1,16157,[],13646,"",17059,[12465],"","",1,"","",65536,0,58458112,0,"",""
17,"Harvest","",1,16148,[],13315,"",17061,[11790],"","",1,"","",65537,0,61734912,0,"",""
18,"Heist","",1,16156,[],13680,"",13619,"[13242,14148]","","",1,"","",65536,0,65798144,0,"",""
19,"Ritual","","",16155,[],14037,"",17064,[14036],"","",1,"","",65536,0,68943872,0,"",""
20,"Expedition","",1,16151,[],14730,"",17060,[14205],"","",1,"","",65792,0,72613888,0,"",""
21,"Sanctum","",1,"",[],"","","",[16978],"","",1,1,"",1,0,75890688,0,"",""
22,"Crucible","",1,"",[],"","","",[17706],"","",1,1,"",1,0,78249984,0,"",""
