"rownum","Id","Tag","DisableDrops","MoreLikely","Count"
0,"Bestiary",1109,"","",20229
1,"Breach",1102,19907,"",20230
2,"Maps",1110,"",19719,20231
3,"Uniques",1111,"",19720,20232
4,"DivinationCards",1112,"","",20233
5,"Torment",1113,"",19717,20234
6,"Strongbox",1114,"",19718,20235
7,"Harbinger",1115,"",19723,20236
8,"Legion",1106,19911,"",20237
9,"Delve",1116,"","",20238
10,"Blight",1101,19906,"",20239
11,"Abyss",1100,19905,"",20240
12,"Influence",1117,"","",20241
13,"Ultimatum",1108,19913,"",20250
14,"Anarchy",1118,"",19722,20242
15,"Misc",1119,"","",20243
16,"Delirium",1103,19908,"",20244
17,"Ritual",1107,19912,"",20246
18,"Harvest",1105,19910,"",20247
19,"Domination",1120,"",19721,20248
20,"Betrayal",1121,"","",20249
21,"Essence",1122,"",19716,20251
22,"Incursion",1123,"","",20253
23,"Beyond",1124,"",19715,20245
24,"Expedition",1104,19909,"",20252
25,"Uber",1133,"","",20254
