"rownum","Id","X","Y","IsMajorGod","CoverImage","GodName2","SelectionImage","Effect1_StatsKeys","Effect1_Values","Effect2_StatsKeys","GodName3","Effect3_Values","Effect3_StatsKeys","GodName4","Effect4_StatsKeys","Effect4_Values","GodName1","Effect2_Values","QuestState1","QuestState2","QuestState3","QuestState4","IsDisabled","AchievementItems"
0,"TheBrineKing",60,242,1,"Art/2DArt/UIImages/InGame/Pantheon/CoverLargeFarLeft","Puruna, the Challenger","Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameLarge",[6426],[1],[221],"Fragment of Winter",[100],[191],"Pirate Treasure",[2589],[-50],"Soul of the Brine King",[30],1164,1389,1390,1391,"",[6981]
1,"Arakaali",760,300,1,"Art/2DArt/UIImages/InGame/Pantheon/CoverLargeFarRight","Maligaro the Mutilator","Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameLarge",[542],[-10],[5834],"Hybrid Widow",[20],[6332],"Armala, the Widow",[6090],[40],"Soul of Arakaali",[20],1294,1392,1393,1394,"",[6981]
2,"Solaris",560,357,1,"Art/2DArt/UIImages/InGame/Pantheon/CoverLargeRight","Forest of Flames","Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameLarge","[6155,6156]","[6,20]",[6157],"Fire and Fury",[1],[6158],"Jorus, Sky's Edge",[6161],[50],"Soul of Solaris",[-8],1426,1395,1396,1397,"",[6981]
3,"Lunaris",354,386,1,"Art/2DArt/UIImages/InGame/Pantheon/CoverLargeLeft","Khor, Sister of Shadows","Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameLarge","[6162,6163]","[1,1]",[6164],"Captain Clayborne, The Accursed",[-6],[15337],"The Winged Death",[6166],[100],"Soul of Lunaris",[10],1426,1398,1399,1400,"",[6981]
4,"Minor God 1",780,517,"","Art/2DArt/UIImages/InGame/Pantheon/CoverSmall","","Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameSmall",[],[],[],"",[],[],"",[],[],"",[],71,71,71,71,1,[]
5,"Minor God 2",682,550,"","Art/2DArt/UIImages/InGame/Pantheon/CoverSmall","","Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameSmall",[],[],[],"",[],[],"",[],[],"",[],71,71,71,71,1,[]
6,"Abberath",328,584,"","Art/2DArt/UIImages/InGame/Pantheon/CoverSmall","Mephod, the Earth Scorcher","Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameSmall",[14689],[-60],"[6910,5835]","",[],[],"",[],[],"Soul of Abberath","[1,10]",1200,1402,71,71,"",[]
7,"Minor God 4",359,794,"","Art/2DArt/UIImages/InGame/Pantheon/CoverSmall","","Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameSmall",[],[],[],"",[],[],"",[],[],"",[],71,71,71,71,1,[]
8,"Gruthkul",425,609,"","Art/2DArt/UIImages/InGame/Pantheon/CoverSmall","Erebix, Light's Bane","Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameSmall",[5844],[1],[6147],"",[],[],"",[],[],"Soul of Gruthkul",[-8],1386,1405,71,71,"",[]
9,"Yugul",225,627,"","Art/2DArt/UIImages/InGame/Pantheon/CoverSmall","Varhesh, Shimmering Aberration","Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameSmall","[10914,14690]","[-50,50]",[1277],"",[],[],"",[],[],"Soul of Yugul",[-30],1438,1406,71,71,"",[]
10,"Shakari",703,566,"","Art/2DArt/UIImages/InGame/Pantheon/CoverSmall","Avatar of Undoing","Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameSmall","[11807,11808]","[-50,3]","[3421,6514]","",[],[],"",[],[],"Soul of Shakari","[-5,-25]",1629,1407,71,71,"",[]
11,"Tukohama",335,711,"","Art/2DArt/UIImages/InGame/Pantheon/CoverSmall","Tahsin, Warmaker","Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameSmall",[5837],[3],[11765],"",[],[],"",[],[],"Soul of Tukohama",[120],1175,1401,71,71,"",[]
12,"Minor God 9",547,725,"","Art/2DArt/UIImages/InGame/Pantheon/CoverSmall","","Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameSmall",[],[],[],"",[],[],"",[],[],"",[],71,71,71,71,1,[]
13,"Ralakesh",515,747,"","Art/2DArt/UIImages/InGame/Pantheon/CoverSmall","The Hollow Lady","Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameSmall","[6154,3382]","[-25,1]",[14323],"",[],[],"",[],[],"Soul of Ralakesh",[1],1273,1404,71,71,"",[]
14,"Garukhan",101,501,"","Art/2DArt/UIImages/InGame/Pantheon/CoverSmall","The Blacksmith","Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameSmall",[3587],[-60],"[2400,5848]","",[],[],"",[],[],"Soul of Garukhan","[1,100]",1566,1408,71,71,"",[]
15,"Ryslatha",524,664,"","Art/2DArt/UIImages/InGame/Pantheon/CoverSmall","Gorulis, Will-Thief","Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameSmall","[5840,5841]","[3,60]",[15869],"",[],[],"",[],[],"Soul of Ryslatha",[-50],1193,1403,71,71,"",[]
