"rownum","Id","Description (English)","Description (French)","Description (German)","Description (Japanese)","Description (Korean)","Description (Portuguese)","Description (Russian)","Description (Spanish)","Description (Thai)","Description (Traditional Chinese)","ModTypes","BossARMFile","Type","Icon","HASH16","bool","i32"
0,"BasicWavesVaal","Defeat waves of enemies","Éliminez les vagues de monstres","Vernichtet Wellen von Gegnern","敵群の撃破","몬스터 웨이브 완료하기","Derrote ondas de inimigos","Победите волны монстров","Derrota oleadas de enemigos","สยบศัตรูที่มาโจมตีเป็นระลอก","擊敗數波怪物",[],"",0,"Art/2DArt/UIImages/InGame/Ultimatum/Icons/KillMechanicIcon",49888,1,-30
1,"BasicWavesVaalWeak","Defeat waves of enemies","Éliminez les vagues de monstres","Vernichtet Wellen von Gegnern","敵群の撃破","몬스터 웨이브 완료하기","Derrote ondas de inimigos","Победите волны монстров","Derrota oleadas de enemigos","สยบศัตรูที่มาโจมตีเป็นระลอก","擊敗數波怪物",[],"",0,"Art/2DArt/UIImages/InGame/Ultimatum/Icons/KillMechanicIcon",59503,"",-30
2,"BasicWavesApes","Defeat waves of enemies","Éliminez les vagues de monstres","Vernichtet Wellen von Gegnern","敵群の撃破","몬스터 웨이브 완료하기","Derrote ondas de inimigos","Победите волны монстров","Derrota oleadas de enemigos","สยบศัตรูที่มาโจมตีเป็นระลอก","擊敗數波怪物",[],"",0,"Art/2DArt/UIImages/InGame/Ultimatum/Icons/KillMechanicIcon",58345,1,-30
3,"BasicWavesGolems","Defeat waves of enemies","Éliminez les vagues de monstres","Vernichtet Wellen von Gegnern","敵群の撃破","몬스터 웨이브 완료하기","Derrote ondas de inimigos","Победите волны монстров","Derrota oleadas de enemigos","สยบศัตรูที่มาโจมตีเป็นระลอก","擊敗數波怪物",[],"",0,"Art/2DArt/UIImages/InGame/Ultimatum/Icons/KillMechanicIcon",48908,1,-30
4,"BasicWavesSpooky","Defeat waves of enemies","Éliminez les vagues de monstres","Vernichtet Wellen von Gegnern","敵群の撃破","몬스터 웨이브 완료하기","Derrote ondas de inimigos","Победите волны монстров","Derrota oleadas de enemigos","สยบศัตรูที่มาโจมตีเป็นระลอก","擊敗數波怪物",[],"",0,"Art/2DArt/UIImages/InGame/Ultimatum/Icons/KillMechanicIcon",51796,1,-30
5,"BasicWavesApesVaal","Defeat waves of enemies","Éliminez les vagues de monstres","Vernichtet Wellen von Gegnern","敵群の撃破","몬스터 웨이브 완료하기","Derrote ondas de inimigos","Победите волны монстров","Derrota oleadas de enemigos","สยบศัตรูที่มาโจมตีเป็นระลอก","擊敗數波怪物",[],"",0,"Art/2DArt/UIImages/InGame/Ultimatum/Icons/KillMechanicIcon",771,1,-30
6,"BasicWavesGolemsVaal","Defeat waves of enemies","Éliminez les vagues de monstres","Vernichtet Wellen von Gegnern","敵群の撃破","몬스터 웨이브 완료하기","Derrote ondas de inimigos","Победите волны монстров","Derrota oleadas de enemigos","สยบศัตรูที่มาโจมตีเป็นระลอก","擊敗數波怪物",[],"",0,"Art/2DArt/UIImages/InGame/Ultimatum/Icons/KillMechanicIcon",23433,1,-30
7,"BasicWavesSpookyVaal","Defeat waves of enemies","Éliminez les vagues de monstres","Vernichtet Wellen von Gegnern","敵群の撃破","몬스터 웨이브 완료하기","Derrote ondas de inimigos","Победите волны монстров","Derrota oleadas de enemigos","สยบศัตรูที่มาโจมตีเป็นระลอก","擊敗數波怪物",[],"",0,"Art/2DArt/UIImages/InGame/Ultimatum/Icons/KillMechanicIcon",35422,1,-30
8,"BasicWavesSpookyApes","Defeat waves of enemies","Éliminez les vagues de monstres","Vernichtet Wellen von Gegnern","敵群の撃破","몬스터 웨이브 완료하기","Derrote ondas de inimigos","Победите волны монстров","Derrota oleadas de enemigos","สยบศัตรูที่มาโจมตีเป็นระลอก","擊敗數波怪物",[],"",0,"Art/2DArt/UIImages/InGame/Ultimatum/Icons/KillMechanicIcon",49497,1,-30
9,"BasicWavesChaos","Defeat waves of enemies","Éliminez les vagues de monstres","Vernichtet Wellen von Gegnern","敵群の撃破","몬스터 웨이브 완료하기","Derrote ondas de inimigos","Победите волны монстров","Derrota oleadas de enemigos","สยบศัตรูที่มาโจมตีเป็นระลอก","擊敗數波怪物",[],"",0,"Art/2DArt/UIImages/InGame/Ultimatum/Icons/KillMechanicIcon",45321,1,-30
