"rownum","rid","Monster","rid","i32","Achievement","i32"
0,0,9230,7100,2,[9790],1
1,1,9231,7106,0,[9791],0
2,2,9232,7112,0,[9792],0
3,3,9233,7102,0,[],0
4,4,9234,7111,2,[9793],0
5,5,9235,7113,1,[9794],0
6,6,9236,7104,1,[9795],0
7,7,9237,7103,0,[],0
8,8,9238,7103,0,[9796],0
9,9,9228,7113,1,[9797],0
10,10,9239,7111,2,[9798],0
11,11,9240,7101,1,[9799],0
12,12,9241,7102,1,[9800],0
13,13,9243,7104,1,[9801],0
14,14,9244,7103,0,[9802],0
15,15,9245,7111,1,[9803],0
16,16,9246,7104,2,[9804],0
17,17,9247,7111,2,[9805],0
18,18,9248,7106,0,[9806],0
19,19,9249,7104,0,[9807],0
20,20,9227,7059,3,[],0
21,21,9250,7103,0,[9808],0
22,22,9251,7104,1,[9809],0
23,23,9252,7111,2,[9810],0
24,24,9253,7111,2,[9811],0
25,25,9255,7111,2,[9812],0
26,26,9256,7103,0,[9813],0
27,27,9259,7111,2,[9814],0
28,28,9260,7103,0,[9815],0
29,29,9261,7104,1,[9816],0
30,30,9262,7111,2,[9817],0
31,31,9263,7104,1,[9818],0
32,32,9264,7104,1,[9819],0
33,33,9266,7103,0,[9820],0
34,47,9275,7059,3,[],0
35,48,9277,7059,3,[],0
36,49,9279,7102,0,[],0
37,50,9280,7059,3,[],0
38,51,9282,7059,3,[9821],0
39,52,9284,7102,0,[],0
40,53,9285,7103,0,[],0
41,54,9292,7059,3,[],0
42,55,9294,7059,3,[],0
43,56,9296,7059,3,[],0
44,57,9298,7059,3,[],0
45,58,9300,7059,3,[],0
46,59,9302,7059,3,[9822],0
