"rownum","Id","StatsKey","FormatText (English)","FormatText (French)","FormatText (German)","FormatText (Japanese)","FormatText (Korean)","FormatText (Portuguese)","FormatText (Russian)","FormatText (Spanish)","FormatText (Thai)","FormatText (Traditional Chinese)","i32"
0,"Mana",11708,"{0} Mana","{0} de Mana","{0} Mana","{0} マナ","마나 {0}","{0} Mana","{0} маны","{0} de maná","มานา {0}","{0} 魔力",1
1,"Life",13965,"{0} Life","{0} de Vie","{0} Leben","{0} ライフ","생명력 {0}","{0} Vida","{0} здоровья","{0} de vida","พลังชีวิต {0}","{0} 生命",1
2,"ES",14823,"{0} Energy Shield","{0} de Bouclier d'énergie","{0} Energieschild","{0} エナジーシールド","에너지 보호막 {0}","{0} Escudo de Energia","{0} энергетического щита","{0} de escudo de energía","โล่พลังงาน {0}","{0} 能量護盾",1
3,"Rage",14002,"{0} Rage","{0} de Rage","{0} Rausch","{0} 憤怒","격노 {0}","Fúria","{0} свирепости","{0} de furia","สถานะคลั่ง {0}","{0} 盛怒",1
4,"ManaPercent",13964,"{0}% Mana","{0}% de Mana","{0}% Mana","マナの {0}%","마나 {0}%","{0}% Mana","{0}% маны","{0}% de maná","มานา {0}%","{0}% 魔力",1
5,"LifePercent",13966,"{0}% Life","{0}% de Vie","{0}% Leben","ライフの {0}%","생명력 {0}%","{0}% Vida","{0}% здоровья","{0}% de vida","พลังชีวิต {0}%","{0}% 生命",1
6,"UnreservedManaPercent",14233,"[DNT] {0}% Unreserved Mana ","[DNT] {0}% Unreserved Mana ","[DNT] {0}% Unreserved Mana ","[DNT] {0}% Unreserved Mana ","[DNT] {0}% Unreserved Mana ","[DNT] {0}% Unreserved Mana ","[DNT] {0}% Unreserved Mana ","[DNT] {0}% Unreserved Mana ","[DNT] {0}% Unreserved Mana ","[DNT] {0}% Unreserved Mana ",1
7,"ManaPerMinute",14654,"{0} Mana per second","{0} de Mana par seconde","{0} Mana pro Sekunde","毎秒 {0} マナ","1초당 마나 {0}","{0} Mana por segundo","{0} маны в секунду","{0} de maná por segundo","มานา {0} ต่อวินาที","每秒 {0} 魔力",60
8,"LifePerMinute",14655,"{0} Life per second","{0} de Vie par seconde","{0} Leben pro Sekunde","毎秒 {0} ライフ","1초당 생명력 {0}","{0} Vida por segundo","{0} здоровья в секунду","{0} de vida por segundo","พลังชีวิต {0} ต่อวินาที","每秒 {0} 生命",60
9,"ManaPercentPerMinute",14658,"{0}% Mana per second","{0}% de Mana par seconde","{0}% Mana pro Sekunde","毎秒マナの {0}%","1초당 마나 {0}%","{0}% Mana por segundo","{0}% маны в секунду","{0}% de maná por segundo","มานา {0}% ต่อวินาที","每秒 {0}% 魔力",60
10,"LifePercentPerMinute",14659,"{0}% Life per second","{0}% de Vie par seconde","{0}% Leben pro Sekunde","毎秒ライフの {0}%","1초당 생명력 {0}%","{0}% Vida por segundo","{0}% здоровья в секунду","{0}% de vida por segundo","พลังชีวิต {0}% ต่อวินาที","每秒 {0}% 生命",60
11,"ESPerMinute",14736,"{0) Energy Shield per second","{0} de Bouclier d'énergie par seconde","{0) Energieschild pro Sekunde","毎秒 {0} エナジーシールド","1초당 에너지 보호막 {0}","{0} Escudo de Energia por segundo","{0} энергетического щита в секунду","{0) de escudo de energía por segundo","โล่พลังงาน {0) ต่อวินาที","每秒 {0} 能量護盾",60
12,"ESPercentPerMinute",14737,"{0}% Energy Shield per second","{0}% de Bouclier d'énergie par seconde","{0)% Energieschild pro Sekunde","毎秒エナジーシールドの {0}%","1초당 에너지 보호막 {0}","{0}% Escudo de Energia por segundo","{0}% энергетического щита в секунду","{0}% de escudo de energía por segundo","โล่พลังงาน {0}% ต่อวินาที","每秒 {0}% 能量護盾",60
