"rownum","rid","i32","BK2File","SoundFile","bool","BK2File2","bool","rid","f32"
0,37,0,"Art/Videos/CurrencyEffect_IncursionSuperCorruption.bk2","Audio/Sound Effects/Misc/CorruptionBreak/Break.ogg","","","","",1
1,2,0,"","",1,"Art/Videos/CurrencyEffect_ChaosOrb.bk2","",18433,1.75
2,4860,0,"Art/Videos/LightDarkBox_Opening.bk2","",1,"","","",1
3,4861,0,"Art/Videos/LightDarkBox_Opening.bk2","",1,"","","",1
4,4862,0,"Art/Videos/LightDarkBox_Opening.bk2","",1,"","","",1
5,4863,0,"Art/Videos/LightDarkBox_Opening.bk2","",1,"","","",1
6,4864,0,"Art/Videos/LightDarkBox_Opening.bk2","",1,"","","",1
7,4865,0,"Art/Videos/LightDarkBox_Opening.bk2","",1,"","","",1
8,4866,0,"Art/Videos/LightDarkBox_Opening.bk2","",1,"","","",1
9,4867,0,"Art/Videos/LightDarkBox_Opening.bk2","",1,"","","",1
10,4868,0,"Art/Videos/LightDarkBox_Opening.bk2","",1,"","","",1
11,4869,0,"Art/Videos/LightDarkBox_Opening.bk2","",1,"","","",1
12,4870,0,"Art/Videos/LightDarkBox_Opening.bk2","",1,"","","",1
