"rownum","string","rid","rid","bool","bool","i32","bool","bool","bool","bool","bool","bool"
0,"SpectreMinion",725,3462,1,"",0,"","",1,"","",""
1,"DominatedNormalMinion",8072,8078,1,"",0,"","",1,"","",""
2,"DominatedMagicMinion",8073,8079,1,"",0,"","",1,"","",""
3,"DominatedRareMinion",8074,8080,1,"",0,"","",1,"","",""
4,"VaalDominatedMinion",17871,17910,1,"",0,"","",1,"","",""
5,"TotemMinion",954,3397,"",1,0,"","",1,1,"",""
6,"TrapMinion",951,3728,"",1,0,"","",1,1,1,1
7,"ZombieMinion",724,3465,1,"",0,"","",1,"","",""
8,"SkeletonMinion",726,3463,1,"",0,"","",1,"","",""
9,"VaalSkeletonMinion",726,3463,1,"",0,"","",1,"","",""
10,"SupportGhostMinion",8369,"",1,"",0,"","",1,"","",""
11,"RemoteMineMinion",952,3727,"",1,0,"","",1,1,"",1
12,"IncaMinion",4580,"",1,"",0,"","",1,"","",""
13,"InsectMinion",4581,"",1,"",0,"","",1,"","",""
14,"WaterElementalMinion",1181,"",1,"",0,"","",1,"","",""
15,"GenericUnlimitedMinion","","",1,"",0,1,"",1,"","",""
16,"AxisSoldierMinion","","",1,"",0,1,"","","","",""
17,"AnimatedArmourMinion","",7590,1,"",1,"",1,1,"","",""
18,"AnimatedWeaponMinion",5714,5715,1,"",0,"",1,1,"","",""
19,"RagingSpiritMinion",2102,3464,1,"",0,"","",1,"","",""
20,"DoubleMinion",14186,"","",1,0,"","",1,1,"",""
21,"GenericUnlimitedMinionWithDrops","","",1,"",0,1,"","","","",""
22,"TaniwhaTailMinion",4582,"",1,"",0,"","",1,"","",""
23,"GolemMinion",2889,"",1,"",0,"","",1,"","",""
24,"MissionFollower","","","","",0,1,"","","","",""
25,"ManifestedUniqueWeaponMinion","",18508,1,"",0,1,"",1,"","",""
26,"RangedAnimatedWeaponMinion",3451,"",1,"",0,"",1,1,"","",""
27,"WolfMinion",4583,3880,1,"",0,"","",1,"","",""
28,"GenericUnlimitedNonMinion","","","",1,0,1,"",1,"","",""
29,"EssenceSpiritMinion",4885,4886,1,"",0,"","",1,"","",""
30,"SpiderMinion",5300,5301,1,"",0,"","",1,"","",""
31,"BeastMinion",6189,6429,1,"",0,"","",1,"","",""
32,"GenericLimitedMinion",5478,5479,1,"",0,"","",1,"","",""
33,"Harbinger","","",1,"",1,"","",1,"","",""
34,"MirageArcher",7077,"","","",0,"","",1,"",1,1
35,"Effigy",7233,"","",1,0,"","",1,"","",""
36,"Clone",8071,"",1,"",0,"","",1,"","",""
37,"HeraldScorpion",8131,"",1,"",0,"","",1,"","",""
38,"HeraldChampion",8143,8294,1,"",0,"","",1,"","",""
39,"Relic",8160,8161,1,"",0,"","",1,"","",""
40,"ReplicateMinion",9510,9511,1,"",0,"","",1,"","",""
41,"BurrowingViperMinion","","","",1,0,1,"",1,1,"",""
42,"MirageWarrior",10721,10722,"",1,0,"","",1,1,"",""
43,"DoubleCryWarrior",11863,11864,"",1,0,"","",1,1,"",""
44,"GenericLimitedTo3Minion","","",1,"",3,"","",1,"","",""
45,"MirageChieftain","","",1,"",0,1,"",1,"","",""
46,"GenericLimitedMinionWithDrops",5478,"",1,"",0,"","","","","",""
47,"TauntingContraption","","",1,"",1,"","",1,"","",""
48,"AbsolutionSentinel",14212,14236,1,"",0,"","",1,"","",""
49,"VaalAbsolutionSentinel",17870,17911,1,"",0,"","",1,"","",""
50,"Reaper",14643,"",1,"",0,"","",1,"","",""
51,"ArbalistMinion",14438,"",1,"",0,"","",1,"","",""
52,"Triggerbots","","",1,"",0,1,"",1,"","",""
53,"VaalAnimatedWeaponMinion",5714,17748,1,"",0,"",1,1,"","",""
54,"VaalRangedAnimatedWeaponMinion",3451,17749,1,"",0,"",1,1,"","",""
55,"VaalIceShotMirage",18102,"","",1,0,"","",1,1,"",""
56,"IzaroSpiritMinion","","",1,"",1,"","",1,"","",""
57,"RadiantSentinel","","",1,"",1,"","",1,"","",""
58,"GuardianFireRelic","","",1,"",1,"","",1,"","",""
59,"GuardianColdRelic","","",1,"",1,"","",1,"","",""
60,"GuardianLightningRelic","","",1,"",1,"","",1,"","",""
61,"AncestralEmbraceMinion","","",1,"",1,"","",1,"","",""
