"rownum","string","string","i32","string","i32","i32","string","string","string","i32","i32","i32"
0,"IronOre","Crimson Iron Ore",4,"Art/2DItems/Currency/Settlers/CrismonIronOre.dds",0,200,"Art/2DArt/UIImages/InGame/Village/Mining/CrismonIronOre","Crimson Iron","Art/2DItems/Currency/Settlers/CrismonIronCombined.dds",5,0,500
1,"CopperOre","Orichalcum Ore",5,"Art/2DItems/Currency/Settlers/DemonCopperOre.dds",0,175,"Art/2DArt/UIImages/InGame/Village/Mining/DemonCopperOre","Orichalcum","Art/2DItems/Currency/Settlers/DemonCopperCombined.dds",6,0,500
2,"Amber","Petrified Amber Ore",6,"Art/2DItems/Currency/Settlers/PetrifiedWoodOre.dds",3,133,"Art/2DArt/UIImages/InGame/Village/Mining/PetrifiedWoodOre","Petrified Amber","Art/2DItems/Currency/Settlers/PetrifiedWoodCombined.dds",7,0,500
3,"BismuthOre","Bismuth Ore",9,"Art/2DItems/Currency/Settlers/BismuthOre.dds",5,84,"Art/2DArt/UIImages/InGame/Village/Mining/BismuthOre","Bismuth","Art/2DItems/Currency/Settlers/BismuthCombined.dds",8,0,500
4,"VerisiumOre","Verisium Ore",16,"Art/2DItems/Currency/Settlers/VerisiumOre.dds",7,52,"Art/2DArt/UIImages/InGame/Village/Mining/VerisiumOre","Verisium","Art/2DItems/Currency/Settlers/VerisiumCombined.dds",9,0,500
5,"RefinedIron","Crimson Iron Bar",16,"Art/2DItems/Currency/Settlers/CrismonIronIngot.dds",0,0,"Art/2DArt/UIImages/InGame/Village/Mining/CrismonIronIngot","Crimson Iron","Art/2DItems/Currency/Settlers/CrismonIronCombined.dds",-16843010,-16843010,0
6,"RefinedCopper","Orichalcum Bar",19,"Art/2DItems/Currency/Settlers/DemonCopperIngot.dds",0,0,"Art/2DArt/UIImages/InGame/Village/Mining/DemonCopperIngot","Orichalcum","Art/2DItems/Currency/Settlers/DemonCopperCombined.dds",-16843010,-16843010,0
7,"RefinedAmber","Petrified Amber Bar",24,"Art/2DItems/Currency/Settlers/PetrifiedWoodIngot.dds",0,0,"Art/2DArt/UIImages/InGame/Village/Mining/PetrifiedWoodIngot","Petrified Amber","Art/2DItems/Currency/Settlers/PetrifiedWoodCombined.dds",-16843010,-16843010,0
8,"RefinedBismuth","Bismuth Bar",37,"Art/2DItems/Currency/Settlers/BismuthIngot.dds",0,0,"Art/2DArt/UIImages/InGame/Village/Mining/BismuthIngot","Bismuth","Art/2DItems/Currency/Settlers/BismuthCombined.dds",-16843010,-16843010,0
9,"RefinedVerisium","Verisium Bar",64,"Art/2DItems/Currency/Settlers/VerisiumIngot.dds",0,0,"Art/2DArt/UIImages/InGame/Village/Mining/VerisiumIngot","Verisium","Art/2DItems/Currency/Settlers/VerisiumCombined.dds",-16843010,-16843010,0
10,"Wheat","Wheat",12,"Art/2DItems/Currency/Settlers/Wheat.dds",0,100,"","","",-16843010,-16843010,0
11,"Corn","Corn",15,"Art/2DItems/Currency/Settlers/Corn.dds",0,80,"","","",-16843010,-16843010,0
12,"Pumpkin","Pumpkin",18,"Art/2DItems/Currency/Settlers/Pumpkins.dds",3,67,"","","",-16843010,-16843010,0
13,"Globulora","Orgourd",21,"Art/2DItems/Currency/Settlers/Globulora.dds",5,57,"","","",-16843010,-16843010,0
14,"Orbisfera","Blue Zanthimum",24,"Art/2DItems/Currency/Settlers/Orbisfera.dds",7,50,"","","",-16843010,-16843010,0
15,"MagicDust","Thaumaturgic Dust",0,"Art/2DItems/Currency/Settlers/DisenchantedMagicDust.dds",0,0,"","","",-16843010,-16843010,0
