"rownum","WorldAreas","i32","i32","i32","NPCTextAudioKey","string","string","i32","row","i32"
0,14,263,151,275,1011,"R_top","L_top",2564,0,0
1,26,265,151,363,1013,"R_mid","L_mid",2565,0,0
2,29,264,151,451,1012,"R_btm","L_btm",2566,0,0
3,44,266,548,275,1014,"L_top","R_top",2567,0,0
4,46,268,548,363,1016,"L_mid","R_mid",2568,0,0
5,55,267,548,451,1015,"L_btm","R_btm",2569,0,0
6,92,269,151,275,1011,"R_top","L_top",2570,0,0
7,106,271,151,363,1013,"R_mid","L_mid",2571,0,0
8,108,270,151,451,1012,"R_btm","L_btm",2572,0,0
9,124,272,548,275,1014,"L_top","R_top",2573,0,0
10,142,273,548,363,1016,"L_mid","R_mid",2574,0,0
11,156,274,548,451,1015,"L_btm","R_btm",2575,0,0
12,753,281,151,275,1011,"R_top","L_top",2576,0,0
13,752,283,151,363,1013,"R_mid","L_mid",2577,0,0
14,750,282,151,451,1012,"R_btm","L_btm",2578,0,0
15,751,284,548,275,1014,"L_top","R_top",2579,0,0
16,755,286,548,363,1016,"L_mid","R_mid",2580,0,0
17,754,285,548,451,1015,"L_btm","R_btm",2581,0,0
